Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,2001,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2001-04-03,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,24,6.89,21.8,S/D,75,S/D,418,S/D,S/D,129,286,0.7,111,131,S/D,S/D,53.1,S/D,S/D,4.0933,0.01205,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,53.514,80000000,S/D,142
Rio Risaralda,2001,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2001-06-05,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,21.7,6.97,20.5,S/D,39,S/D,259,S/D,S/D,57.5,119,1,81,169,S/D,S/D,31.4,S/D,S/D,3.162,0.01087,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,38.29,30000000,S/D,199
Rio Risaralda,2001,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2001-12-04,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,20,6.93,20.8,S/D,70,S/D,331,S/D,S/D,7.2,191,1.7,76,71,S/D,S/D,27,S/D,S/D,2.3151,0.076095,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,39.339,13000000,S/D,322
Rio Risaralda,2003,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2003-08-12,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,25,7.05,22,S/D,35,S/D,305,S/D,S/D,57,70,1.8,103,88,S/D,S/D,45,S/D,S/D,3.1327,0.01157,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,41.663,13000000,S/D,128
Rio Risaralda,2004,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2004-03-10,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,S/D,7.09,20.5,S/D,92,S/D,512,S/D,S/D,149,251,S/D,134,S/D,S/D,S/D,57.5,S/D,S/D,4.76,0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,72.4,17000000,S/D,169
Rio Risaralda,2004,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2004-08-10,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,22.8,7.12,20.4,S/D,65,S/D,443,S/D,S/D,120,216,S/D,142,119,S/D,S/D,63,S/D,S/D,4.82,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,78,80000000,S/D,113
Rio Risaralda,2004,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2004-11-10,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,S/D,S/D,S/D,S/D,6.1,S/D,58,S/D,S/D,1.2,10.3,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,0.26,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8000,S/D,S/D
Rio Risaralda,2006,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2006-05-09,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,18.9,6.88,17.5,39,4,S/D,73,15.7,S/D,0.44,8.2,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,0.32,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2200,S/D,4.76
Rio Risaralda,2006,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2006-07-04,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,22.2,7.1,21.4,S/D,150,S/D,691,594,S/D,27,175,4.83,48,61,S/D,S/D,7.3,S/D,S/D,1.74,0.07,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11,11000000,S/D,348
Rio Risaralda,2007,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2007-08-01,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,21.4,7.07,19.5,S/D,35,S/D,237,34,S/D,33.41,69,2.55,119,94,S/D,S/D,30.6,S/D,S/D,2.57,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,22.9,13000000,S/D,153
Rio Risaralda,2008,BALBOA,Rio Risaralda,Río Cauca - Antes río Risaralda,S/D,2008-02-06,00:00,Monitoreo periódico,S/D,S/D,894.98,2099314.8101,4679785.7614,19.5,7.2,18.9,S/D,30,S/D,244,72,S/D,41.05,102,4.26,89,75,S/D,S/D,13,S/D,S/D,1.75,0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,16,8000000,S/D,86
