Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,2000,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2000-06-08,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,19,S/D,18.2,S/D,25,S/D,135,S/D,S/D,0.5,6,S/D,40,52,S/D,S/D,1.5,S/D,S/D,0.62,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,14,30000,S/D,374
Rio Risaralda,2002,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2002-04-02,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,21.3,7.34,20.6,S/D,43,S/D,179,S/D,S/D,20,41,S/D,41,48,S/D,S/D,S/D,S/D,S/D,1.2596,0.02095,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,20.761,8000000,S/D,810
Rio Risaralda,2002,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2002-11-06,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,23,7.33,21.5,S/D,24,S/D,158,158,S/D,20.9,41,6.1,45,48,S/D,S/D,8,S/D,S/D,1.251,0.03654,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,18.255,17000000,S/D,833
Rio Risaralda,2004,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2004-11-02,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,25.8,7.82,20.4,S/D,8.1,S/D,99,S/D,S/D,0.1,5,S/D,32,52,S/D,S/D,2,S/D,S/D,0.63,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,15.1,13000,S/D,134
Rio Risaralda,2004,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2004-11-02,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,25.1,7.51,21.5,S/D,34,S/D,199,S/D,S/D,28,57,S/D,50,61,S/D,S/D,12,S/D,S/D,1.78,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,27.7,1700000,S/D,413
Rio Risaralda,2005,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2005-04-05,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,23.5,7.31,22.3,195,30,S/D,196,S/D,S/D,30.5,61,S/D,48,63,S/D,S/D,18.5,S/D,S/D,1.47,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25.8,5000000,S/D,304
Rio Risaralda,2005,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2005-12-06,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,23.8,7.45,20.8,159,40,S/D,206,S/D,S/D,S/D,S/D,S/D,49,55,S/D,S/D,9,S/D,S/D,1.24,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,12.2,2400000,S/D,822
Rio Risaralda,2007,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2007-09-11,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,S/D,S/D,S/D,S/D,15,S/D,154,20,S/D,15.2,31,S/D,57,53,S/D,S/D,10,S/D,S/D,1.21,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,18.1,1100000,S/D,S/D
Rio Risaralda,2008,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2008-11-11,00:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,27.1,7.05,22,S/D,120,S/D,312,192,S/D,20.8,41.6,6.26,48,18,S/D,S/D,7.5,S/D,S/D,1.34,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25.9,3000000,S/D,1102
Rio Risaralda,2013,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2013-03-19,11:30,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,23.4,7.86,20.4,65,24.8,S/D,104,48,S/D,< 1,< 21.3,S/D,25.5,20.5,S/D,S/D,< 1.5,S/D,S/D,0.54,0.0054,0.146,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8.6,11000,S/D,6592
Rio Risaralda,2013,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2013-06-18,11:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,25.6,7.85,19.7,54,287,S/D,548,356,S/D,1.4,26,S/D,22.6,31.8,S/D,S/D,< 1.5,S/D,S/D,1.2,0.0202,0.39,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,31.8,130000,S/D,9464
Rio Risaralda,2014,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2014-04-23,11:20,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,23.8,7.89,20.8,81,43.3,S/D,160,72.2,S/D,< 1,< 20,S/D,30.3,31.3,S/D,S/D,3,S/D,S/D,0.8,0.0078,0.135,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.6,81600,S/D,7611
Rio Risaralda,2014,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2014-07-02,14:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,24.9,8.29,22,102,9.1,S/D,91.9,14.2,S/D,< 1,< 20,S/D,43.8,39,S/D,S/D,< 1.5,S/D,S/D,0.55,0.006,0.126,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.2,23820,S/D,4213
Rio Risaralda,2015,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2015-05-12,13:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,29.5,8.02,22,94,2.4,S/D,82.5,39.8,S/D,< 1,< 20,S/D,39.5,35.9,S/D,S/D,< 1.5,S/D,S/D,0.37,0.0029,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 7,16070,S/D,2583
Rio Risaralda,2016,BELÉN DE UMBRÍA,Rio Risaralda,Río Guatica - Desembocadura río Risaralda,S/D,2016-02-24,14:00,Monitoreo periódico,S/D,S/D,1228.3,2137253.0826,4688213.0003,26.5,8.25,22.7,123.7,3,S/D,117,5.8,S/D,< 1,< 20,S/D,47.9,45.6,S/D,S/D,5,S/D,S/D,* 0.43,0.0047,0.151,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,10.1,15531,S/D,1564
