Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,2013,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2013-04-09,09:40,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,27.7,7.8,18.4,64,2,S/D,58,< 2.1,S/D,< 1,< 21.3,S/D,31.3,26,S/D,S/D,< 1.5,S/D,S/D,0.16,< 0.002,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3.8,7000,S/D,6035
Rio Risaralda,2013,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2013-08-27,09:23,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,25.3,7.78,16.9,55,8.6,S/D,120,14.4,S/D,< 1,< 21.3,S/D,25,30,S/D,S/D,< 1.5,S/D,S/D,0.44,< 0.002,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.6,11000,S/D,8928
Rio Risaralda,2013,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2013-11-19,09:38,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,23.6,7.88,16.5,56,8.1,S/D,86,26,S/D,< 1,< 20,S/D,29,22,S/D,S/D,< 1.5,S/D,S/D,0.32,0.0038,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.3,7215,S/D,11369
Rio Risaralda,2014,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2014-03-04,09:51,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,28.6,7.52,16.5,48,10.1,S/D,87.9,19.5,S/D,< 1,< 20,S/D,21.6,17.2,S/D,S/D,1.5,S/D,S/D,0.53,0.0048,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6,4884,S/D,10413
Rio Risaralda,2014,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2014-07-15,08:50,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,24,8.02,17.2,75,1.6,S/D,105,2.4,S/D,< 1,< 20,S/D,37.7,33,S/D,S/D,1.5,S/D,S/D,0.18,0.0044,0.103,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3.1,13340,S/D,4246
Rio Risaralda,2014,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2014-09-09,09:21,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,24.5,8.08,18.3,79,2.8,S/D,69.2,5.1,S/D,< 1,< 20,S/D,38,33,S/D,S/D,< 1.5,S/D,S/D,0.25,0.0022,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.4,10170,S/D,3105
Rio Risaralda,2015,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2015-03-03,09:00,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,21.6,8.04,17.1,65,7,S/D,61.2,34.6,S/D,< 1,< 20,S/D,29.8,26.8,S/D,S/D,< 1.5,S/D,S/D,0.03,0.0026,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 7,24810,S/D,5420
Rio Risaralda,2015,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2015-08-18,09:47,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,24.9,8.03,18.4,78,1.2,S/D,130,2.8,S/D,< 1,< 20,S/D,41.5,46.3,S/D,S/D,< 1.5,S/D,S/D,0.18,< 0.002,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 7,9330,S/D,3367
Rio Risaralda,2015,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2015-11-24,09:40,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,27.1,7.57,17.4,55,4.4,S/D,50,128,S/D,< 1,< 20,S/D,24.6,22.6,S/D,S/D,4.8,S/D,S/D,0.24,0.1426,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.2,4880,S/D,6596
Rio Risaralda,2016,MISTRATÓ,Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,S/D,2016-04-05,09:30,Monitoreo periódico,S/D,S/D,1495.96,2145304.332,4680220.8126,24.7,7.26,18.3,55.7,2.4,S/D,70.9,6.7,S/D,< 1,< 20,S/D,25.8,25.2,S/D,S/D,4.4,S/D,S/D,* 0.33,0.0036,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.6,19890,S/D,5606
