Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,2010,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2010-03-03,00:00,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,24.4,7.55,23.5,238,6.4,S/D,175,6,S/D,7.1,21.3,6.57,74.4,50.2,S/D,S/D,13.5,S/D,S/D,3.5,0.28,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25,240000,S/D,2830
Rio Risaralda,2010,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2010-07-07,00:00,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,21.4,7.46,19.6,107,24,S/D,125,51,S/D,10.1,25.4,6.81,37.4,25,S/D,S/D,4.5,S/D,S/D,1.7,0.07,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,21.2,14000000,S/D,5906
Rio Risaralda,2010,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2010-07-07,00:00,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,26.5,7.63,21,106,23,S/D,134,51,S/D,5.1,21.3,7.22,39.6,33,S/D,S/D,3.5,S/D,S/D,1.9,0.14,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,22.8,2400000,S/D,2
Rio Risaralda,2011,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2011-09-03,00:00,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,24.3,7.03,21.5,83,47.7,S/D,176,76.4,S/D,12.5,39.2,7.27,24.9,23,S/D,S/D,2.9,S/D,S/D,1.6,0.05,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,9.62,3300000,S/D,8341
Rio Risaralda,2011,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2011-09-03,00:00,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,23.5,7.19,20.6,87,121,S/D,301,282,S/D,19.3,73.4,7.79,28.3,26,S/D,S/D,2,S/D,S/D,1.7,0.13,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,9.1,4600000,S/D,S/D
Rio Risaralda,2012,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2012-02-07,00:00,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,23.5,7.96,21.4,137,9.3,S/D,116,14.8,S/D,4.5,21.3,7.18,44.4,36.2,S/D,S/D,6.6,S/D,S/D,6.92,1.9,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,0.2883,280000,S/D,5783
Rio Risaralda,2012,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2012-02-07,00:00,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,24.5,7.61,22.8,168,15.1,S/D,121,19.5,S/D,17.2,34.2,5.28,50.1,35,S/D,S/D,10,S/D,S/D,S/D,1.7,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,0.1642,11000000,S/D,4967
Rio Risaralda,2013,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2013-04-09,11:00,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,26.5,7.8,19,70,2.6,S/D,67.9,4.4,S/D,1.1,< 21.3,S/D,31.9,29,S/D,S/D,< 1.5,S/D,S/D,0.19,< 0.002,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.2,170000,S/D,6731
Rio Risaralda,2013,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2013-08-27,10:11,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,23.4,7.83,17.4,58,11.8,S/D,124,20.7,S/D,< 1,< 21.3,S/D,27,17,S/D,S/D,< 1.5,S/D,S/D,0.4,0.0024,0.126,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.2,110000,S/D,9006
Rio Risaralda,2013,MISTRATÓ,Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,S/D,2013-11-19,10:30,Monitoreo periódico,S/D,S/D,1482.76,2143708.2228,4681021.0658,22.3,7.99,17,59,7.8,S/D,73.5,41.9,S/D,< 1,< 20,S/D,30.5,24,S/D,S/D,< 1.5,S/D,S/D,0.35,0.007,< 0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.6,83300,S/D,11762
