Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,1999,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,1999-02-04,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,24,7.56,26.2,S/D,S/D,S/D,16.538,7000,S/D,278,11858,S/D,5800,S/D,S/D,S/D,1808,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,237,S/D,S/D,0.31
Rio Risaralda,2000,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2000-08-10,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,S/D,22,230,610,S/D,S/D,S/D,S/D,S/D,S/D,S/D,117,S/D,S/D,S/D,1.5,S/D,S/D,5,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,58.5,S/D,S/D,S/D
Rio Risaralda,2000,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2000-09-05,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,7.66,30,S/D,S/D,S/D,9055,410,S/D,2300,4352,S/D,6168,S/D,S/D,S/D,1256,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,406,S/D,S/D,S/D
Rio Risaralda,2000,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2000-09-05,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,7.12,25,S/D,S/D,S/D,4.875,40,S/D,121,897,S/D,4501,S/D,S/D,S/D,1603,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,110,S/D,S/D,S/D
Rio Risaralda,2001,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2001-05-02,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,7.4,22,180,10,S/D,203,S/D,S/D,S/D,S/D,S/D,106,S/D,S/D,S/D,1.5,S/D,S/D,0.34198,0.00348,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.6281,50,S/D,S/D
Rio Risaralda,2001,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2001-05-03,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,7.03,21.5,215,70,S/D,188,S/D,S/D,S/D,S/D,S/D,103,S/D,S/D,S/D,1.5,S/D,S/D,2.4573,0.01432,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,38.8445,2,S/D,S/D
Rio Risaralda,2001,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2001-06-07,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,7.9,32,S/D,S/D,S/D,9571,460,S/D,4163,6715,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,0.8
Rio Risaralda,2001,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2001-06-07,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,7.87,35,S/D,S/D,S/D,9641,1310,S/D,4190,6627,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D
Rio Risaralda,2001,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2001-06-07,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,7.83,33,S/D,S/D,S/D,8293,163,S/D,1.725,4769,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D
Rio Risaralda,2002,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Las Palmeras,S/D,2002-04-04,00:00,Monitoreo periódico,S/D,S/D,977.77,2123474.2833,4684933.4974,S/D,6.91,21.4,227,48,S/D,213,S/D,S/D,S/D,S/D,S/D,101,S/D,S/D,S/D,1.5,S/D,S/D,2.225,0.0149,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,22.676,2,S/D,S/D
