Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,2007,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2007-12-05,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,24,7.95,22.2,127,30,S/D,132,41,S/D,0.29,5,7.62,61,59,S/D,S/D,2,S/D,S/D,1.41,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,9.1,30000,S/D,S/D
Rio Risaralda,2007,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2007-12-05,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,24,7.95,22.2,127,30,S/D,132,41,S/D,0.29,5,7.62,61,59,S/D,S/D,2,S/D,S/D,1.41,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,9.1,30000,S/D,S/D
Rio Risaralda,2009,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2009-02-04,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,24.8,7.43,20.3,146,30,S/D,194,61.4,S/D,13.1,40.9,7.16,45.1,15.9,S/D,S/D,7,S/D,S/D,2.29,0.13,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11.4,4600000,S/D,S/D
Rio Risaralda,2010,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2010-02-09,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,18,7.31,18.1,50,2.3,S/D,44.1,13,S/D,1.2,21.3,7.86,16.9,16.7,S/D,S/D,1.5,S/D,S/D,0.4,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.7,33000,S/D,S/D
Rio Risaralda,2010,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2010-06-09,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,26.2,7.47,21.7,91,258,S/D,530,423,S/D,3.1,39.7,7.35,37.2,S/D,S/D,S/D,1.5,S/D,S/D,2.1,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,63.2,700000,S/D,S/D
Rio Risaralda,2010,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2010-11-03,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,22.9,7.24,20.2,85,887,S/D,1454,1409,S/D,7.1,91.1,7.34,35,S/D,S/D,S/D,1.5,S/D,S/D,2.5,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,47.8,700000,S/D,S/D
Rio Risaralda,2010,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2010-11-09,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,24.5,7,18.9,49,7.3,S/D,78.8,12.2,S/D,0.61,21.3,8.21,16.3,13,S/D,S/D,1.5,S/D,S/D,0.67,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3.2,49000,S/D,S/D
Rio Risaralda,2011,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2011-02-08,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,20.4,7.25,16.3,34,19.4,S/D,64.7,26,S/D,1,S/D,8.18,10.8,14,S/D,S/D,1.5,S/D,S/D,0.57,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.3,33000,S/D,S/D
Rio Risaralda,2011,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2011-06-07,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,22.6,7.77,20.3,62,1.82,S/D,70,2.1,S/D,1,21.3,7.84,23.4,17,S/D,S/D,3.6,S/D,S/D,0.55,0.0066,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.3,22000,S/D,S/D
Rio Risaralda,2011,VITERBO,Rio Risaralda,Río Risaralda - Puente Negro,S/D,2011-08-01,00:00,Monitoreo periódico,S/D,S/D,919.62,2109861.6335,4682993.1739,22.1,7.19,18.4,59,2.2,S/D,76.3,S/D,S/D,1,21.3,8.02,26,19.4,S/D,S/D,1,S/D,S/D,0.23,0.002,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.9,2800,S/D,S/D
