Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,1997,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,1997-11-06,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,S/D,24,190,96,S/D,S/D,S/D,S/D,S/D,S/D,S/D,114,S/D,S/D,S/D,3.3,S/D,S/D,0.13,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3.5,2,S/D,S/D
Rio Risaralda,1998,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,1998-02-12,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,S/D,24.5,190,1.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,86,S/D,S/D,S/D,1.5,S/D,S/D,1.2,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1.5,S/D,S/D,S/D
Rio Risaralda,1998,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,1998-06-08,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,S/D,S/D,S/D,0.75,S/D,S/D,S/D,S/D,S/D,S/D,S/D,83,S/D,S/D,S/D,1.5,S/D,S/D,1.5,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4,2,S/D,S/D
Rio Risaralda,1998,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,1998-09-01,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,S/D,24.6,155,0.4,S/D,S/D,S/D,S/D,S/D,S/D,S/D,93,S/D,S/D,S/D,1.5,S/D,S/D,1.4,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3.3,110,S/D,S/D
Rio Risaralda,1999,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,1999-05-10,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,S/D,24,180,0.46,S/D,181,S/D,S/D,S/D,S/D,S/D,86,S/D,S/D,S/D,1.5,S/D,S/D,1.6,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1,2,S/D,S/D
Rio Risaralda,1999,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,1999-08-02,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,S/D,25,180,0.46,S/D,S/D,S/D,S/D,S/D,S/D,S/D,83,S/D,S/D,S/D,1.5,S/D,S/D,0.46,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2.7,7,S/D,S/D
Rio Risaralda,1999,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,1999-11-02,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,5.3,S/D,180,0.47,S/D,203,S/D,S/D,S/D,S/D,S/D,72.5,S/D,S/D,S/D,1.5,S/D,S/D,1.4,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.2,22,S/D,S/D
Rio Risaralda,1999,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,1999-12-01,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,6.68,25.1,S/D,1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,86,S/D,S/D,S/D,1.5,S/D,S/D,1.7,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.7,2,S/D,S/D
Rio Risaralda,2000,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2000-03-07,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,5.6,25,175,1.1,S/D,201,S/D,S/D,S/D,S/D,S/D,77,S/D,S/D,S/D,1.5,S/D,S/D,1.7,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1,2,S/D,S/D
Rio Risaralda,2000,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2000-08-01,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,S/D,25.5,175,0.7,S/D,S/D,S/D,S/D,S/D,S/D,S/D,77,S/D,S/D,S/D,4.1,S/D,S/D,1.6,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.6,S/D,S/D,S/D
Rio Risaralda,2002,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2002-04-10,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,7.93,29.8,S/D,S/D,S/D,10773,1212,S/D,6078,8851,S/D,6835,S/D,S/D,S/D,1490,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,327.94,S/D,S/D,S/D
Rio Risaralda,2002,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2002-04-10,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,7.46,40.8,S/D,S/D,S/D,21.588,1377,S/D,22755,27297,S/D,10335,S/D,S/D,S/D,1760,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,600.9,S/D,S/D,S/D
Rio Risaralda,2002,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2002-12-04,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,6.21,26.2,179,34,S/D,199,8.7,S/D,S/D,S/D,S/D,82,S/D,S/D,S/D,1.5,S/D,S/D,1.1334,0.00196,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.7906,2,S/D,S/D
Rio Risaralda,2005,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2005-08-05,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,S/D,26,212,0.4,S/D,S/D,S/D,S/D,S/D,S/D,S/D,85,S/D,S/D,S/D,1.7,S/D,S/D,1.4,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1.6,79,S/D,S/D
Rio Risaralda,2005,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2005-09-02,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,6.1,13,180,1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,86,S/D,S/D,S/D,1.5,S/D,S/D,1.1,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2,7,S/D,S/D
Rio Risaralda,2010,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2010-12-09,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,7.48,23,S/D,S/D,S/D,676,14.2,S/D,63.5,225,S/D,825,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3100000,S/D,0.2
Rio Risaralda,2010,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2010-12-09,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,7.96,24.9,S/D,S/D,S/D,524,11.5,S/D,20.5,66,S/D,475,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,460000,S/D,0.2
Rio Risaralda,2010,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2010-12-09,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,7.96,24.9,S/D,S/D,S/D,524,11.5,S/D,20.5,66,S/D,475,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,460000,S/D,0.2
Rio Risaralda,2010,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2010-12-09,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,7.79,24.8,S/D,S/D,S/D,675,23.7,S/D,31.5,137,S/D,562,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4600000,S/D,0.2
Rio Risaralda,2010,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2010-12-09,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,7.79,24.8,S/D,S/D,S/D,675,23.7,S/D,31.5,137,S/D,562,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4600000,S/D,0.2
Rio Risaralda,2010,BELÉN DE UMBRÍA,Rio Risaralda,Río Risaralda - Puente Umbría,S/D,2010-12-09,00:00,Monitoreo periódico,S/D,S/D,1274.65,2138561.9773,4685167.3747,S/D,7.48,23,S/D,S/D,S/D,676,14.2,S/D,63.5,225,S/D,825,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3100000,S/D,0.2
