Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Sabaletas,2017,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,0623-2017,30/05/2017,11:00,Aguas Superficiales,30/05/2017 al 28/06/2017,0673 - 03/08/2017,S/D,900359.27,1099751.15,22,8.35,15,109,0.98,S/D,94,11.6,82.4,0.954,16.7,7.83,61.8,81.6,17.6,9.14,8.5,S/D,2.03,0.46,0.00973,0.0562,0.0509,0.67,0.353,2.37,0.279,S/D,S/D,S/D,S/D,S/D,S/D,S/D,72,36,S/D
Rio Sabaletas,2017,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,1133-2017,23/08/2017,07:30,Aguas Superficiales,23/08/2017 al 25/09/2017,1135 - 27/09/2017,S/D,900359.27,1099751.15,24,7.95,14,995,0.9,S/D,372,11.6,360,0.817,11.1,7.64,78.5,83.6,16.8,10.1,8.43,S/D,S/D,0.65,0.122,0.24,0.0662,S/D,0.109,S/D,0.674,S/D,S/D,S/D,S/D,S/D,S/D,4.4,90,90,S/D
Rio Sabaletas,2019,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,0283-2019,03/04/2019,07:33,Aguas Superficiales,03/04/2019 al 30/05/2019,0308 - 28/05/2019,S/D,900300.63,1099783.17,17,7.89,12,110,1.7,S/D,82,11.6,70.4,0.952,11.1,8.16,56.3,54,12.8,5.39,0.862,S/D,S/D,0.508,0.0898,0.134,0.0662,0.318,0.353,2.3,0.365,S/D,S/D,S/D,S/D,S/D,S/D,2.8,2400,2400,S/D
Rio Sabaletas,2019,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,1054-2019,31/07/2019,08:50,Aguas Superficiales,31/07/2019 al 15/08/2019,1115 - 24/09/2019,S/D,900300.63,1099783.17,23,7.72,16,122,1,S/D,96,11.6,84.4,0.633,11.1,6.71,67.8,58.9,12.6,6.66,0.862,S/D,0.366,0.181,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,0.523,230,40,S/D
Rio Sabaletas,2020,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,0594-2020,15/10/2020,10:10,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0633 - 14/12/2020,S/D,900300.63,1099783.17,19,S/D,19,121,0.35,6.22,74,11.6,62.4,1.09,18.7,8.95,58.8,106,18.9,14.3,2.14,S/D,0.25,0.637,0.011,0.203,0.0935,0.133,0.0571,2.44,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.87,150,150,S/D
Rio Sabaletas,2021,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,1083-2021,22/09/2021,08:55,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1280 - 29/11/2021,S/D,900300.63,1099783.17,21,S/D,19,128,0.75,10.7,104,11.6,92.4,1.3,11,7.36,58.9,57.3,8.74,8.63,2.2,S/D,0.25,0.462,0.0101,0.202,0.0959,0.133,0.0571,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.86,5000,430,S/D
Rio Sabaletas,2021,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,1399-2021,24/11/2021,10:20,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1628 - 04/02/2022,S/D,900300.63,1099783.17,18,S/D,12,108,65,65.7,230,180,50,0.848,11,7.9,54.1,54.7,9.66,7.44,2.2,S/D,0.25,0.561,0.016,0.202,0.0959,9.44,0.157,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.58,4600,4600,S/D
Rio Sabaletas,2018,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,0926-2022,17/06/2022,09:20,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1016 - 26/07/2022,S/D,900300.63,1099783.17,23,7.99,17.7,104,2.4,7.14,86,11.6,74.4,1.57,11,7.81,75.8,93.4,11.1,16,2.2,0.723,0.25,0.559,0.01007,0.202,0.0959,0.133,0.0571,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.47,4300,900,S/D
Rio Sabaletas,2022,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,0926-2022,17/06/2022,09:20,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1016 - 26/07/2022,S/D,900300.63,1099783.17,23,7.99,17.7,104,2.4,7.14,86,11.6,74.4,1.57,11,7.81,75.8,93.4,11.1,16,2.2,0.723,0.25,0.559,0.01007,0.202,0.0959,0.133,0.0571,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.47,4300,900,S/D
Rio Sabaletas,2018,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,1149-2022,16/08/2022,09:47,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1254 - 20/09/2022,S/D,900300.63,1099783.17,18,7.93,18.1,99.7,0.8,6.22,94,11.6,82.4,0.486,11,7.83,59.5,52.7,11.7,5.69,2.2,0.602,0.25,0.485,0.01007,0.202,0.0959,0.133,0.0571,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.19,4300,400,S/D
