Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Sabaletas,2017,GUACARI,Rio Sabaletas,Rio Sabaletas - antes desembocadura a Rio Cauca,0628-2017,30/05/2017,02:35,Aguas Superficiales,30/05/2017 al 28/06/2017,0678 - 03/08/2017,S/D,905971,1076829,28,8.11,23,370,5.6,S/D,252,18,234,2.31,12.8,6.94,185,217,42.1,27.2,14.3,S/D,1.59,2.27,0.103,0.098,0.099,0.67,0.353,9.43,0.632,S/D,S/D,S/D,S/D,S/D,S/D,S/D,24000,4300,S/D
Rio Sabaletas,2017,GUACARI,Rio Sabaletas,Rio Sabaletas - antes desembocadura a Rio Cauca,1138-2017,23/08/2017,12:16,Aguas Superficiales,23/08/2017 al 25/09/2017,1140 - 27/09/2017,S/D,905971,1076829,32,8.09,25,609,2.2,S/D,352,11.6,340,2.55,13,6.24,284,310,61.3,38.2,19.6,S/D,S/D,1.63,0.122,0.24,0.295,S/D,0.126,S/D,1.63,S/D,S/D,S/D,S/D,S/D,S/D,16.6,2300,900,S/D
Rio Sabaletas,2019,GUACARI,Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,0287-2019,03/04/2019,12:16,Aguas Superficiales,03/04/2019 al 23/05/2019,0312 - 28/05/2019,S/D,905968.12,1076832.34,25,8.05,18,341,35,S/D,294,31,263,2.72,11.3,7.16,162,161,33.3,19,4.88,S/D,S/D,1.29,0.11,0.134,0.22,1.58,0.353,7.69,3.13,S/D,S/D,S/D,S/D,S/D,S/D,10.2,43000,43000,S/D
Rio Sabaletas,2019,GUACARI,Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,1058-2019,31/07/2019,02:50,Aguas Superficiales,31/07/2019 al 15/08/2019,1119 - 24/09/2019,S/D,905968.12,1076832.34,31,8.21,25,567,7.6,S/D,378,11.6,366,1.73,11.1,5.53,274,281,56.5,34,7.79,S/D,0.366,0.052,0.388,0.134,0.334,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,13.4,24000,9300,S/D
Rio Sabaletas,2020,GUACARI,Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,0598-2020,15/10/2020,03:15,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0637 - 14/12/2020,S/D,905968.12,1076832.34,31,S/D,27.2,638,5,69.1,334,15,319,4.88,39,5.36,332,341,77.8,35.7,13.1,S/D,1.64,1.26,0.276,0.203,0.401,0.667,0.168,21.1,2.51,S/D,S/D,S/D,S/D,S/D,S/D,15.5,2400,2400,S/D
Rio Sabaletas,2021,GUACARI,Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,1087-2021,22/09/2021,01:45,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1284 - 29/11/2021,S/D,905968.12,1076832.34,30,S/D,23,185,550,1463,853,640,213,63.6,101,5.76,59.2,78.2,12.8,11.2,8.45,S/D,0.379,3.24,0.133,0.202,0.419,41.5,0.404,4.66,4.19,S/D,S/D,S/D,S/D,S/D,S/D,10.6,2000000,210000,S/D
Rio Sabaletas,2021,GUACARI,Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,1403-2021,24/11/2021,02:30,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1632 - 04/02/2022,S/D,905968.12,1076832.34,24,S/D,18,157,500,1196,2048,1750,298,4.14,120,5.88,74.2,76.5,13.3,10.6,3.37,S/D,0.25,0.612,0.098,0.202,0.0959,47,1.48,3.75,2.03,S/D,S/D,S/D,S/D,S/D,S/D,5.34,46000,46000,S/D
Rio Sabaletas,2018,GUACARI,Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,0930-2022,17/06/2022,01:55,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1020 - 26/07/2022,S/D,905968.12,1076832.34,25,8.02,23.2,345,15,26.3,264,15,249,3.02,11,6.82,203,254,43.3,35.3,6.21,1.79,0.25,1.27,0.177,0.202,0.156,0.71,0.0571,9.65,1.46,S/D,S/D,S/D,S/D,S/D,S/D,8.46,43000,23000,S/D
Rio Sabaletas,2022,GUACARI,Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,0930-2022,17/06/2022,01:55,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1020 - 26/07/2022,S/D,905968.12,1076832.34,25,8.02,23.2,345,15,26.3,264,15,249,3.02,11,6.82,203,254,43.3,35.3,6.21,1.79,0.25,1.27,0.177,0.202,0.156,0.71,0.0571,9.65,1.46,S/D,S/D,S/D,S/D,S/D,S/D,8.46,43000,23000,S/D
Rio Sabaletas,2018,GUACARI,Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,1153-2022,16/08/2022,02:12,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1258 - 20/09/2022,S/D,905968.12,1076832.34,26,7.68,26.2,311,18,91.1,258,21,237,5.58,11,4.34,156,126,30.4,12.3,9.33,3.01,0.447,2.02,0.194,0.202,0.384,0.942,0.0692,12.4,2.09,S/D,S/D,S/D,S/D,S/D,S/D,5.98,240000,43000,S/D
