Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Sabaletas,2017,EL CERRITO,Rio Sabaletas,Río Sabaletas - Bocatoma Acuavalle Santa Elena,0624-2017,30/05/2017,11:25,Aguas Superficiales,30/05/2017 al 28/06/2017,0674 - 03/08/2017,S/D,899813.33,1098950.72,22,8.04,16,119,1.05,S/D,100,11.6,88.4,1.37,9.07,7.66,66.5,80.6,14.4,10.8,8.56,S/D,1.73,0.65,0.00973,0.0562,0.0509,0.67,0.353,2.09,0.2,S/D,S/D,S/D,S/D,S/D,S/D,S/D,90,90,S/D
Rio Sabaletas,2017,EL CERRITO,Rio Sabaletas,Río Sabaletas - Bocatoma Acuavalle Santa Elena,1134-2017,23/08/2017,07:47,Aguas Superficiales,23/08/2017 al 25/09/2017,1136 - 27/09/2017,S/D,899813.33,1098950.72,24,7.83,14,318,0.885,S/D,25.4,12,14,1.4,12.1,7.49,77.7,81.6,18.4,8.66,9.46,S/D,S/D,0.83,0.122,0.24,0.0662,S/D,0.109,S/D,0.393,S/D,S/D,S/D,S/D,S/D,S/D,7.2,430,430,S/D
Rio Sabaletas,2019,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,0284-2019,03/04/2019,07:53,Aguas Superficiales,03/04/2019 al 23/05/2019,0309 - 28/05/2019,S/D,899807.29,1098893.75,16,8.19,12,117,2.3,S/D,33,11.6,21.4,1.22,11.1,8.1,58.6,55,13.5,5.16,0.862,S/D,S/D,0.546,0.0898,0.134,0.0662,0.318,0.353,0.697,0.37,S/D,S/D,S/D,S/D,S/D,S/D,3.52,430,430,S/D
Rio Sabaletas,2019,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,1055-2019,31/07/2019,09:10,Aguas Superficiales,31/07/2019 al 15/08/2019,1116 - 24/09/2019,S/D,899807.29,1098893.75,23,7.86,16,132,1.5,S/D,108,11.6,96.4,0.378,11.1,6.84,71.6,62.9,13.4,7.15,0.862,S/D,0.366,0.215,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,5.28,750,230,S/D
Rio Sabaletas,2020,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,0595-2020,15/10/2020,10:35,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0634 - 14/12/2020,S/D,899807.29,1098893.75,19,S/D,19,132,0.35,6.22,90,11.6,78.4,0.838,19.5,7.51,63.1,112,19.5,15.4,2.14,S/D,0.25,0.745,0.013,0.203,0.0935,0.133,0.0571,2.74,0.8,S/D,S/D,S/D,S/D,S/D,S/D,7.11,230,230,S/D
Rio Sabaletas,2021,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,1084-2021,22/09/2021,09:25,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1281 - 29/11/2021,S/D,899807.29,1098893.75,21,S/D,19,128,0.7,12,108,11.6,96.4,1.31,11,7.6,61.4,57.5,7.74,9.29,2.2,S/D,0.25,0.457,0.0101,0.202,0.0959,0.133,0.0571,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.57,11000,930.0000000000001,S/D
Rio Sabaletas,2021,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,1400-2021,24/11/2021,10:30,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1629 - 04/02/2022,S/D,899807.29,1098893.75,20,S/D,13,109,70,69.1,248,154,94,0.672,11,7.85,54.1,55.9,9.98,7.54,2.2,S/D,0.25,0.553,0.015,0.202,0.0959,10.1,0.128,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.89,430,430,S/D
Rio Sabaletas,2018,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,0927-2022,17/06/2022,09:35,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1017 - 26/07/2022,S/D,899807.29,1098893.75,23,8.05,17.1,109,3,6.22,108,11.6,96.4,0.96,11,7.77,65.9,71.5,12.7,9.65,2.2,0.642,0.25,0.556,0.01007,0.202,0.0959,0.133,0.0571,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,7.25,430,430,S/D
Rio Sabaletas,2022,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,0927-2022,17/06/2022,09:35,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1017 - 26/07/2022,S/D,899807.29,1098893.75,23,8.05,17.1,109,3,6.22,108,11.6,96.4,0.96,11,7.77,65.9,71.5,12.7,9.65,2.2,0.642,0.25,0.556,0.01007,0.202,0.0959,0.133,0.0571,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,7.25,430,430,S/D
Rio Sabaletas,2018,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,1150-2022,16/08/2022,10:15,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1255 - 20/09/2022,S/D,899807.29,1098893.75,19,8.2,17,108,1.2,6.22,100,11.6,88.4,1,11,7.75,61.4,59.5,11.8,7.32,2.2,0.803,0.25,0.483,0.01007,0.202,0.0959,0.133,0.0571,2.22,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.2,24000,24000,S/D
