Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Sabaletas,2017,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,0626-2017,30/05/2017,12:30,Aguas Superficiales,30/05/2017 al 28/06/2017,0676 - 03/08/2017,S/D,899359.3,1094262.87,26,8.29,22,152,1,S/D,122,11.6,110,1.73,9.07,7.19,81.8,125,24,15.8,8.62,S/D,1.37,0.96,0.00973,0.0562,0.0509,0.67,0.353,3.08,0.2,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1500,900,S/D
Rio Sabaletas,2017,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,1136-2017,23/08/2017,08:50,Aguas Superficiales,23/08/2017 al 25/09/2017,1138 - 27/09/2017,S/D,899359.3,1094262.87,26,8.13,16,1760,1.45,S/D,164,18,146,1.45,16.1,7.12,109,106,23.2,11.5,8.62,S/D,S/D,0.59,0.122,0.24,0.0662,S/D,0.136,S/D,0.505,S/D,S/D,S/D,S/D,S/D,S/D,8.69,430,90,S/D
Rio Sabaletas,2019,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,0285-2019,03/04/2019,08:15,Aguas Superficiales,03/04/2019 al 23/05/2019,0310 - 28/05/2019,S/D,899633.33,1094081.12,16,8.14,12,128,3.7,S/D,100,11.6,88.4,1.26,11.1,8.18,59.2,57.9,13.2,6.1,0.862,S/D,S/D,0.582,0.0898,0.134,0.0662,0.318,0.353,0.818,0.485,S/D,S/D,S/D,S/D,S/D,S/D,4.46,1500,1500,S/D
Rio Sabaletas,2019,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,1056-2019,31/07/2019,09:55,Aguas Superficiales,31/07/2019 al 15/08/2019,1117 - 24/09/2019,S/D,899633.33,1094081.12,24,7.76,17,177,2.6,S/D,112,11.6,100,1.99,11.1,6.67,93.5,87.3,18.3,10.1,1.18,S/D,0.366,0.088,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,7.18,750,430,S/D
Rio Sabaletas,2020,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,0596-2020,15/10/2020,11:15,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0635 - 14/12/2020,S/D,899633.33,1094081.12,26,S/D,25.5,193,1.7,14.9,74,11.6,62.4,1.88,18.4,7.42,95.5,136,28.2,15.9,2.14,S/D,0.25,0.463,0.018,0.203,0.0935,0.133,0.0571,4.03,0.8,S/D,S/D,S/D,S/D,S/D,S/D,9.08,230,230,S/D
Rio Sabaletas,2021,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,1085-2021,22/09/2021,10:00,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1282 - 29/11/2021,S/D,899633.33,1094081.12,24,S/D,20,144,1.4,11.5,106,11.6,94.4,1.27,11,7.5,64.5,68.7,14.7,7.76,2.2,S/D,0.25,0.488,0.0101,0.202,0.0959,0.214,0.0571,2.77,0.8,S/D,S/D,S/D,S/D,S/D,S/D,6.12,11000,2400,S/D
Rio Sabaletas,2021,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,1401-2021,24/11/2021,10:55,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1630 - 04/02/2022,S/D,899633.33,1094081.12,23,S/D,23,107,75,94.4,212,121,91,4.86,11.2,7.58,53.5,50.1,10.2,5.98,2.2,S/D,0.25,0.594,0.016,0.202,0.0959,9.06,0.137,2.2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.93,4600,1500,S/D
Rio Sabaletas,2018,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,0928-2022,17/06/2022,09:53,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1018 - 26/07/2022,S/D,899633.33,1094081.12,24,8.14,17.9,121,4.7,21.9,94,11.6,82.4,3.71,11,7.71,85.9,77.6,10.2,12.7,2.2,0.93,0.25,0.558,0.01007,0.202,0.343,0.248,0.0571,2.72,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.71,93000,9300,S/D
Rio Sabaletas,2022,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,0928-2022,17/06/2022,09:53,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1018 - 26/07/2022,S/D,899633.33,1094081.12,24,8.14,17.9,121,4.7,21.9,94,11.6,82.4,3.71,11,7.71,85.9,77.6,10.2,12.7,2.2,0.93,0.25,0.558,0.01007,0.202,0.343,0.248,0.0571,2.72,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.71,93000,9300,S/D
Rio Sabaletas,2018,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,1151-2022,16/08/2022,10:46,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1256 - 20/09/2022,S/D,899633.33,1094081.12,23,8.18,22.2,142,2.2,6.22,132,11.6,120,1.24,11,7.33,82,81.6,16.9,9.58,2.2,0.709,0.25,0.463,0.01007,0.202,0.0959,0.133,0.0571,3.15,0.25,S/D,S/D,S/D,S/D,S/D,S/D,5.62,750,430,S/D
