Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Sabaletas,2017,EL CERRITO,Rio Sabaletas,Río Sabaletas - Puente vía Santa Elena-Ginebra,0627-2017,30/05/2017,01:40,Aguas Superficiales,30/05/2017 al 28/06/2017,0677 - 03/08/2017,S/D,899907.88,1090675.94,28,8.23,23,179,1.85,S/D,148,20,128,1.56,10.8,6.95,95,123,22.4,16.3,9,S/D,1.57,1.27,0.00973,0.0562,0.055,0.67,0.353,3.58,0.22,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4300,730,S/D
Rio Sabaletas,2017,EL CERRITO,Rio Sabaletas,Río Sabaletas - Puente vía Santa Elena-Ginebra,1137-2017,23/08/2017,09:00,Aguas Superficiales,23/08/2017 al 25/09/2017,1139 - 27/09/2017,S/D,899907.88,1090675.94,28,8.01,18,282,3.4,S/D,144,11.6,132,1.9,20.1,7.05,141,171,38.5,18.2,12.6,S/D,S/D,1.44,0.122,0.24,0.091,S/D,0.112,S/D,0.948,S/D,S/D,S/D,S/D,S/D,S/D,12.7,2400,2400,S/D
Rio Sabaletas,2019,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,0286-2019,03/04/2019,08:48,Aguas Superficiales,03/04/2019 al 23/05/2019,0311 - 28/05/2019,S/D,899898.75,1090363.66,20,7.98,16,185,45,S/D,174,43,131,1.37,11.1,7.64,89.9,91.7,18.6,11,1.09,S/D,S/D,0.762,0.0898,0.134,0.0662,0.74,0.353,2.62,0.822,S/D,S/D,S/D,S/D,S/D,S/D,6.27,24000,1500,S/D
Rio Sabaletas,2019,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,1057-2019,31/07/2019,10:51,Aguas Superficiales,31/07/2019 al 15/08/2019,1118 - 24/09/2019,S/D,899898.75,1090363.66,28,8.05,22,272,2.6,S/D,194,11.6,182,1.18,11.1,6.84,136,137,28.1,16.3,2.43,S/D,0.366,0.491,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,9.3,430,230,S/D
Rio Sabaletas,2020,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,0597-2020,15/10/2020,10:40,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0636 - 14/12/2020,S/D,899898.75,1090363.66,27,S/D,26.1,287,6.1,77.6,26,11.6,14.4,1.78,36.1,6.74,137,185,34.6,24,4.02,S/D,0.25,1.23,0.058,0.203,0.215,0.407,0.0571,5.7,2.21,S/D,S/D,S/D,S/D,S/D,S/D,10.4,230,230,S/D
Rio Sabaletas,2021,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,1086-2021,22/09/2021,10:27,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1283 - 29/11/2021,S/D,899898.75,1090363.66,24,S/D,22,239,30,63.8,202,45,157,4.2,11,6.75,73.9,133,21.2,19.5,3.92,S/D,0.25,1.6,0.041,0.202,0.21,2.5,0.062,4.67,1.73,S/D,S/D,S/D,S/D,S/D,S/D,43.1,110000,4300,S/D
Rio Sabaletas,2021,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,1402-2021,24/11/2021,11:20,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1631 - 04/02/2022,S/D,899898.75,1090363.66,23,S/D,19,147,650,924,1244,1110,134,4.48,17.2,7.26,70.1,71.3,13.3,9.24,2.2,S/D,0.387,0.593,0.045,0.202,0.0959,42.6,1.15,2.81,1.46,S/D,S/D,S/D,S/D,S/D,S/D,4.36,15000,4300,S/D
Rio Sabaletas,2018,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,0929-2022,17/06/2022,10:45,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1019 - 26/07/2022,S/D,899898.75,1090363.66,26,7.73,20.1,169,9.8,6.85,142,11.6,130,2.11,11,7.47,110,103,19.5,13.2,2.2,0.878,0.25,0.693,0.014,0.202,0.0959,0.372,0.0571,3.3,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.53,9300,9300,S/D
Rio Sabaletas,2022,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,0929-2022,17/06/2022,10:45,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1019 - 26/07/2022,S/D,899898.75,1090363.66,26,7.73,20.1,169,9.8,6.85,142,11.6,130,2.11,11,7.47,110,103,19.5,13.2,2.2,0.878,0.25,0.693,0.014,0.202,0.0959,0.372,0.0571,3.3,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.53,9300,9300,S/D
Rio Sabaletas,2018,EL CERRITO,Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,1152-2022,16/08/2022,11:10,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1257 - 20/09/2022,S/D,899898.75,1090363.66,22.9,8.09,22.9,183,4.6,16.6,108,11.6,96.4,1.65,11,7.43,97.4,83.2,19.8,8.24,2.2,0.886,0.25,0.698,0.01007,0.202,0.0959,0.186,0.0571,3.89,0.816,S/D,S/D,S/D,S/D,S/D,S/D,8.68,9300,4300,S/D
