Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - antes Jardin Botanico (limnigrafo CVC),0456-2016,08/06/2016,09:25,Aguas Superficiales,08/06/2016 al 27/06/2016,0401 - 12/07/2016,S/D,935565,1102508.85,23,7.8,22.2,176,4,S/D,144,11.6,132,3.01,49,7.92,90.4,78,16,9.24,3.56,S/D,0.85,0.115,0.00748,0.0248,0.0574,0.67,0.526,1.71,0.434,S/D,S/D,S/D,S/D,S/D,S/D,16.7,90,3,S/D
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - antes Jardin Botanico (limnigrafo CVC),1164-2016,20/10/2016,09:00,Aguas Superficiales,20/10/2016 al 04/11/2016,1278 - 12/12/2016,S/D,935565,1102508.85,22,7.99,16,180,1,S/D,164,11.6,152,1.1,9.07,7.36,74.4,96,19.6,11.4,4.66,S/D,1.73,0.79,0.00748,0.0248,0.07,0.67,0.526,3.13,17.9,S/D,S/D,S/D,S/D,S/D,S/D,13.7,230,90,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - antes Jardin Botanico (limnigrafo CVC),0388-2017,25/04/2017,10:46,Aguas Superficiales,25/04/2017 al 22/06/2017,0360 - 29/06/2017,S/D,935565,1102508.85,25,8.04,22,160,21,S/D,151,43,108,1.81,18.9,7.22,72,89.6,20.8,9.14,3.17,2.17,1.85,0.35,0.00973,0.0562,0.0509,0.672,0.353,2.22,0.586,S/D,S/D,S/D,S/D,S/D,S/D,18.2,4300,730,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - antes Jardin Botanico (limnigrafo CVC),1079-2017,16/08/2017,08:20,Aguas Superficiales,16/08/2017 al 19/09/2017,1070 - 27/09/2017,S/D,935565,1102508.85,26,8.08,18,194,1.1,S/D,196,16,180,3.13,37.6,7.67,88.4,111,24.8,11.9,4.2,S/D,S/D,0.204,0.122,0.24,0.0662,S/D,0.136,S/D,1.03,S/D,S/D,S/D,S/D,S/D,S/D,13.9,1500,390,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - Antes Jardin Botanico (limnigrafo CVC),0479-2019,30/04/2019,10:30,Aguas Superficiales,30/04/2019 al 02/07/2019,0535 - 08/07/2019,S/D,935498,1102368.85,28,7.95,20,155,500,S/D,560,457,103,2.44,11.1,7.8,67.4,67.1,16.3,6.43,0.894,S/D,S/D,0.084,0.0898,0.134,0.216,12,0.353,3.02,1.23,S/D,S/D,S/D,S/D,S/D,S/D,12.3,2300,2300,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - Antes Jardin Botanico (limnigrafo CVC),1102-2019,08/08/2019,09:00,Aguas Superficiales,08/08/2019 al 25/09/2019,1156 - 26/09/2019,S/D,935498,1102368.85,27,S/D,20,170,1.8,S/D,128,11.6,116,1.38,11.1,7.39,84,83.2,22,6.9,1.35,S/D,0.4,0.0541,0.0898,0.134,0.0662,0.318,0.353,4.89,1.27,S/D,S/D,S/D,S/D,S/D,S/D,13.1,930.0000000000001,150,S/D
Rio Tulua,2020,TULUA,Rio Tulua,Rio Tulua - Antes Jardin Botanico (limnigrafo CVC),0284-2020,31/08/2020,09:40,Aguas Superficiales,31/08/2020 al 28/09/2020 Fin de este informe,0327 - 06/10/2020,S/D,935498,1102368.85,24,S/D,18.6,150,6.5,S/D,160,16,144,1.41,15.5,7.91,81.1,71.2,19.1,5.74,2.14,S/D,0.25,0.171,0.0101,0.203,0.0935,1.05,0.0571,2.97,0.8,S/D,S/D,S/D,S/D,S/D,S/D,11.3,430,430,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - Antes Jardin Botanico (limnigrafo CVC),0582-2021,13/07/2021,10:00,Aguas Superficiales,13/07/2021 al 09/08/2021 Fin de este informe,0638 - 15/08/2021,S/D,935498,1102368.85,22,8.41,21.6,161,36,115,240,155,85,1.8,12.6,8.11,63.7,73.4,12.3,10.4,2.2,S/D,0.25,0.201,1.12,0.202,0.0935,5.86,0.131,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,11.3,2000,230,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - Antes Jardin Botanico (limnigrafo CVC),1136-2021,29/09/2021,07:50,Aguas Superficiales,29/09/2021 al 30/11/2021 Fin de este informe,1339 - 05/12/2021,S/D,935498,1102368.85,18,S/D,15,176,3.2,6.22,128,11.6,116,0.652,11,7.8,77.6,81.4,21.1,6.98,2.2,S/D,0.25,0.201,0.0101,0.202,0.0959,0.352,0.0571,8.11,0.8,S/D,S/D,S/D,S/D,S/D,S/D,12.9,2100,430,S/D
Rio Tulua,2018,TULUA,Rio Tulua,Rio Tulua - Antes Jardin Botanico (limnigrafo CVC),0530-2022,04/05/2022,09:15,Aguas Superficiales,04/05/2022 al 31/05/2022 Fin de este informe,0615 - 28/06/2022,S/D,935498,1102368.85,25,7.27,19.1,177,120,18.3,382,268,114,1.68,11,7.75,71,87.2,19.8,9.17,2.2,1.1,0.25,0.201,0.01007,0.202,0.0959,0.302,0.0571,3.66,0.944,S/D,S/D,S/D,S/D,S/D,S/D,11.5,24000,9300,S/D
