Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - despues Urbanizacion Maracaibo,0459-2016,08/06/2016,12:05,Aguas Superficiales,08/06/2016 al 27/06/2016,0404 - 12/07/2016,S/D,946348.2,1097172.17,30,8.86,27.9,184,4,S/D,136,11.6,124,2.1,54,8.61,93.3,108,20.8,13.6,1.77,S/D,0.79,0.135,0.00748,0.031,0.0521,0.67,0.526,1.82,1.4,S/D,S/D,S/D,S/D,S/D,S/D,17.7,4600,150,S/D
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - despues Urbanizacion Maracaibo,1167-2016,20/10/2016,11:20,Aguas Superficiales,20/10/2016 al 04/11/2016,1281 - 12/12/2016,S/D,946348.2,1097172.17,28,9.16,24.1,189,0.385,S/D,100,5.6,94.4,2.12,11.9,9.7,79.2,135,27.3,16.3,4.51,S/D,1.73,0.21,0.008,0.0248,0.07,0.67,0.526,3,4.18,S/D,S/D,S/D,S/D,S/D,S/D,14.7,24000,2300,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - despues Urbanizacion Maracaibo,0391-2017,25/04/2017,01:08,Aguas Superficiales,25/04/2017 al 22/06/2017,0363 - 29/06/2017,S/D,946348.2,1097172.17,27,8.19,23.7,165,40,S/D,224,68,156,1.59,29.2,7.19,74.5,97.5,21.2,10.8,2.87,2.42,1.83,0.41,0.00973,0.0562,0.082,0.823,0.353,0.858,0.359,S/D,S/D,S/D,S/D,S/D,S/D,16.4,4300,4300,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - despues Urbanizacion Maracaibo,1082-2017,16/08/2017,10:46,Aguas Superficiales,16/08/2017 al 19/09/2017,1073 - 27/09/2017,S/D,946348.2,1097172.17,32,8.08,21,204,8,S/D,184,50,134,3.63,38.6,7.19,89.4,117,27.3,11.9,4.57,S/D,S/D,0.204,0.122,0.24,0.0662,S/D,0.109,S/D,1.43,S/D,S/D,S/D,S/D,S/D,S/D,14.8,24000,2900,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - Despues Urbanizacion Maracaibo,0482-2019,30/04/2019,12:53,Aguas Superficiales,30/04/2019 al 02/07/2019,0538 - 08/07/2019,S/D,946386.2,1097169.17,31,8.32,24,164,900,S/D,1556,1390,166,2.21,11.1,7.7,70.6,69.9,16.3,7.12,0.862,S/D,S/D,0.0702,0.0898,0.134,0.206,10.2,0.406,3.67,1.05,S/D,S/D,S/D,S/D,S/D,S/D,13.2,50000,24000,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - Despues Urbanizacion Maracaibo,1105-2019,08/08/2019,12:00,Aguas Superficiales,08/08/2019 al 25/09/2019,1159 - 26/09/2019,S/D,946386.2,1097169.17,30,S/D,23,175,2.3,S/D,132,11.6,120,2.25,11.1,7.06,88.4,83.2,22,6.9,1.33,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,13.8,43000,23000,S/D
Rio Tulua,2020,TULUA,Rio Tulua,Rio Tulua - Despues Urbanizacion Maracaibo,0287-2020,31/08/2020,12:38,Aguas Superficiales,31/08/2020 al 28/09/2020 Fin de este informe,0330 - 06/10/2020,S/D,946386.2,1097169.17,28,S/D,25.4,156,32,S/D,202,76,126,1.84,11.1,7.16,83.3,73.9,23.4,3.77,2.14,S/D,0.25,0.171,0.0101,0.203,0.173,4.91,0.0605,3.55,0.8,S/D,S/D,S/D,S/D,S/D,S/D,12.1,240000,93000,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - Despues Urbanizacion Maracaibo,0585-2021,13/07/2021,01:25,Aguas Superficiales,13/07/2021 al 09/08/2021 Fin de este informe,0641 - 15/08/2021,S/D,946386.2,1097169.17,26,8.22,26.2,235,28,78,154,87,67,16.6,37.1,6.46,84.8,79.6,22.9,5.47,8.29,S/D,0.25,0.201,1.33,0.202,0.0935,8.75,0.293,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,15.9,11000000,11000000,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - Despues Urbanizacion Maracaibo,1139-2021,29/09/2021,10:30,Aguas Superficiales,29/09/2021 al 30/11/2021 Fin de este informe,1342 - 05/12/2021,S/D,946386.2,1097169.17,28,S/D,22,182,3.9,13.2,156,11.6,144,0.859,11,7.76,80.3,102,21.7,11.6,2.2,S/D,0.25,0.201,0.0101,0.202,0.0959,0.478,0.0571,3.58,0.8,S/D,S/D,S/D,S/D,S/D,S/D,13.5,150000,75000,S/D
Rio Tulua,2018,TULUA,Rio Tulua,Rio Tulua - Despues Urbanizacion Maracaibo,0533-2022,04/05/2022,12:50,Aguas Superficiales,04/05/2022 al 31/05/2022 Fin de este informe,0618 - 28/06/2022,S/D,946386.2,1097169.17,30,7.56,21.6,186,280,18.9,520,385,135,1.86,16.1,7.66,22.5,91.2,21.6,9.07,2.2,1.04,0.25,0.256,0.01007,0.202,0.0959,14.1,0.191,4.45,1.02,S/D,S/D,S/D,S/D,S/D,S/D,16.3,240000,240000,S/D
