Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,0457-2016,08/06/2016,11:30,Aguas Superficiales,08/06/2016 al 27/06/2016,0402 - 12/07/2016,S/D,944314.59,1098065.22,30,8.28,26.6,204,2.5,S/D,134,11.6,122,1.77,40.2,7.79,90.6,94,19.2,11.2,2.88,S/D,0.74,0.115,0.00748,0.0248,0.138,0.67,0.526,2.11,1.23,S/D,S/D,S/D,S/D,S/D,S/D,17.9,2400,2400,S/D
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,1165-2016,20/10/2016,10:50,Aguas Superficiales,20/10/2016 al 04/11/2016,1279 - 12/12/2016,S/D,944314.59,1098065.22,26,8.48,21.3,189,1.4,S/D,170,11.6,158,1.38,9.07,7.58,76.9,116,23.6,13.9,4.32,S/D,1.72,0.19,0.00748,0.0248,0.05,0.67,0.526,3.2,3.5,S/D,S/D,S/D,S/D,S/D,S/D,14.7,750,230,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,0389-2017,25/04/2017,12:33,Aguas Superficiales,25/04/2017 al 22/06/2017,0361 - 29/06/2017,S/D,944314.59,1098065.22,25,8.06,23.1,160,50,S/D,184,46,138,2.57,34.5,7.33,73.5,93.5,21.2,9.85,3.04,2.56,1.82,0.38,0.01,0.0562,0.0509,0.407,0.353,1.01,0.358,S/D,S/D,S/D,S/D,S/D,S/D,14.6,46000,24000,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,1080-2017,16/08/2017,10:07,Aguas Superficiales,16/08/2017 al 19/09/2017,1071 - 27/09/2017,S/D,944314.59,1098065.22,32,8.27,22,197,1.6,S/D,188,12,176,2.46,41.6,7.46,89.5,113,25.3,12.2,3.66,S/D,S/D,0.204,0.122,0.24,0.0662,S/D,0.117,S/D,2.79,S/D,S/D,S/D,S/D,S/D,S/D,29.1,9300,2100,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,0480-2019,30/04/2019,12:23,Aguas Superficiales,30/04/2019 al 02/07/2019,0536 - 08/07/2019,S/D,944314.59,1098065.22,30,8.31,23,162,700,S/D,1312,1210,102,2.61,11.1,7.7,69.6,69.9,15.9,7.35,0.862,S/D,S/D,0.052,0.0898,0.134,0.354,8.04,0.369,3.69,0.977,S/D,S/D,S/D,S/D,S/D,S/D,9.92,9300,9300,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,1103-2019,08/08/2019,11:15,Aguas Superficiales,08/08/2019 al 25/09/2019,1157 - 26/09/2019,S/D,944314.59,1098065.22,29,S/D,23,173,2.3,S/D,130,11.6,118,1.62,11.1,7.37,85.5,84.2,21.2,7.63,1.4,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,4.94,1.27,S/D,S/D,S/D,S/D,S/D,S/D,13.8,43000,15000,S/D
Rio Tulua,2020,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,0285-2020,31/08/2020,12:00,Aguas Superficiales,31/08/2020 al 28/09/2020 Fin de este informe,0328 - 06/10/2020,S/D,944314.59,1098065.22,28,S/D,23.8,151,15,S/D,146,31,115,3.05,15.5,7.2,83.2,73,20.5,5.3,2.15,S/D,0.25,0.171,0.0101,0.203,0.0935,2.06,0.0571,3.32,0.8,S/D,S/D,S/D,S/D,S/D,S/D,11.9,2400,230,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,0583-2021,13/07/2021,12:40,Aguas Superficiales,13/07/2021 al 09/08/2021 Fin de este informe,0639 - 15/08/2021,S/D,944314.59,1098065.22,26,8.34,26,161,45,61,152,80,72,1.12,13.7,7.91,72.3,75.6,24.7,3.38,2.2,S/D,0.25,0.201,1.12,0.202,0.0935,4.14,0.166,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,11.7,4300,2000,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,1137-2021,29/09/2021,10:00,Aguas Superficiales,29/09/2021 al 30/11/2021 Fin de este informe,1340 - 05/12/2021,S/D,944314.59,1098065.22,27,S/D,19,180,3,9.07,158,11.6,146,0.703,11,8.12,93.3,112,21.1,14.4,2.2,S/D,0.25,0.201,0.0101,0.202,0.0959,0.403,0.0571,3.59,0.8,S/D,S/D,S/D,S/D,S/D,S/D,13.2,4600,1500,S/D
Rio Tulua,2018,TULUA,Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,0531-2022,04/05/2022,12:05,Aguas Superficiales,04/05/2022 al 31/05/2022 Fin de este informe,0616 - 28/06/2022,S/D,944314.59,1098065.22,29,7.39,20.5,171,160,97.5,478,369,109,1.06,12.3,8.1,72.8,89.3,19.9,9.65,2.2,0.644,0.25,0.203,0.01007,0.202,0.0959,14.7,0.196,3.66,0.958,S/D,S/D,S/D,S/D,S/D,S/D,12,24000,9300,S/D
