Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - puente Nuevo (Barrio 7 de Agosto),0458-2016,08/06/2016,11:45,Aguas Superficiales,08/06/2016 al 27/06/2016,0403 - 12/07/2016,S/D,945126.59,1098145.22,30,8.52,27.5,176,3,S/D,132,11.6,120,0.954,68.7,8.69,87.5,82,17.6,9.24,1.38,S/D,0.9,0.267,0.00748,0.0248,0.0688,0.67,0.526,1.95,0.543,S/D,S/D,S/D,S/D,S/D,S/D,17.7,750,230,S/D
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - puente Nuevo (Barrio 7 de Agosto),1166-2016,20/10/2016,11:00,Aguas Superficiales,20/10/2016 al 04/11/2016,1280 - 12/12/2016,S/D,945126.59,1098145.22,25,8.75,22.3,192,2.6,S/D,148,11.6,136,1.48,10.2,8.21,76.5,184,37.3,22.1,4.38,S/D,1.7,2.02,0.00748,0.0248,0.0509,0.67,0.526,3.41,6.6,S/D,S/D,S/D,S/D,S/D,S/D,15.8,930.0000000000001,90,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - puente Nuevo (Barrio 7 de Agosto),0390-2017,25/04/2017,12:45,Aguas Superficiales,25/04/2017 al 22/06/2017,0362 - 29/06/2017,S/D,945126.59,1098145.22,25,8.15,23.1,161,39,S/D,184,56,128,1.22,19.1,7.53,73,91.5,20,10.1,2.85,2.51,1.67,0.35,0.00973,0.0562,0.0509,0.852,0.353,1.67,0.351,S/D,S/D,S/D,S/D,S/D,S/D,16.7,24000,24000,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - puente Nuevo (Barrio 7 de Agosto),1081-2017,16/08/2017,10:22,Aguas Superficiales,16/08/2017 al 19/09/2017,1072 - 27/09/2017,S/D,945126.59,1098145.22,30,8.12,20,199,1.5,S/D,544,20,524,2.8,39.6,7.37,89.4,111,24.8,11.9,4.35,S/D,S/D,0.204,0.122,0.24,0.0662,S/D,0.109,S/D,0.904,S/D,S/D,S/D,S/D,S/D,S/D,19.6,24000,24000,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),0481-2019,30/04/2019,12:40,Aguas Superficiales,30/04/2019 al 02/07/2019,0537 - 08/07/2019,S/D,945419.59,1097782.22,30,8.32,22,165,600,S/D,588,350,238,2.37,11.1,7.69,67.9,73.7,16.7,7.81,0.862,S/D,S/D,0.052,0.0898,0.134,0.491,10.6,0.439,3.75,1.12,S/D,S/D,S/D,S/D,S/D,S/D,11.5,80000,43000,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),1104-2019,08/08/2019,11:35,Aguas Superficiales,08/08/2019 al 25/09/2019,1158 - 26/09/2019,S/D,945419.59,1097782.22,29,S/D,23,175,2.5,S/D,132,11.6,120,1.63,11.1,7.16,86,82.2,21.6,6.9,1.13,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,13.6,9300,2300,S/D
Rio Tulua,2020,TULUA,Rio Tulua,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),0286-2020,31/08/2020,12:15,Aguas Superficiales,31/08/2020 al 28/09/2020 Fin de este informe,0329 - 06/10/2020,S/D,945419.59,1097782.22,28,S/D,24,150,39,S/D,188,71,117,1.25,12.7,7.37,83.6,72.3,21.3,4.64,2.14,S/D,0.25,0.171,0.0101,0.203,0.226,4.72,0.06,3.21,0.8,S/D,S/D,S/D,S/D,S/D,S/D,12.4,240000,240000,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),0584-2021,13/07/2021,01:00,Aguas Superficiales,13/07/2021 al 09/08/2021 Fin de este informe,0640 - 15/08/2021,S/D,945419.59,1097782.22,26,8.26,26.2,665,65,337,444,136,308,73.2,200,4.49,178,103,16.9,14.8,64.5,S/D,0.25,0.201,1.06,0.219,1.58,3.04,0.143,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,40.9,24000000,24000000,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),1138-2021,29/09/2021,10:15,Aguas Superficiales,29/09/2021 al 30/11/2021 Fin de este informe,1341 - 05/12/2021,S/D,945419.59,1097782.22,28,S/D,19,180,3.2,11.6,148,14,134,1.05,11,7.78,91.6,101,21.5,11.5,2.2,S/D,0.25,0.201,0.0101,0.202,0.0959,0.672,0.0571,3.33,0.8,S/D,S/D,S/D,S/D,S/D,S/D,13.3,46000,15000,S/D
Rio Tulua,2018,TULUA,Rio Tulua,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),0532-2022,04/05/2022,12:25,Aguas Superficiales,04/05/2022 al 31/05/2022 Fin de este informe,0617 - 28/06/2022,S/D,945419.59,1097782.22,30,7.47,21,171,190,67.9,456,360,96,0.734,11,7.88,72.6,94,21,10.1,2.2,0.514,0.25,0.201,0.01007,0.202,0.0959,14.7,0.206,3.73,0.913,S/D,S/D,S/D,S/D,S/D,S/D,12,24000,24000,S/D
