Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),0460-2016,08/06/2016,12:40,Aguas Superficiales,08/06/2016 al 22/06/2016,0405 - 12/07/2016,S/D,948454.13,1095797.16,31,7.58,30.2,714,30,S/D,494,60,434,48.7,214,0.5,234,118,24,14.1,517,S/D,24.5,2.06,0.0147,1.61,2.02,0.67,0.526,25.3,19.9,S/D,S/D,S/D,S/D,S/D,S/D,50.2,2400,230,S/D
Rio Tulua,2016,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),1168-2016,20/10/2016,11:45,Aguas Superficiales,20/10/2016 al 04/11/2016,1282 - 12/12/2016,S/D,948454.13,1095797.16,28,7.74,24.5,1125,2.81,S/D,690,54,636,58.8,318,0.5,332,179,36.1,21.6,93.6,S/D,35.9,2.27,0.0387,2.51,3.73,1.05,0.526,41.5,390,S/D,S/D,S/D,S/D,S/D,S/D,*,4300,1500,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),0392-2017,25/04/2017,01:38,Aguas Superficiales,25/04/2017 al 22/06/2017,0364 - 29/06/2017,S/D,948454.13,1095797.16,28,7.91,24.1,220,2.7,S/D,248,57,191,3.18,56.2,7.54,85.3,106,22.4,12,7.35,5.2,3.39,0.27,0.022,0.077,0.259,1.36,0.353,3.75,1.9,S/D,S/D,S/D,S/D,S/D,S/D,20.3,44000,35000,S/D
Rio Tulua,2017,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),1083-2017,16/08/2017,11:10,Aguas Superficiales,16/08/2017 al 19/09/2017,1074 - 27/09/2017,S/D,948454.13,1095797.16,32,7.72,22,508,4.5,S/D,2554,100,2454,37.1,109,1.86,169,121,25.3,14.1,40,S/D,S/D,0.39,0.122,0.24,0.404,S/D,0.198,S/D,12.4,S/D,S/D,S/D,S/D,S/D,S/D,22.6,1500000,200000,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),0483-2019,30/04/2019,01:30,Aguas Superficiales,30/04/2019 al 02/07/2019,0539 - 08/07/2019,S/D,948472.13,1095644.16,31,8.19,23,206,650,S/D,2018,160,1858,5.17,11.1,6.96,85.6,76.6,17.8,7.81,4.46,S/D,S/D,0.052,0.0898,0.134,0.436,9.61,0.453,6.94,3.18,S/D,S/D,S/D,S/D,S/D,S/D,12.5,8000000,4300000,S/D
Rio Tulua,2019,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),1106-2019,08/08/2019,12:25,Aguas Superficiales,08/08/2019 al 25/09/2019,1160 - 26/09/2019,S/D,948472.13,1095644.16,31,8.15,25.5,454,10,S/D,258,20,238,22,47.2,3.81,152,109,26.9,10.2,25.9,S/D,0.366,0.094,0.263,0.465,0.0662,0.994,0.353,23.2,17,S/D,S/D,S/D,S/D,S/D,S/D,25.2,2300000,400000,S/D
Rio Tulua,2020,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),0288-2020,31/08/2020,01:00,Aguas Superficiales,31/08/2020 al 28/09/2020 Fin de este informe,0331 - 06/10/2020,S/D,948472.13,1095644.16,30,7.97,26.9,385,30,S/D,320,69,251,15.8,83.5,3.37,157,88.8,25.9,5.86,25.2,S/D,8.39,0.171,0.082,S/D,0.213,3.73,0.106,19.5,15.3,S/D,S/D,S/D,S/D,S/D,S/D,21,240000,240000,S/D
Rio Tulua,2021,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),0586-2021,13/07/2021,02:10,Aguas Superficiales,13/07/2021 al 09/08/2021 Fin de este informe,0642 - 15/08/2021,S/D,948472.13,1095644.16,27,7.96,25.4,254,36,45.8,240,111,129,18.2,45.6,5.15,90.4,82.9,21.8,6.9,9.23,S/D,0.25,0.208,1.41,0.202,0.448,4.02,0.175,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,17.4,11000000,11000000,S/D
Rio Tulua,2023,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),0422-2023,02/05/2023,12:00,Aguas Superficiales,02/05/2023 al 20/06/2023 Fin de este informe,0538 - 21/06/2023,S/D,948472.13,1095644.16,27,8.17,21.6,231,971,357,842,530,312,3.76,11,7.04,99.1,192,21.9,33.4,6.15,3.54,0.25,1.49,0.154,0.202,0.445,38.7,0.488,8.78,3.92,S/D,S/D,S/D,S/D,S/D,S/D,16.7,459999.9999999999,240000,S/D
Rio Tulua,2023,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),1346-2023,13/09/2023,12:20,Aguas Superficiales,13/09/2023 al 11/10/2023 Fin de este informe,1621 - 28/11/2023,S/D,948472.13,1095644.16,27,7.68,28,498,23,75,402,23,379,6.27,50.8,4.11,137,136,39.6,9.07,36.2,S/D,7.27,7.1,1.42,0.418,0.728,1.38,0.128,35.8,22,S/D,S/D,S/D,S/D,S/D,S/D,33.1,11000000,11000000,S/D
Rio Tulua,2024,TULUA,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),1274-2024,13/08/2024,01:30,Aguas Superficiales,13/08/2024 al 03/09/2024 Fin de este informe,1415 - 09/09/2024,S/D,948472.13,1095644.16,26,7.94,26,331,55,31.5,208,73,135,5.45,12.4,6,95.7,99.8,25.6,8.75,11.3,6.14,S/D,0.226,0.256,0.326,0.444,3.37,0.069,11.3,5.92,S/D,S/D,S/D,S/D,S/D,S/D,22.1,1100000,1100000,S/D
Rio Tulua,2025,S/D,Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),0664-2025,25/06/2025,13:20,Simple - Protocolo IDEAM,25/06/2025 al 29/07/2025,0850 - 29/09/2025,935,948472.13,1095644.16,30,8,22.2,176,175,97.3,S/D,S/D,S/D,4.07,12.4,6.76,97,101,24.4,9.75,5.53,3.62,S/D,0.37,0.059,0.326,0.572,6.84,0.112,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,12.5,44000,1100000,S/D
