Rio,Punto_Monitoreo,N_Registros,Año_Min,Año_Max,pH Campo | media,pH Campo | min,pH Campo | max,pH Campo | p90,Temperatura Agua (°C) | media,Temperatura Agua (°C) | min,Temperatura Agua (°C) | max,Temperatura Agua (°C) | p90,Turbiedad (UNT) | media,Turbiedad (UNT) | min,Turbiedad (UNT) | max,Turbiedad (UNT) | p90,Sólidos Suspendidos Totales (mg/l) | media,Sólidos Suspendidos Totales (mg/l) | min,Sólidos Suspendidos Totales (mg/l) | max,Sólidos Suspendidos Totales (mg/l) | p90,DBO (mg O2/l) | media,DBO (mg O2/l) | min,DBO (mg O2/l) | max,DBO (mg O2/l) | p90,DQO (mg O2/l) | media,DQO (mg O2/l) | min,DQO (mg O2/l) | max,DQO (mg O2/l) | p90,Oxígeno Disuelto (mg O2/l) | media,Oxígeno Disuelto (mg O2/l) | min,Oxígeno Disuelto (mg O2/l) | max,Oxígeno Disuelto (mg O2/l) | p90,Nitrógeno Total (mg N/l) | media,Nitrógeno Total (mg N/l) | min,Nitrógeno Total (mg N/l) | max,Nitrógeno Total (mg N/l) | p90,Fósforo Total (mg P/l) | media,Fósforo Total (mg P/l) | min,Fósforo Total (mg P/l) | max,Fósforo Total (mg P/l) | p90,Coliformes Fecales (NMP/100ml) | media,Coliformes Fecales (NMP/100ml) | min,Coliformes Fecales (NMP/100ml) | max,Coliformes Fecales (NMP/100ml) | p90
Rio Risaralda,Quebrada Chapata - Desembocadura,50,1998,2025,7.8809,6.84,8.37,8.298,22.742,16.5,30.0,25.68,8.096,0.95,52.0,12.57,20.5728,0.0,148.0,34.1,1.9888,0.36,10.6,2.3,20.7209,20.0,33.5,21.3,7.935,7.6,8.2,8.2,5.0,5.0,5.0,5.0,0.015,0.015,0.015,0.015,,,,
Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,17,2016,2025,7.9925,7.38,8.31,8.229,21.1588,14.0,25.9,24.26,47.6318,0.4,700.0,34.86,139.975,11.6,1970.0,59.3,1.2756,0.828,2.07,1.716,12.8571,9.07,28.0,15.42,7.2965,6.71,7.83,7.668,0.9221,0.488,1.76,1.334,0.0886,0.0509,0.128,0.1039,557.9375,3.0,4600.0,915.0
Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,18,2016,2025,8.0531,7.63,8.36,8.288,18.0588,12.5,22.2,21.06,28.8917,2.3,350.0,30.0,42.7444,11.6,444.0,42.5,1.4844,0.924,3.0,2.321,15.9872,9.07,51.4,28.22,7.8778,6.75,8.77,8.345,1.1072,0.486,2.24,2.175,0.0876,0.0509,0.174,0.0962,1918.5882,36.0,4300.0,4300.0
Rio Amaime,Rio Amaime - Antes Caserio el Placer,19,2016,2025,8.0621,7.77,8.45,8.39,20.2611,14.8,26.3,23.6,150.2053,4.4,1900.0,236.0,80.1941,11.6,897.0,90.46,1.5341,0.91,2.86,2.452,17.9684,10.0,55.6,39.8,7.7411,6.88,8.26,8.178,1.1945,0.366,3.4,2.546,0.1461,0.0509,1.13,0.1402,15472.2222,230.0,240000.0,11010.0
Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,19,2016,2025,7.9293,7.23,8.33,8.158,20.5,14.0,25.4,24.27,127.9768,2.95,1400.0,238.0,74.3056,11.6,880.0,70.14,6.2695,1.18,27.9,11.296,26.4668,9.07,100.0,55.76,6.81,2.62,8.02,7.986,1.6873,0.805,3.78,2.994,0.2747,0.0509,1.7,0.5824,383338.8889,2300.0,2400000.0,981000.0
Rio Amaime,Rio Amaime - Despues Caserio Auji,15,2016,2023,8.058,7.41,8.33,8.276,17.6133,10.4,21.7,20.78,74.9207,2.6,1000.0,21.2,96.9133,11.6,1191.0,29.6,1.7552,0.924,2.92,2.644,19.2267,10.2,54.2,37.92,7.8013,7.07,8.38,8.1,1.2283,0.5,2.47,2.119,0.0839,0.0509,0.117,0.0959,13921.5714,36.0,75000.0,42200.0
Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,19,2016,2025,7.9747,7.56,8.32,8.2,23.0889,17.8,28.0,26.59,88.3368,0.7,750.0,284.0,80.55,11.6,495.0,218.3,2.7,1.2,4.1,3.788,19.1737,11.0,64.3,29.04,7.0479,5.47,9.43,7.822,1.6771,0.866,3.72,3.066,0.2159,0.0509,0.792,0.3268,19632.7778,230.0,93000.0,40900.0
Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,16,2016,2025,7.7862,7.0,8.41,8.19,24.5312,18.0,30.1,27.4,251.9375,5.9,1100.0,975.0,421.475,11.6,1990.0,1270.0,5.8769,1.57,25.4,15.315,37.1063,11.0,175.0,74.15,5.78,3.48,8.4,6.56,3.014,0.944,5.52,5.22,0.2858,0.0946,0.69,0.4665,386377.875,36.0,4600000.0,695000.0
Rio Bolo,Rio Bolo - Limnígrafo CVC - Los Minchos,15,2016,2025,7.92,7.02,8.3,8.248,18.8867,12.0,22.4,20.46,10.2833,1.4,50.0,25.8,24.02,11.6,55.0,47.8,1.582,1.01,2.82,2.094,15.7333,10.8,33.0,26.58,7.6787,7.17,8.08,7.984,0.9313,0.381,2.15,1.775,0.0839,0.0509,0.124,0.0984,942.2,40.0,4300.0,2360.0
Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,16,2016,2025,7.8156,7.15,8.35,8.22,22.875,16.0,26.4,25.3,151.6062,5.2,800.0,474.0,301.9688,11.6,1700.0,937.5,5.1434,0.954,30.1,11.595,37.55,11.0,199.0,64.15,6.5231,5.35,7.12,6.95,3.0892,0.905,6.6,6.29,0.1478,0.0662,0.379,0.2555,400459.375,230.0,4600000.0,765000.0
Rio Bolo,Rio Bolo - Puente Pradera - Palmira,16,2016,2025,7.834,6.94,8.46,8.122,22.4187,16.0,26.2,25.55,17.5375,1.5,65.0,51.5,37.3438,11.6,126.0,99.0,3.5744,1.77,6.2,5.405,16.7437,10.5,30.4,25.1,6.8487,5.21,7.78,7.44,1.1098,0.5,2.45,1.975,0.108,0.0662,0.186,0.136,171756.875,210.0,930000.0,445000.0
Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,18,2016,2025,8.0238,7.55,8.59,8.42,21.8333,14.0,28.9,26.97,80.5156,3.25,400.0,225.0,108.7333,11.7,623.0,269.7,1.5132,0.548,3.57,1.954,22.7317,9.07,75.0,43.63,7.3611,6.37,8.15,7.779,1.7873,0.463,6.56,4.208,0.1063,0.0662,0.245,0.1552,3967.2222,90.0,24000.0,8040.0
