FECHA,CAUDAL_M3S
2010-01-01,271.55
2010-01-02,261.51
2010-01-03,250.0
2010-01-04,239.65
2010-01-05,228.28
2010-01-06,213.56
2010-01-07,198.21
2010-01-08,186.49
2010-01-09,176.09
2010-01-10,167.65
2010-01-11,161.58
2010-01-12,154.05
2010-01-13,145.48
2010-01-14,139.14
2010-01-15,138.16
2010-01-16,140.36
2010-01-17,143.11
2010-01-18,145.9
2010-01-19,147.95
2010-01-20,144.24
2010-01-21,138.61
2010-01-22,139.68
2010-01-23,140.91
2010-01-24,138.99
2010-01-25,135.0
2010-01-26,129.36
2010-01-27,123.72
2010-01-28,125.24
2010-01-29,135.69
2010-01-30,142.56
2010-01-31,144.66
2010-02-01,143.45
2010-02-02,138.31
2010-02-03,132.11
2010-02-04,124.14
2010-02-05,128.95
2010-02-06,133.21
2010-02-07,141.9
2010-02-09,197.85
2010-02-10,209.38
2010-02-11,182.35
2010-02-12,181.75
2010-02-13,172.95
2010-02-14,163.78
2010-02-15,163.78
2010-02-16,162.2
2010-02-17,154.9
2010-02-18,149.0
2010-02-19,154.55
2010-02-20,158.68
2010-02-21,168.92
2010-02-22,173.58
2010-02-23,170.38
2010-02-24,144.99
2010-02-25,140.5
2010-02-26,171.02
2010-02-27,174.54
2010-02-28,163.72
2010-03-01,163.78
2010-03-02,167.02
2010-03-03,172.0
2010-03-04,168.05
2010-03-05,153.3
2010-03-06,146.02
2010-03-07,145.85
2010-03-08,154.22
2010-03-09,146.38
2010-03-10,134.92
2010-03-11,128.26
2010-03-12,125.92
2010-03-13,141.44
2010-03-14,142.39
2010-03-15,156.64
2010-03-16,151.83
2010-03-17,143.14
2010-03-18,155.48
2010-03-19,154.4
2010-03-20,152.75
2010-03-21,144.88
2010-03-22,137.08
2010-03-23,130.19
2010-03-24,123.47
2010-03-25,116.39
2010-03-26,113.0
2010-03-27,113.0
2010-03-28,112.59
2010-03-29,437.9
2010-03-30,489.61
2010-03-31,295.66
2010-04-02,119.74
2010-04-03,126.2
2010-04-04,152.29
2010-04-05,159.38
2010-04-06,168.65
2010-04-07,199.0
2010-04-08,227.3
2010-04-09,294.78
2010-04-10,323.59
2010-04-11,362.61
2010-04-12,421.78
2010-04-13,416.08
2010-04-14,443.15
2010-04-15,490.39
2010-04-16,487.87
2010-04-17,446.13
2010-04-18,404.92
2010-04-19,362.8
2010-04-20,348.27
2010-04-21,327.6
2010-04-22,298.55
2010-04-23,293.88
2010-04-25,273.58
2010-04-26,279.57
2010-04-27,297.25
2010-04-28,292.71
2010-04-29,364.15
2010-04-30,318.2
2010-05-01,492.95
2010-05-02,523.25
2010-05-03,535.85
2010-05-04,705.5
2010-05-05,771.78
2010-05-06,751.82
2010-05-07,742.88
2010-05-08,685.07
2010-05-09,638.31
2010-05-10,595.38
2010-05-11,537.01
2010-05-12,515.66
2010-05-13,487.68
2010-05-14,429.48
2010-05-15,387.26
2010-05-16,349.1
2010-05-17,321.13
2010-05-18,307.0
2010-05-19,297.51
2010-05-20,279.53
2010-05-21,279.84
2010-05-22,306.6
2010-05-23,387.78
2010-05-24,480.34
2010-05-25,373.51
2010-05-26,367.7
2010-05-27,400.89
2010-05-28,395.37
2010-05-29,328.53
2010-05-30,335.4
2010-05-31,275.75
2010-06-01,306.0
2010-06-02,306.91
2010-06-03,339.45
2010-06-04,392.29
2010-06-05,426.1
2010-06-06,403.08
2010-06-07,349.75
2010-06-08,302.85
2010-06-09,272.65
2010-06-10,253.78
2010-06-11,245.25
2010-06-12,245.08
2010-06-13,246.3
2010-06-14,240.35
2010-06-15,240.26
2010-06-16,242.68
2010-06-17,247.03
2010-06-18,237.9
2010-06-19,241.05
2010-06-20,321.57
2010-06-21,422.25
2010-06-22,487.43
2010-06-23,532.67
2010-06-24,456.6
2010-06-25,410.2
2010-06-26,374.95
2010-06-27,341.3
2010-06-28,330.5
2010-06-29,411.07
2010-06-30,463.08
2010-07-01,321.64
2010-07-02,314.85
2010-07-03,386.65
2010-07-04,386.75
2010-07-05,437.31
2010-07-06,474.39
2010-07-07,523.92
2010-07-08,525.02
2010-07-09,532.24
2010-07-10,556.34
2010-07-11,554.87
2010-07-12,630.55
2010-07-13,650.15
2010-07-14,629.66
2010-07-15,672.5
2010-07-16,806.28
2010-07-17,776.67
2010-07-18,763.57
2010-07-19,697.55
2010-07-20,631.85
2010-07-21,603.15
2010-07-22,573.05
2010-07-23,527.24
