FECHA,CAUDAL_M3S
2010-01-02,1.63
2010-01-03,1.58
2010-01-04,1.47
2010-01-05,1.32
2010-01-06,1.21
2010-01-07,1.14
2010-01-08,1.03
2010-01-09,0.94
2010-01-10,0.85
2010-01-11,0.76
2010-01-12,0.66
2010-01-13,0.63
2010-01-14,0.65
2010-01-15,0.71
2010-01-16,0.76
2010-01-17,0.79
2010-01-18,0.79
2010-01-19,0.69
2010-01-20,0.71
2010-01-21,0.73
2010-01-22,0.72
2010-01-23,0.63
2010-01-24,0.55
2010-01-25,0.44
2010-01-26,0.38
2010-01-27,0.53
2010-01-28,0.7
2010-01-29,0.69
2010-01-30,0.74
2010-01-31,0.84
2010-02-01,0.75
2010-02-02,0.55
2010-02-03,0.57
2010-02-04,0.66
2010-02-05,0.6
2010-02-06,0.61
2010-02-07,0.97
2010-02-08,1.49
2010-02-09,1.18
2010-02-10,1.09
2010-02-11,1.11
2010-02-12,0.91
2010-02-13,0.97
2010-02-14,1.01
2010-02-15,0.9
2010-02-16,0.84
2010-02-17,0.9
2010-02-18,0.99
2010-02-19,1.09
2010-02-20,1.11
2010-02-21,1.09
2010-02-22,0.79
2010-02-23,0.69
2010-02-24,1.08
2010-02-25,1.14
2010-02-26,0.98
2010-02-27,0.95
2010-02-28,0.94
2010-03-01,1.12
2010-03-02,1.05
2010-03-03,0.84
2010-03-04,0.77
2010-03-05,0.78
2010-03-06,0.82
2010-03-07,0.79
2010-03-08,0.61
2010-03-09,0.51
2010-03-10,0.48
2010-03-11,0.53
2010-03-12,0.63
2010-03-13,0.89
2010-03-14,0.76
2010-03-15,0.71
2010-03-16,0.76
2010-03-17,0.68
2010-03-18,0.69
2010-03-19,0.66
2010-03-20,0.53
2010-03-21,0.42
2010-03-22,0.4
2010-03-23,0.43
2010-03-24,0.37
2010-03-25,0.3
2010-03-26,0.28
2010-03-27,0.28
2010-03-28,0.32
2010-03-29,2.35
2010-03-30,2.84
2010-03-31,1.55
2010-04-01,0.32
2010-04-02,0.57
2010-04-03,0.74
2010-04-04,0.74
2010-04-05,0.84
2010-04-06,1.0
2010-04-07,1.33
2010-04-08,1.88
2010-04-09,2.06
2010-04-10,2.26
2010-04-11,2.44
2010-04-12,2.48
2010-04-13,3.02
2010-04-14,3.19
2010-04-15,2.84
2010-04-16,2.72
2010-04-17,2.36
2010-04-18,2.11
2010-04-19,2.01
2010-04-20,1.87
2010-04-21,1.82
2010-04-22,1.87
2010-04-23,1.82
2010-04-24,1.74
2010-04-25,1.68
2010-04-26,1.36
2010-04-27,1.58
2010-04-28,2.24
2010-04-29,1.72
2010-04-30,1.6
2010-05-01,2.0
2010-05-02,2.48
2010-05-03,3.3
2010-05-04,4.11
2010-05-05,4.68
2010-05-06,4.65
2010-05-07,4.33
2010-05-08,4.12
2010-05-09,3.78
2010-05-10,3.42
2010-05-11,3.16
2010-05-12,2.91
2010-05-13,2.59
2010-05-14,2.39
2010-05-15,2.18
2010-05-16,2.06
2010-05-17,1.81
2010-05-18,1.67
2010-05-19,1.61
2010-05-20,1.57
2010-05-21,1.73
2010-05-22,1.98
2010-05-23,2.38
2010-05-24,2.11
2010-05-25,1.86
2010-05-26,1.83
2010-05-27,2.02
2010-05-28,1.98
2010-05-29,1.86
2010-05-30,1.7
2010-05-31,1.24
2010-06-01,1.61
2010-06-02,1.88
2010-06-03,2.47
2010-06-04,2.61
2010-06-05,2.45
2010-06-06,1.99
2010-06-07,1.69
2010-06-08,1.45
2010-06-09,1.36
2010-06-10,1.36
2010-06-11,1.42
2010-06-12,1.3
2010-06-13,1.24
2010-06-14,1.24
2010-06-15,1.33
2010-06-16,1.3
2010-06-17,1.29
2010-06-18,1.32
2010-06-19,1.38
2010-06-20,1.59
2010-06-21,2.81
2010-06-22,3.09
2010-06-23,2.64
2010-06-24,2.49
2010-06-25,2.22
2010-06-26,1.87
2010-06-27,1.79
2010-06-28,1.91
2010-06-29,2.4
2010-06-30,2.42
2010-07-01,1.62
2010-07-02,1.87
2010-07-03,2.03
2010-07-04,2.15
2010-07-05,2.29
2010-07-06,2.65
2010-07-07,2.76
2010-07-08,3.28
2010-07-09,3.33
2010-07-10,3.19
2010-07-11,3.38
2010-07-12,3.39
2010-07-13,3.43
2010-07-14,3.3
2010-07-15,3.29
2010-07-16,3.67
2010-07-17,3.91
2010-07-18,3.82
2010-07-19,3.58
2010-07-20,3.51
2010-07-21,3.34
2010-07-22,3.12
2010-07-23,2.83
2010-07-24,2.54
2010-07-25,2.35
2010-07-26,2.08
2010-07-27,1.99
2010-07-28,2.26
2010-07-29,2.12
2010-07-30,1.63
2010-07-31,5.57
2010-08-01,2.73
2010-08-02,2.6
2010-08-03,2.46
2010-08-04,2.5
2010-08-05,2.86
2010-08-06,2.84
2010-08-07,2.66
2010-08-08,2.39
2010-08-09,2.18
2010-08-10,2.08
2010-08-11,2.12
2010-08-12,2.18
2010-08-13,2.18
2010-08-14,1.92
2010-08-15,1.77
2010-08-16,1.67
2010-08-17,1.62
2010-08-18,1.59
2010-08-19,1.8
2010-08-20,1.8
2010-08-21,1.84
2010-08-22,1.5
2010-08-23,1.21
2010-08-24,1.04
2010-08-25,1.11
2010-08-26,1.21
2010-08-27,1.33
2010-08-28,1.99
2010-08-29,1.94
2010-08-30,2.08
2010-09-01,1.46
2010-09-02,1.9
2010-09-03,2.17
2010-09-04,2.35
2010-09-05,2.32
2010-09-06,2.34
2010-09-07,1.96
2010-09-08,2.64
2010-09-09,2.94
2010-09-10,2.52
2010-09-11,2.3
2010-09-12,2.22
2010-09-13,2.09
2010-09-14,2.02
2010-09-15,2.04
2010-09-16,1.99
2010-09-17,2.04
2010-09-18,2.25
2010-09-19,1.85
2010-09-20,1.36
2010-09-21,1.29
2010-09-22,1.54
2010-09-23,1.64
2010-09-24,1.86
2010-09-25,2.07
2010-09-26,1.68
2010-09-27,1.55
2010-09-28,1.54
2010-09-29,3.31
2010-09-30,3.58
2010-10-01,2.09
2010-10-02,2.22
2010-10-03,1.75
2010-10-04,1.59
2010-10-05,2.06
2010-10-06,2.33
2010-10-07,3.24
2010-10-08,3.22
2010-10-09,2.1
2010-10-10,1.57
2010-10-11,1.56
2010-10-12,1.56
2010-10-13,1.57
2010-10-14,1.4
2010-10-15,1.35
2010-10-16,1.26
2010-10-17,1.3
2010-10-18,1.55
2010-10-19,1.58
2010-10-20,1.83
2010-10-21,2.28
2010-10-22,2.18
2010-10-23,2.11
2010-10-24,2.66
2010-10-25,2.61
2010-10-26,2.49
2010-10-27,2.63
2010-10-28,2.86
2010-10-29,6.54
2010-10-30,6.52
2010-11-01,4.15
2010-11-02,4.08
2010-11-03,4.65
2010-11-04,5.06
2010-11-05,5.3
2010-11-06,5.31
2010-11-07,5.11
2010-11-08,4.91
2010-11-09,4.9
2010-11-10,5.09
2010-11-11,5.34
2010-11-12,5.48
2010-11-13,5.42
2010-11-14,5.54
2010-11-15,5.86
2010-11-16,5.96
2010-11-17,6.14
2010-11-18,6.22
2010-11-19,6.32
2010-11-20,6.36
2010-11-21,6.34
2010-11-22,6.35
2010-11-23,6.4
2010-11-24,6.53
2010-11-25,6.55
2010-11-26,6.58
2010-11-27,6.62
2010-11-28,6.62
2010-11-29,5.83
2010-11-30,5.72
2010-12-01,6.54
2010-12-02,6.53
2010-12-03,6.58
2010-12-04,6.63
2010-12-05,6.69
2010-12-06,6.72
2010-12-07,6.72
2010-12-08,6.68
2010-12-09,6.52
2010-12-10,6.39
2010-12-11,6.26
2010-12-12,6.05
2010-12-13,5.94
2010-12-14,5.87
2010-12-15,5.88
2010-12-16,6.02
2010-12-17,6.19
2010-12-18,6.28
2010-12-19,6.36
2010-12-20,6.46
2010-12-21,6.5
2010-12-22,6.43
2010-12-23,6.29
2010-12-24,6.17
2010-12-25,6.17
2010-12-26,6.21
2010-12-27,6.15
2010-12-28,5.94
2011-01-01,5.37
2011-01-02,5.16
2011-01-03,4.93
2011-01-04,4.78
2011-01-05,4.86
2011-01-06,4.94
2011-01-07,4.96
2011-01-08,4.89
2011-01-09,4.76
2011-01-10,4.61
2011-01-11,4.49
2011-01-12,4.1
2011-01-13,3.72
2011-01-14,3.56
2011-01-15,3.54
2011-01-16,3.4
2011-01-17,3.26
2011-01-18,3.18
2011-01-19,3.18
2011-01-20,3.17
2011-01-21,3.18
2011-01-22,3.21
2011-01-23,3.1
2011-01-24,2.97
2011-01-25,2.79
2011-01-26,2.86
2011-01-27,2.75
2011-01-28,2.79
2011-01-29,2.79
2011-01-30,2.91
2011-01-31,2.8
2011-02-01,2.67
2011-02-02,2.58
2011-02-03,2.5
2011-02-04,2.47
2011-02-05,2.73
2011-02-06,2.94
2011-02-07,2.97
2011-02-08,3.45
2011-02-09,3.61
2011-02-10,3.99
2011-02-11,4.06
2011-02-12,4.01
2011-02-13,4.01
2011-02-14,4.17
2011-02-15,4.29
2011-02-16,4.28
2011-02-17,4.46
2011-02-18,4.53
2011-02-19,4.48
2011-02-20,4.36
2011-02-21,4.25
2011-02-22,4.19
2011-02-23,4.12
2011-02-24,4.38
2011-02-25,4.84
2011-02-26,5.29
2011-02-27,5.39
2011-02-28,5.27
2011-03-01,5.15
2011-03-02,5.34
2011-03-03,5.75
2011-03-04,6.01
2011-03-05,5.94
2011-03-06,5.68
2011-03-07,5.49
2011-03-08,5.37
2011-03-09,5.25
2011-03-10,5.3
2011-03-11,5.52
2011-03-12,5.56
2011-03-13,5.34
2011-03-14,5.08
2011-03-15,4.87
2011-03-16,4.68
2011-03-17,4.54
2011-03-18,4.42
2011-03-19,4.31
2011-03-20,4.29
2011-03-21,4.26
2011-03-22,4.04
2011-03-23,4.09
2011-03-24,4.16
2011-03-25,4.15
2011-03-26,4.19
2011-03-27,4.13
2011-03-28,3.9
2011-03-29,5.74
2011-03-30,5.79
2011-03-31,3.72
2011-04-01,3.35
2011-04-02,3.41
2011-04-03,3.6
2011-04-04,3.81
2011-04-05,4.07
2011-04-06,4.3
2011-04-07,4.23
2011-04-08,4.04
2011-04-09,3.95
2011-04-10,4.37
2011-04-11,4.87
2011-04-12,5.18
2011-04-13,5.3
2011-04-14,5.6
2011-04-15,6.03
2011-04-16,6.16
2011-04-17,6.11
2011-04-18,6.0
2011-04-19,5.98
2011-04-20,6.0
2011-04-21,6.12
2011-04-22,6.27
2011-04-23,6.28
2011-04-24,6.34
2011-04-25,6.32
2011-04-26,6.14
2011-04-27,5.85
2011-04-28,5.68
2011-04-29,3.83
2011-04-30,3.74
2011-05-01,5.55
2011-05-02,5.34
2011-05-03,5.26
2011-05-04,5.1
2011-05-05,4.94
2011-05-06,4.75
2011-05-07,4.51
2011-05-08,4.27
2011-05-09,4.34
2011-05-10,4.29
2011-05-11,4.18
2011-05-12,4.04
2011-05-13,3.98
2011-05-14,4.24
2011-05-15,4.52
2011-05-16,4.53
2011-05-17,4.4
2011-05-18,4.43
2011-05-19,4.33
2011-05-20,4.23
2011-05-21,4.16
2011-05-22,4.15
2011-05-23,4.18
2011-05-24,4.18
2011-05-25,4.14
2011-05-26,4.05
2011-05-27,3.93
2011-05-28,3.9
2011-05-29,2.08
2011-05-30,1.91
2011-05-31,1.5
2011-06-01,3.78
2011-06-02,3.75
2011-06-03,3.87
2011-06-04,3.86
2011-06-05,3.75
2011-06-06,3.62
2011-06-07,3.36
2011-06-08,3.07
2011-06-09,2.98
2011-06-10,3.06
2011-06-11,2.84
2011-06-12,2.64
2011-06-13,2.44
2011-06-14,2.23
2011-06-15,2.4
2011-06-16,2.38
2011-06-17,2.38
2011-06-18,2.42
2011-06-19,2.44
2011-06-20,2.41
2011-06-21,2.37
2011-06-22,2.3
2011-06-23,2.28
2011-06-24,2.28
2011-06-25,2.34
2011-06-26,2.32
2011-06-27,2.19
2011-06-28,2.24
2011-06-29,2.26
2011-06-30,2.84
2011-07-01,2.06
2011-07-02,2.48
2011-07-03,2.27
2011-07-04,2.15
2011-07-05,1.92
2011-07-06,1.85
2011-07-07,2.24
2011-07-08,2.13
2011-07-09,2.16
2011-07-10,2.11
2011-07-11,1.78
2011-07-12,1.66
2011-07-13,2.06
2011-07-14,2.4
2011-07-15,2.78
2011-07-16,2.99
2011-07-17,2.96
2011-07-18,2.64
2011-07-19,2.42
2011-07-20,2.37
2011-07-21,2.36
2011-07-22,2.28
2011-07-23,2.24
2011-07-24,2.24
2011-07-25,2.28
2011-07-26,2.16
2011-07-27,2.25
2011-07-28,2.4
2011-07-29,1.42
2011-07-30,1.29
2011-07-31,4.6
2011-08-01,3.15
2011-08-02,2.8
2011-08-03,2.42
2011-08-04,2.24
2011-08-05,2.14
2011-08-06,2.02
2011-08-07,1.96
2011-08-08,2.02
2011-08-09,1.73
2011-08-10,2.03
2011-08-11,1.85
2011-08-12,1.78
2011-08-13,1.84
2011-08-14,2.13
2011-08-15,1.93
2011-08-16,1.53
2011-08-17,1.16
2011-08-18,1.2
2011-08-19,1.65
2011-08-20,1.6
2011-08-21,1.74
2011-08-22,1.55
2011-08-23,1.23
2011-08-24,1.58
2011-08-25,2.26
2011-08-26,2.13
2011-08-27,1.79
2011-08-28,1.67
2011-08-29,1.45
2011-08-30,1.65
2011-09-01,1.61
2011-09-02,1.38
2011-09-03,1.42
2011-09-04,1.49
2011-09-05,1.22
2011-09-06,1.02
2011-09-07,1.1
2011-09-08,1.71
2011-09-09,1.98
2011-09-10,1.74
2011-09-11,1.56
2011-09-12,1.42
2011-09-13,1.31
2011-09-14,1.2
2011-09-15,1.48
2011-09-16,1.72
2011-09-17,1.95
2011-09-18,1.79
2011-09-19,1.85
2011-09-20,1.87
2011-09-21,1.87
2011-09-22,1.77
2011-09-23,1.65
2011-09-24,1.48
2011-09-25,1.45
2011-09-26,1.54
2011-09-27,1.32
2011-09-28,1.4
2011-09-29,2.95
2011-09-30,3.08
2011-10-01,1.78
2011-10-02,1.98
2011-10-03,1.9
2011-10-04,1.59
2011-10-05,2.24
2011-10-06,2.6
2011-10-07,2.27
2011-10-08,2.34
2011-10-09,2.35
2011-10-10,2.35
2011-10-11,2.67
2011-10-12,3.06
2011-10-13,3.93
2011-10-14,4.0
2011-10-15,3.61
2011-10-16,3.87
2011-10-17,4.54
2011-10-18,5.02
2011-10-19,5.3
2011-10-20,5.14
2011-10-21,4.47
2011-10-22,3.98
2011-10-23,3.5
2011-10-24,3.03
2011-10-25,2.95
2011-10-26,2.93
2011-10-27,2.83
2011-10-28,2.72
2011-10-29,4.47
2011-10-30,4.8
2011-11-01,3.3
2011-11-02,2.91
2011-11-03,2.54
2011-11-04,2.24
2011-11-05,2.12
2011-11-06,2.17
2011-11-07,2.18
2011-11-08,2.47
2011-11-09,3.59
2011-11-10,3.85
2011-11-11,4.25
2011-11-12,4.88
2011-11-13,5.5
2011-11-14,5.64
2011-11-15,5.62
2011-11-16,5.34
2011-11-17,5.07
2011-11-18,4.96
2011-11-19,5.03
2011-11-20,5.07
2011-11-21,5.06
2011-11-22,5.14
2011-11-23,5.22
2011-11-24,5.18
2011-11-25,4.96
2011-11-26,4.68
2011-11-27,4.41
2011-11-28,4.3
2011-11-29,4.82
2011-11-30,4.71
2011-12-01,5.2
2011-12-02,5.33
2011-12-03,5.41
2011-12-04,5.58
2011-12-05,5.97
2011-12-06,6.22
2011-12-07,6.25
2011-12-08,6.26
2011-12-09,6.38
2011-12-10,6.42
2011-12-11,6.25
2011-12-12,5.97
2011-12-13,5.81
2011-12-14,5.86
2011-12-15,6.01
2011-12-16,6.28
2011-12-17,6.47
2011-12-18,6.52
2011-12-19,6.48
2011-12-20,6.44
2011-12-21,6.42
2011-12-22,6.38
2011-12-23,6.26
2011-12-24,6.07
2011-12-25,5.78
2011-12-26,5.44
2011-12-27,5.17
2011-12-28,4.97
2012-01-01,4.49
2012-01-02,4.39
2012-01-03,4.29
2012-01-04,4.29
2012-01-05,4.46
2012-01-06,4.6
2012-01-07,4.66
2012-01-08,4.71
2012-01-09,4.65
2012-01-10,4.56
2012-01-11,4.43
2012-01-12,4.36
2012-01-13,4.26
2012-01-14,4.18
2012-01-15,4.08
2012-01-16,4.03
2012-01-17,4.06
2012-01-18,4.32
2012-01-19,4.6
2012-01-20,4.78
2012-01-21,4.85
2012-01-22,4.93
2012-01-23,5.03
2012-01-24,5.21
2012-01-25,5.59
2012-01-26,5.87
2012-01-27,6.05
2012-01-28,6.13
2012-01-29,6.01
2012-01-30,5.72
2012-01-31,5.44
2012-02-01,5.26
2012-02-02,5.14
2012-02-03,5.01
2012-02-04,4.95
2012-02-05,4.9
2012-02-06,4.81
2012-02-07,4.73
2012-02-08,4.68
2012-02-09,4.72
2012-02-10,4.85
2012-02-11,4.9
2012-02-12,4.84
2012-02-13,4.8
2012-02-14,4.72
2012-02-15,4.65
2012-02-16,4.64
2012-02-17,4.65
2012-02-18,4.6
2012-02-19,4.47
2012-02-20,4.31
2012-02-21,4.16
2012-02-22,4.06
2012-02-23,3.95
2012-02-24,3.89
2012-02-25,3.83
2012-02-26,3.8
2012-02-27,3.88
2012-02-28,3.99
2012-02-29,4.16
2012-03-01,4.38
2012-03-02,4.27
2012-03-03,3.84
2012-03-04,3.44
2012-03-05,3.23
2012-03-06,3.1
2012-03-07,3.3
2012-03-08,3.44
2012-03-09,3.28
2012-03-10,3.18
2012-03-11,3.08
2012-03-12,2.97
2012-03-13,2.89
2012-03-14,2.88
2012-03-15,2.89
2012-03-16,2.72
2012-03-17,2.83
2012-03-18,2.99
2012-03-19,2.7
2012-03-20,2.9
2012-03-21,2.82
2012-03-22,2.81
2012-03-23,3.16
2012-03-24,3.28
2012-03-25,3.75
2012-03-26,4.09
2012-03-27,3.95
2012-03-28,3.8
2012-03-29,3.6
2012-03-30,4.25
2012-03-31,1.61
2012-04-01,3.21
2012-04-02,2.74
2012-04-03,2.36
2012-04-04,2.36
2012-04-05,2.18
2012-04-06,2.38
2012-04-07,3.03
2012-04-08,3.15
2012-04-09,2.94
2012-04-10,3.14
2012-04-11,3.45
2012-04-12,3.86
2012-04-13,3.92
2012-04-14,3.55
2012-04-15,3.39
2012-04-16,3.33
2012-04-17,3.35
2012-04-18,3.74
2012-04-19,3.79
2012-04-20,4.31
2012-04-21,4.24
2012-04-22,4.48
2012-04-23,4.52
2012-04-24,4.17
2012-04-25,3.81
2012-04-26,3.92
2012-04-27,3.89
2012-04-28,3.9
2012-04-29,4.18
2012-04-30,1.64
2012-05-01,4.36
2012-05-02,4.66
2012-05-03,4.59
2012-05-04,4.2
2012-05-05,3.8
2012-05-06,3.77
2012-05-07,3.89
2012-05-08,3.9
2012-05-09,3.93
2012-05-10,3.75
2012-05-11,3.45
2012-05-12,3.13
2012-05-13,3.02
2012-05-14,2.86
2012-05-15,2.84
2012-05-16,2.85
2012-05-17,2.51
2012-05-18,2.3
2012-05-19,2.18
2012-05-20,2.37
2012-05-21,3.03
2012-05-22,2.68
2012-05-23,2.35
2012-05-24,2.18
2012-05-25,2.09
2012-05-26,1.96
2012-05-27,1.91
2012-05-28,1.81
