FECHA,CAUDAL_M3S
2015-01-01,1.9
2015-01-02,1.76
2015-01-03,1.7
2015-01-04,1.68
2015-01-05,1.5
2015-01-06,1.4
2015-01-07,1.5
2015-01-08,1.8
2015-01-09,1.6
2015-01-10,1.68
2015-01-11,1.48
2015-01-12,1.46
2015-01-13,1.4
2015-01-14,1.36
2015-01-15,1.67
2015-01-16,2.2
2015-01-17,2.44
2015-01-18,2.6
2015-01-19,2.8
2015-01-20,2.24
2015-01-21,2.6
2015-01-22,2.24
2015-01-23,3.0
2015-01-24,3.2
2015-01-25,3.06
2015-01-26,2.9
2015-01-27,2.54
2015-01-28,2.44
2015-01-29,2.4
2015-01-30,1.86
2015-01-31,1.8
2015-02-01,1.96
2015-02-02,1.86
2015-02-03,1.76
2015-02-04,1.74
2015-02-05,1.76
2015-02-06,1.8
2015-02-07,2.1
2015-02-08,2.2
2015-02-09,2.28
2015-02-10,3.2
2015-02-11,3.62
2015-02-12,3.26
2015-02-13,3.0
2015-02-14,2.9
2015-02-15,2.36
2015-02-16,2.24
2015-02-17,2.2
2015-02-18,2.44
2015-02-19,2.4
2015-02-20,2.4
2015-02-21,2.26
2015-02-22,2.36
2015-02-23,2.26
2015-02-24,2.2
2015-02-25,2.24
2015-02-26,2.28
2015-02-27,2.34
2015-02-28,2.3
2015-03-01,2.3
2015-03-02,2.2
2015-03-03,2.36
2015-03-04,2.28
2015-03-05,3.45
2015-03-06,2.38
2015-03-07,3.5
2015-03-08,3.0
2015-03-09,2.5
2015-03-10,2.0
2015-03-11,2.1
2015-03-12,2.16
2015-03-13,2.2
2015-03-14,2.0
2015-03-15,2.1
2015-03-16,2.4
2015-03-17,2.46
2015-03-18,3.0
2015-03-19,3.85
2015-03-20,4.0
2015-03-21,4.1
2015-03-22,4.16
2015-03-23,3.9
2015-03-24,3.05
2015-03-25,2.9
2015-03-26,2.86
2015-03-27,3.2
2015-03-28,2.9
2015-03-29,2.9
2015-03-30,3.0
2015-03-31,1.82
2015-04-01,3.44
2015-04-02,3.3
2015-04-03,3.2
2015-04-04,3.14
2015-04-05,3.0
2015-04-06,2.84
2015-04-07,2.84
2015-04-08,2.5
2015-04-09,2.86
2015-04-10,2.58
2015-04-11,2.5
2015-04-12,2.48
2015-04-13,2.37
2015-04-14,2.1
2015-04-15,2.0
2015-04-16,2.68
2015-04-17,3.84
2015-04-18,4.74
2015-04-19,4.6
2015-04-20,4.44
2015-04-21,4.16
2015-04-22,4.0
2015-04-23,3.9
2015-04-24,3.36
2015-04-25,3.0
2015-04-26,2.5
2015-04-27,2.9
2015-04-28,2.84
2015-04-29,1.86
2015-04-30,1.9
2015-05-01,2.86
2015-05-02,2.78
2015-05-03,2.6
2015-05-04,2.48
2015-05-05,2.36
2015-05-06,2.2
2015-05-07,2.28
2015-05-08,2.08
2015-05-09,1.94
2015-05-10,1.9
2015-05-11,1.74
2015-05-12,1.6
2015-05-13,1.5
2015-05-14,1.78
2015-05-15,1.84
2015-05-16,1.6
2015-05-17,1.68
2015-05-18,1.84
2015-05-19,1.9
2015-05-20,1.68
2015-05-21,1.46
2015-05-22,1.4
2015-05-23,1.36
2015-05-24,1.48
2015-05-25,1.42
2015-05-26,1.38
2015-05-27,1.24
2015-05-28,1.48
2015-05-29,1.32
2015-05-30,1.3
2015-05-31,1.1
2015-06-01,1.76
2015-06-02,1.7
2015-06-03,1.58
2015-06-04,1.36
2015-06-05,1.3
2015-06-06,1.26
2015-06-07,1.9
2015-06-08,1.8
2015-06-09,1.56
2015-06-10,1.6
2015-06-11,1.38
2015-06-12,1.8
2015-06-13,1.66
2015-06-14,1.46
2015-06-15,1.36
2015-06-16,1.2
2015-06-17,1.26
2015-06-18,1.1
2015-06-19,1.0
2015-06-20,1.2
2015-06-21,1.16
2015-06-22,1.4
2015-06-23,1.16
2015-06-24,1.56
2015-06-25,1.66
2015-06-26,1.4
2015-06-27,1.06
2015-06-28,1.26
2015-06-29,0.98
2015-06-30,1.0
2015-07-01,1.06
2015-07-02,1.0
2015-07-03,0.96
2015-07-04,1.0
2015-07-05,0.9
2015-07-06,0.8
2015-07-07,0.76
2015-07-08,0.68
2015-07-09,1.26
2015-07-10,1.46
2015-07-11,1.8
2015-07-12,1.44
2015-07-13,1.36
2015-07-14,1.18
2015-07-15,0.9
2015-07-16,1.26
2015-07-17,1.22
2015-07-18,1.54
2015-07-19,1.48
2015-07-20,1.6
2015-07-21,1.66
2015-07-22,1.26
2015-07-23,1.16
2015-07-24,1.56
2015-07-25,1.8
2015-07-26,1.26
2015-07-27,1.16
2015-07-28,1.1
2015-07-29,1.26
2015-07-30,1.16
2015-07-31,0.4
2015-08-01,1.26
2015-08-02,1.18
2015-08-03,1.1
2015-08-04,1.0
2015-08-05,0.94
2015-08-06,1.2
2015-08-07,1.16
2015-08-08,1.1
2015-08-09,1.0
2015-08-10,1.06
2015-08-11,1.16
2015-08-12,1.26
2015-08-13,1.2
2015-08-14,1.18
2015-08-15,1.12
2015-08-16,1.36
2015-08-17,1.52
2015-08-18,1.86
2015-08-19,1.46
2015-08-20,1.1
2015-08-21,1.0
2015-08-22,1.26
2015-08-23,1.46
2015-08-24,1.06
2015-08-25,1.1
2015-08-26,1.0
2015-08-27,1.36
2015-08-28,1.2
2015-08-29,0.5
2015-08-30,0.56
2015-09-01,1.0
2015-09-02,1.06
2015-09-03,1.4
2015-09-04,1.4
2015-09-05,1.56
2015-09-06,1.16
2015-09-07,1.0
2015-09-08,0.9
2015-09-09,1.1
2015-09-10,1.0
2015-09-11,1.1
2015-09-12,1.26
2015-09-13,1.2
2015-09-14,1.18
2015-09-15,1.02
2015-09-16,0.9
2015-09-17,0.86
2015-09-18,0.9
2015-09-19,0.96
2015-09-20,1.0
2015-09-21,0.9
2015-09-22,0.86
2015-09-23,0.8
2015-09-24,0.76
2015-09-25,0.7
2015-09-26,0.5
2015-09-27,0.8
2015-09-28,0.6
2015-09-29,0.86
2015-09-30,0.6
2015-10-01,0.8
2015-10-02,0.8
2015-10-03,0.9
2015-10-04,1.1
2015-10-05,1.0
2015-10-06,0.8
2015-10-07,0.68
2015-10-08,0.66
2015-10-09,0.62
2015-10-10,0.6
2015-10-11,0.5
2015-10-12,0.4
2015-10-13,0.56
2015-10-14,0.62
2015-10-15,0.7
2015-10-16,1.0
2015-10-17,1.1
2015-10-18,1.3
2015-10-19,0.95
2015-10-20,1.0
2015-10-21,1.1
2015-10-22,0.56
2015-10-23,0.6
2015-10-24,0.58
2015-10-25,0.6
2015-10-26,1.0
2015-10-27,1.26
2015-10-28,1.16
2015-10-29,1.36
2015-10-30,1.3
2015-11-01,1.16
2015-11-02,1.3
2015-11-03,1.58
2015-11-04,1.86
2015-11-05,1.48
2015-11-06,1.4
2015-11-07,1.8
2015-11-08,1.96
2015-11-09,2.2
2015-11-10,1.86
2015-11-11,1.6
2015-11-12,1.36
2015-11-13,1.16
2015-11-14,1.2
2015-11-15,1.0
2015-11-16,0.86
2015-11-17,0.6
2015-11-18,1.0
2015-11-19,1.6
2015-11-20,1.46
2015-11-21,1.58
2015-11-22,1.8
2015-11-23,2.16
2015-11-24,2.24
2015-11-25,1.7
2015-11-26,1.66
2015-11-27,1.6
2015-11-28,1.48
2015-11-29,0.4
2015-11-30,0.4
2015-12-01,1.1
2015-12-02,1.0
2015-12-03,1.06
2015-12-04,1.0
2015-12-05,0.96
2015-12-06,0.8
2015-12-07,0.5
2015-12-08,0.52
2015-12-09,0.45
2015-12-10,0.4
2015-12-11,0.46
2015-12-12,0.5
2015-12-13,0.56
2015-12-14,0.4
2015-12-15,0.4
2015-12-16,0.42
2015-12-17,0.5
2015-12-18,0.4
2015-12-19,0.4
2015-12-20,0.4
2015-12-21,0.4
2015-12-22,0.4
2015-12-23,0.4
2015-12-24,0.4
2015-12-25,0.4
2015-12-26,0.4
2015-12-27,0.4
2015-12-28,0.4
2016-01-01,0.4
2016-01-02,0.4
2016-01-03,0.8
2016-01-04,0.55
2016-01-05,0.65
2016-01-06,0.6
2016-01-07,0.6
2016-01-08,0.6
2016-01-09,0.8
2016-01-10,0.85
2016-01-11,0.8
2016-01-12,1.0
2016-01-13,1.2
2016-01-14,1.0
2016-01-15,0.8
2016-01-16,0.6
2016-01-17,0.4
2016-01-18,0.4
2016-01-19,0.4
2016-01-20,0.4
2016-01-21,0.4
2016-01-22,0.45
2016-01-23,0.5
2016-01-24,0.55
2016-01-25,0.6
2016-01-26,0.5
2016-01-27,0.4
2016-01-28,0.4
2016-01-29,0.4
2016-01-30,0.4
2016-01-31,0.4
2016-02-01,0.6
2016-02-02,0.55
2016-02-03,0.6
2016-02-04,0.65
2016-02-05,0.7
2016-02-06,0.65
2016-02-07,0.6
2016-02-08,0.8
2016-02-09,0.6
2016-02-10,0.7
2016-02-11,0.5
2016-02-12,0.65
2016-02-13,0.5
2016-02-14,0.6
2016-02-15,0.7
2016-02-16,0.5
2016-02-17,0.4
2016-02-18,0.6
2016-02-19,0.7
2016-02-20,0.8
2016-02-21,0.85
2016-02-22,0.65
2016-02-23,0.8
2016-02-24,1.1
2016-02-25,1.0
2016-02-26,0.95
2016-02-27,0.9
2016-02-28,0.8
2016-02-29,0.75
2016-03-01,0.8
2016-03-02,0.9
2016-03-03,1.0
2016-03-04,1.04
2016-03-05,0.95
2016-03-06,1.05
2016-03-07,1.2
2016-03-08,1.66
2016-03-09,1.6
2016-03-10,1.56
2016-03-11,1.5
2016-03-12,1.36
2016-03-13,1.45
2016-03-14,1.4
2016-03-15,1.46
2016-03-16,1.86
2016-03-17,1.6
2016-03-18,1.46
2016-03-19,1.68
2016-03-20,2.0
2016-03-21,1.8
2016-03-22,1.6
2016-03-23,1.4
2016-03-24,1.36
2016-03-25,1.2
2016-03-26,1.16
2016-03-27,1.0
2016-03-28,1.26
2016-03-29,1.3
2016-03-30,3.6
2016-03-31,2.2
2016-04-01,1.35
2016-04-02,1.46
2016-04-03,1.8
2016-04-04,2.0
2016-04-05,2.2
2016-04-06,2.0
2016-04-07,1.96
2016-04-08,1.92
2016-04-09,1.92
2016-04-10,2.18
2016-04-11,2.0
2016-04-12,2.84
2016-04-13,3.94
2016-04-14,4.0
2016-04-15,3.8
2016-04-16,3.2
2016-04-17,2.9
2016-04-18,2.65
2016-04-19,2.36
2016-04-20,2.0
2016-04-21,1.96
2016-04-22,1.8
2016-04-23,1.6
2016-04-24,1.45
2016-04-25,1.4
2016-04-26,1.76
2016-04-27,2.4
2016-04-28,2.74
2016-04-29,3.14
2016-04-30,2.3
2016-05-01,3.8
2016-05-02,3.56
2016-05-03,4.1
2016-05-04,3.8
2016-05-05,3.46
2016-05-06,3.06
2016-05-07,3.4
2016-05-08,3.6
2016-05-09,3.88
2016-05-10,3.98
2016-05-11,5.05
2016-05-12,4.6
2016-05-13,4.1
2016-05-14,3.5
2016-05-15,3.0
