FECHA,CAUDAL_M3S
2010-01-01,260.1
2010-01-02,249.75
2010-01-03,242.72
2010-01-04,232.0
2010-01-05,218.71
2010-01-06,202.32
2010-01-07,189.0
2010-01-08,178.64
2010-01-09,167.72
2010-01-10,160.45
2010-01-11,155.1
2010-01-12,142.42
2010-01-13,132.15
2010-01-14,128.5
2010-01-15,132.31
2010-01-16,135.46
2010-01-17,141.8
2010-01-18,144.89
2010-01-19,143.66
2010-01-20,129.39
2010-01-21,130.98
2010-01-22,135.72
2010-01-23,130.78
2010-01-24,125.66
2010-01-25,120.76
2010-01-26,113.28
2010-01-27,110.99
2010-01-28,124.1
2010-01-29,139.16
2010-01-30,137.9
2010-01-31,142.12
2010-02-01,146.28
2010-02-02,140.29
2010-02-03,118.5
2010-02-04,114.46
2010-02-05,123.79
2010-02-06,122.45
2010-02-07,137.19
2010-02-08,169.85
2010-02-09,212.38
2010-02-10,185.78
2010-02-11,183.71
2010-02-12,179.25
2010-02-13,163.82
2010-02-14,162.88
2010-02-15,166.45
2010-02-16,156.95
2010-02-17,157.2
2010-02-18,162.0
2010-02-19,165.88
2010-02-20,170.3
2010-02-21,172.85
2010-02-22,171.2
2010-02-23,140.84
2010-02-24,127.58
2010-02-25,163.41
2010-02-26,176.65
2010-02-27,162.94
2010-02-28,160.6
2010-03-01,161.71
2010-03-02,172.66
2010-03-03,168.1
2010-03-04,148.41
2010-03-05,141.48
2010-03-06,139.19
2010-03-07,151.28
2010-03-08,141.64
2010-03-09,122.21
2010-03-10,111.51
2010-03-11,114.69
2010-03-12,128.36
2010-03-13,127.99
2010-03-14,152.64
2010-03-15,141.3
2010-03-16,130.11
2010-03-17,134.39
2010-03-18,140.85
2010-03-19,140.38
2010-03-20,129.25
2010-03-21,119.39
2010-03-22,112.66
2010-03-23,107.62
2010-03-24,101.02
2010-03-25,92.98
2010-03-26,88.18
2010-03-27,88.25
2010-03-28,87.75
2010-03-29,392.9
2010-03-30,418.92
2010-03-31,270.92
2010-04-01,98.65
2010-04-02,105.28
2010-04-03,127.42
2010-04-04,144.7
2010-04-05,150.46
2010-04-06,171.65
2010-04-07,213.94
2010-04-08,263.44
2010-04-09,306.72
2010-04-10,322.04
2010-04-11,356.38
2010-04-12,394.79
2010-04-13,393.1
2010-04-14,434.74
2010-04-15,435.86
2010-04-16,411.01
2010-04-17,399.95
2010-04-18,365.28
2010-04-19,335.39
2010-04-20,320.09
2010-04-21,296.82
2010-04-22,290.38
2010-04-23,285.81
2010-04-24,269.25
2010-04-25,262.44
2010-04-26,269.56
2010-04-27,268.91
2010-04-28,309.72
2010-04-29,312.01
2010-04-30,280.9
2010-05-01,455.94
2010-05-02,440.3
2010-05-03,480.6
2010-05-04,653.9
2010-05-05,688.14
2010-05-06,714.36
2010-05-07,685.15
2010-05-08,633.71
2010-05-09,581.2
2010-05-10,520.62
2010-05-11,473.16
2010-05-12,442.72
2010-05-13,407.4
2010-05-14,367.96
2010-05-15,336.39
2010-05-16,312.96
2010-05-17,299.1
2010-05-18,279.64
2010-05-19,265.19
2010-05-20,255.29
2010-05-21,264.65
2010-05-22,302.72
2010-05-23,326.22
2010-05-24,345.41
2010-05-25,321.71
2010-05-26,320.29
2010-05-27,344.64
2010-05-28,340.46
2010-05-29,295.92
2010-05-30,293.62
2010-05-31,255.88
2010-06-01,271.58
2010-06-02,287.82
2010-06-03,316.04
2010-06-04,375.89
2010-06-05,374.41
2010-06-06,342.4
2010-06-07,299.09
2010-06-08,265.22
2010-06-09,244.78
2010-06-10,233.0
2010-06-11,231.65
2010-06-12,228.68
2010-06-13,223.76
2010-06-14,220.34
2010-06-15,220.22
2010-06-16,231.56
2010-06-17,224.12
2010-06-18,223.6
2010-06-19,239.21
2010-06-20,304.68
2010-06-21,347.31
2010-06-22,425.58
2010-06-23,407.11
2010-06-24,377.12
2010-06-25,349.15
2010-06-26,317.74
2010-06-27,290.5
2010-06-28,291.44
2010-06-29,359.8
2010-06-30,378.08
2010-07-01,282.54
2010-07-02,296.98
2010-07-03,331.6
2010-07-04,352.51
2010-07-05,388.46
2010-07-06,420.61
2010-07-07,443.9
2010-07-08,453.61
2010-07-09,500.32
2010-07-10,487.94
2010-07-11,503.98
2010-07-12,603.4
2010-07-13,568.2
2010-07-14,536.41
2010-07-15,603.16
2010-07-16,665.05
2010-07-17,663.28
2010-07-18,636.95
2010-07-19,588.81
2010-07-20,552.22
2010-07-21,528.48
2010-07-22,485.21
2010-07-23,441.12
2010-07-24,404.3
2010-07-25,375.31
2010-07-26,352.82
2010-07-27,333.11
2010-07-28,335.2
2010-07-29,297.62
2010-07-30,296.78
2010-07-31,940.2
2010-08-01,417.21
2010-08-02,410.25
2010-08-03,392.39
2010-08-04,390.65
2010-08-05,382.85
2010-08-06,409.64
2010-08-07,401.48
2010-08-08,393.82
2010-08-09,348.31
2010-08-10,328.52
2010-08-11,324.8
2010-08-13,343.38
2010-08-14,326.09
2010-08-15,307.5
2010-08-16,311.62
2010-08-17,276.6
2010-08-18,262.08
2010-08-19,262.18
2010-08-20,288.86
2010-08-21,278.95
2010-08-22,273.51
2010-08-23,236.06
2010-08-24,210.38
2010-08-25,200.54
2010-08-26,212.4
2010-08-27,222.11
2010-08-28,237.54
2010-08-29,288.82
2010-08-30,330.96
2010-09-01,258.44
2010-09-02,302.2
2010-09-03,348.72
2010-09-04,343.2
2010-09-05,349.84
2010-09-06,346.69
2010-09-07,349.1
2010-09-08,320.08
2010-09-09,386.31
2010-09-10,394.99
2010-09-11,350.69
2010-09-12,341.1
2010-09-13,336.16
2010-09-14,313.2
2010-09-15,303.9
2010-09-16,305.25
2010-09-17,308.08
2010-09-18,324.32
2010-09-19,319.86
2010-09-20,293.05
2010-09-21,259.28
2010-09-22,251.5
2010-09-23,286.12
2010-09-24,307.84
2010-09-25,322.44
2010-09-26,316.56
2010-09-27,296.95
2010-09-28,292.86
2010-09-29,521.15
2010-09-30,629.86
2010-10-01,353.72
2010-10-02,339.58
2010-10-03,340.31
2010-10-04,361.01
2010-10-05,378.92
2010-10-06,452.45
2010-10-07,472.7
2010-10-08,456.69
2010-10-09,384.5
2010-10-10,329.5
2010-10-11,305.25
2010-10-12,285.3
2010-10-13,263.88
2010-10-14,262.45
2010-10-15,254.12
2010-10-16,249.25
2010-10-17,240.52
2010-10-18,248.56
2010-10-19,268.6
2010-10-20,300.22
2010-10-21,313.36
2010-10-22,382.75
2010-10-23,386.64
2010-10-24,401.8
2010-10-25,450.62
2010-10-26,427.9
2010-10-27,414.85
2010-10-28,491.8
2010-10-29,1157.61
2010-10-30,1126.88
2010-11-01,666.29
2010-11-02,734.08
2010-11-03,801.05
2010-11-04,862.86
2010-11-05,848.35
2010-11-06,850.44
2010-11-07,888.51
2010-11-08,946.19
2010-11-09,914.46
2010-11-10,922.6
2010-11-11,1020.7
2010-11-12,1019.02
2010-11-13,1062.24
2010-11-14,1071.3
2010-11-15,1086.26
2010-11-16,1096.01
2010-11-17,1171.9
2010-11-18,1150.55
2010-11-19,1123.29
2010-11-20,1127.68
