FECHA,CAUDAL_M3S
2015-01-01,139.8
2015-01-02,142.37
2015-01-03,148.89
2015-01-04,145.91
2015-01-05,151.77
2015-01-06,145.48
2015-01-07,145.82
2015-01-08,145.63
2015-01-09,145.07
2015-01-12,147.32
2015-01-13,149.4
2015-01-31,143.93
2018-01-01,438.89
2018-01-02,393.56
2018-01-03,357.19
2018-01-04,373.75
2018-01-05,372.71
2018-01-06,359.93
2018-01-07,348.96
2018-01-08,372.62
2018-01-09,361.71
2018-01-10,405.7
2018-01-11,381.64
2018-01-12,347.92
2018-01-13,339.17
2018-01-14,365.63
2018-01-15,366.52
2018-01-16,393.38
2018-01-17,414.25
2018-01-18,416.63
2018-01-19,388.6
2018-01-20,378.21
2018-01-21,349.07
2018-01-22,335.73
2018-01-23,360.97
2018-01-24,343.69
2018-01-25,329.72
2018-01-26,296.9
2018-01-27,273.6
2018-01-28,266.25
2018-01-29,237.46
2018-02-16,306.56
2018-02-17,277.06
2018-02-18,299.07
2018-02-19,402.92
2018-02-20,384.33
2018-02-21,368.6
2018-02-22,392.4
2018-02-23,436.05
2018-02-24,475.13
2018-02-25,478.51
2018-02-26,462.81
2018-02-27,407.04
2018-02-28,342.76
2018-03-01,325.99
2018-03-02,322.46
2018-03-03,304.65
2018-03-04,324.43
2018-03-05,373.54
2018-03-06,349.4
2018-03-07,334.51
2018-03-08,339.88
2018-03-09,327.28
2018-03-10,328.24
2018-03-11,279.79
2018-03-12,238.96
2018-03-13,264.38
2018-03-14,282.2
2018-03-15,284.43
2018-03-16,285.62
2018-03-17,242.53
2018-03-18,223.69
2018-03-19,217.18
2018-03-20,235.98
2018-03-21,232.06
2018-03-22,223.17
2018-03-23,219.58
2018-03-24,244.01
2018-03-25,250.59
2018-03-26,206.84
2018-03-27,222.87
2018-03-28,218.69
2018-03-29,238.67
2018-03-30,224.41
2018-03-31,345.03
2018-04-01,347.53
2018-04-02,333.0
2018-04-03,357.78
2018-04-04,341.49
2018-04-05,432.18
2018-04-06,524.4
2018-04-07,553.69
2018-04-08,452.1
2018-04-09,357.45
2018-04-10,350.94
2018-04-11,360.27
2018-04-12,375.38
2018-04-13,391.21
2018-04-14,408.6
2018-04-15,406.8
2018-04-16,331.67
2018-04-17,323.95
2018-04-18,321.4
2018-04-19,302.18
2018-04-20,304.73
2018-04-21,295.19
2018-04-22,263.77
2018-04-23,248.43
2018-04-24,261.81
2018-04-25,258.3
2018-04-26,258.17
2018-04-27,232.42
2018-04-28,243.38
2018-04-29,318.17
2018-04-30,308.28
2018-05-01,238.82
2018-05-02,238.61
2018-05-03,242.21
2018-05-04,245.11
2018-05-05,249.59
2018-05-06,243.43
2018-05-07,253.92
2018-05-08,271.86
2018-05-09,261.58
2018-05-10,282.41
2018-05-11,256.11
2018-05-12,229.19
2018-05-13,246.24
2018-05-14,295.2
2018-05-15,288.2
2018-05-16,250.07
2018-05-17,251.79
2018-05-18,251.95
2018-05-19,270.3
2018-05-20,281.09
2018-05-21,296.64
2018-05-22,284.41
2018-05-23,263.97
2018-05-24,273.01
2018-05-25,242.61
2018-05-26,229.15
2018-05-27,240.68
2018-05-28,335.96
2018-05-29,250.71
2018-05-30,255.51
2018-05-31,227.23
2018-06-01,340.53
2018-06-02,328.11
2018-06-03,269.41
2018-06-04,253.5
2018-06-05,248.46
2018-06-06,244.52
2018-06-07,233.03
2018-06-08,216.73
2018-06-09,209.24
2018-06-10,230.37
2018-06-11,262.09
2018-06-12,241.19
2018-06-13,229.8
2018-06-14,214.76
2018-06-15,219.77
2018-06-16,209.9
2018-06-17,208.17
2018-06-18,211.34
2018-06-19,215.59
2018-06-20,216.03
2018-06-21,211.79
2018-06-22,225.24
2018-06-23,226.14
2018-06-24,218.28
2018-06-25,216.86
2018-06-26,216.66
2018-06-27,210.99
2018-06-28,224.81
2018-06-29,191.74
2018-06-30,184.71
2018-07-01,277.17
2018-07-02,267.68
2018-07-03,247.76
2018-07-04,240.02
2018-07-05,224.71
2018-07-06,217.01
2018-07-07,211.24
2018-07-08,201.87
2018-07-09,195.3
2018-07-10,201.47
2018-07-11,208.39
2018-07-12,204.44
2018-07-13,193.96
2018-07-14,176.33
2018-07-15,175.93
2018-07-16,179.06
2018-07-17,208.49
2018-07-18,186.73
2018-07-19,190.9
2018-07-20,189.05
2018-07-21,177.1
2018-07-22,171.19
2018-07-23,173.26
2018-07-24,178.62
2018-07-25,196.6
2018-07-26,196.14
2018-07-27,210.85
2018-07-28,214.44
2018-07-29,252.84
2018-07-30,247.03
2018-08-01,271.63
2018-08-02,245.71
2018-08-03,226.72
2018-08-04,233.47
2018-08-05,248.77
2018-08-06,220.2
2018-08-07,209.47
2018-08-08,205.21
2018-08-09,198.63
2018-08-10,198.05
2018-08-11,194.66
2018-08-12,191.02
2018-08-13,189.31
2018-08-14,197.31
2018-08-15,220.29
2018-08-16,198.82
2018-08-17,219.31
2018-08-18,159.61
2018-08-19,152.13
2018-08-20,149.73
2018-08-21,143.62
2018-08-22,164.81
2018-08-23,208.94
2018-08-24,208.52
2018-08-25,204.31
2018-08-26,151.34
2018-08-27,162.78
2018-08-28,201.24
2018-08-29,200.27
2018-08-30,197.7
2018-09-01,195.51
2018-09-02,174.63
2018-09-03,170.92
2018-09-04,169.75
2018-09-05,161.77
2018-09-06,162.29
2018-09-07,194.99
2018-09-08,197.56
2018-09-09,187.68
2018-09-10,151.67
2018-09-11,192.15
2018-09-12,232.33
2018-09-13,239.65
2018-09-14,252.89
2018-09-15,249.59
2018-09-16,244.26
2018-09-17,231.7
2018-09-18,213.09
2018-09-19,248.03
2018-09-20,252.31
2018-09-21,232.08
2018-09-22,204.46
