FECHA,CAUDAL_M3S
2010-01-02,2.37
2010-01-03,2.29
2010-01-04,2.19
2010-01-05,2.05
2010-01-06,1.84
2010-01-07,1.73
2010-01-08,1.63
2010-01-09,1.56
2010-01-10,1.52
2010-01-11,1.4
2010-01-12,1.23
2010-01-13,1.19
2010-01-14,1.19
2010-01-15,1.17
2010-01-16,1.16
2010-01-17,1.18
2010-01-18,1.21
2010-01-19,1.21
2010-01-20,1.18
2010-01-21,1.15
2010-01-22,1.19
2010-01-23,1.21
2010-01-24,1.04
2010-01-28,1.2
2010-01-29,1.22
2010-01-30,1.28
2010-01-31,1.32
2010-02-01,1.36
2010-02-02,1.28
2010-02-03,1.17
2010-02-04,1.11
2010-02-05,1.04
2010-02-06,1.09
2010-02-07,1.16
2010-02-08,1.41
2010-02-09,1.75
2010-02-10,1.9
2010-02-11,1.76
2010-02-12,1.63
2010-02-13,1.56
2010-02-14,1.5
2010-02-15,1.38
2010-02-16,1.3
2010-02-17,1.26
2010-02-18,1.29
2010-02-19,1.39
2010-02-20,1.47
2010-02-21,1.51
2010-02-22,1.52
2010-02-23,1.45
2010-02-24,1.24
2010-02-25,1.22
2010-02-26,1.54
2010-02-27,1.55
2010-02-28,1.53
2010-03-02,1.46
2010-03-03,1.46
2010-03-04,1.36
2010-03-05,1.27
2010-03-06,1.31
2010-03-07,1.34
2010-03-08,1.29
2010-03-09,1.13
2010-03-10,1.08
2010-03-11,1.11
2010-03-12,1.16
2010-03-13,1.2
2010-03-14,1.22
2010-03-15,1.24
2010-03-16,1.24
2010-03-17,1.23
2010-03-18,1.17
2010-03-19,1.11
2010-03-29,3.7
2010-03-30,3.61
2010-03-31,2.74
2010-04-04,1.24
2010-04-05,1.33
2010-04-06,1.4
2010-04-07,1.66
2010-04-08,2.16
2010-04-09,2.77
2010-04-10,2.37
2010-04-11,2.56
2010-04-12,3.64
2010-04-13,3.72
2010-04-14,3.9
2010-04-15,4.06
2010-04-16,4.02
2010-04-17,3.74
2010-04-18,3.42
2010-04-19,3.19
2010-04-20,3.1
2010-04-21,2.52
2010-04-22,2.67
2010-04-23,2.67
2010-04-24,2.6
2010-04-25,2.52
2010-04-26,2.54
2010-04-27,2.6
2010-04-28,3.34
2010-04-29,2.88
2010-04-30,2.86
2010-05-02,4.33
2010-05-03,4.36
2010-05-04,5.37
2010-05-05,5.79
2010-05-06,5.77
2010-05-07,5.7
2010-05-08,5.31
2010-05-09,4.99
2010-05-10,4.82
2010-05-11,4.46
2010-05-12,4.24
2010-05-13,4.0
2010-05-14,3.67
2010-05-15,3.7
2010-05-16,4.01
2010-05-17,4.49
2010-05-18,4.49
2010-05-19,2.89
2010-05-20,2.52
2010-05-21,2.52
2010-05-22,2.54
2010-05-23,2.82
2010-05-24,3.36
2010-05-25,3.25
2010-05-26,3.28
2010-05-27,3.38
2010-05-28,3.34
2010-05-29,2.91
2010-05-30,2.77
2010-06-01,2.72
2010-06-02,2.46
2010-06-03,2.2
2010-06-04,2.44
2010-06-05,2.75
2010-06-06,2.98
2010-06-07,2.96
2010-06-08,2.56
2010-06-09,2.37
2010-06-10,2.28
2010-06-11,2.73
