FECHA,CAUDAL_M3S
2015-01-01,180.25
2015-01-02,181.56
2015-01-03,147.82
2015-01-04,146.47
2015-01-05,143.14
2015-01-06,156.2
2015-01-07,194.28
2015-01-08,194.16
2015-01-09,192.59
2015-01-10,191.56
2015-01-11,161.12
2015-01-12,148.61
2015-01-13,151.01
2015-01-14,183.0
2015-01-15,234.58
2015-01-16,263.73
2015-01-17,237.89
2015-01-18,222.41
2015-01-19,220.09
2015-01-20,239.52
2015-01-21,231.84
2015-01-22,301.64
2015-01-23,363.52
2015-01-24,323.24
2015-01-25,274.1
2015-01-26,255.98
2015-01-27,245.07
2015-01-28,230.67
2015-01-29,194.07
2015-01-30,180.19
2015-01-31,180.2
2015-02-01,194.57
2015-02-02,187.29
2015-02-03,173.62
2015-02-04,201.08
2015-02-05,198.03
2015-02-06,197.87
2015-02-07,225.06
2015-02-08,227.89
2015-02-09,315.13
2015-02-10,360.28
2015-02-11,318.48
2015-02-12,302.48
2015-02-13,293.61
2015-02-14,252.86
2015-02-15,231.56
2015-02-16,221.26
2015-02-17,255.26
2015-02-18,256.83
2015-02-19,252.86
2015-02-20,265.39
2015-02-21,238.35
2015-02-22,228.35
2015-02-23,212.61
2015-02-24,239.96
2015-02-25,246.14
2015-02-26,247.8
2015-02-27,246.1
2015-02-28,252.28
2015-03-01,223.44
2015-03-02,235.82
2015-03-03,230.71
2015-03-04,335.48
2015-03-05,309.14
2015-03-06,365.44
2015-03-07,304.32
2015-03-08,239.96
2015-03-09,211.52
2015-03-10,166.14
2015-03-11,218.31
2015-03-12,176.86
2015-03-13,181.87
2015-03-14,240.65
2015-03-15,245.47
2015-03-16,246.11
2015-03-17,288.41
2015-03-18,373.47
2015-03-19,415.61
2015-03-20,404.61
2015-03-21,440.33
2015-03-22,350.11
2015-03-23,291.73
2015-03-24,303.81
2015-03-25,274.05
2015-03-26,321.38
2015-03-27,317.68
2015-03-28,312.81
2015-03-29,275.8
2015-03-30,272.36
2015-03-31,182.67
2015-04-01,272.36
2015-04-02,310.13
2015-04-03,291.7
2015-04-04,263.64
2015-04-05,260.26
2015-04-06,244.91
2015-04-07,254.65
2015-04-08,288.98
2015-04-09,251.19
2015-04-10,271.22
2015-04-11,278.24
2015-04-12,242.7
2015-04-13,207.47
2015-04-14,199.91
2015-04-15,218.12
2015-04-16,328.35
2015-04-17,472.4
2015-04-18,435.13
2015-04-19,378.24
2015-04-20,353.88
2015-04-21,396.31
2015-04-22,375.81
2015-04-23,287.56
2015-04-24,311.67
2015-04-25,330.11
2015-04-26,253.94
2015-04-27,243.79
2015-04-28,299.57
2015-04-29,181.24
2015-04-30,213.63
2015-05-01,271.22
2015-05-02,228.82
2015-05-03,226.27
2015-05-04,223.95
2015-05-05,213.82
2015-05-06,213.08
2015-05-07,189.02
2015-05-08,186.38
2015-05-09,176.24
2015-05-10,163.48
2015-05-11,158.53
2015-05-12,186.69
2015-05-13,253.8
2015-05-14,178.63
2015-05-15,165.97
2015-05-16,151.22
2015-05-17,191.64
2015-05-18,183.8
2015-05-19,161.02
2015-05-20,153.65
2015-05-21,142.03
2015-05-22,142.09
2015-05-23,141.09
2015-05-24,138.23
2015-05-25,145.44
