FECHA,CAUDAL_M3S
2010-01-01,109.04
2010-01-02,161.98
2010-01-03,158.0
2010-01-04,151.15
2010-01-05,128.18
2010-01-06,103.76
2010-01-07,111.96
2010-01-08,111.38
2010-01-09,109.68
2010-01-10,111.41
2010-01-11,106.6
2010-01-12,103.1
2010-01-13,102.06
2010-01-14,102.48
2010-01-15,102.2
2010-01-16,96.8
2010-01-17,92.66
2010-01-18,94.09
2010-01-19,126.62
2010-01-20,111.59
2010-01-21,94.88
2010-01-22,95.44
2010-01-23,98.15
2010-01-24,107.28
2010-01-25,106.5
2010-01-26,103.01
2010-01-27,101.34
2010-01-28,98.61
2010-01-29,100.02
2010-01-30,95.81
2010-01-31,88.96
2010-02-01,104.3
2010-02-02,124.79
2010-02-03,122.74
2010-02-04,105.02
2010-02-05,115.92
2010-02-06,160.18
2010-02-07,122.6
2010-02-08,83.95
2010-02-09,103.98
2010-02-10,134.12
2010-02-11,118.05
2010-02-12,132.4
2010-02-13,132.12
2010-02-14,128.25
2010-02-15,129.38
2010-02-16,139.18
2010-02-17,151.78
2010-02-18,159.58
2010-02-19,158.16
2010-02-20,111.7
2010-02-21,104.65
2010-02-22,130.78
2010-02-23,125.88
2010-02-24,111.5
2010-02-25,111.15
2010-02-26,114.02
2010-02-27,152.7
2010-02-28,116.88
2010-03-01,111.75
2010-03-02,126.6
2010-03-03,109.58
2010-03-04,99.48
2010-03-05,102.21
2010-03-06,108.72
2010-03-07,96.02
2010-03-08,96.18
2010-03-09,93.5
2010-03-10,96.35
2010-03-11,105.7
2010-03-12,101.8
2010-03-13,95.55
2010-03-14,95.09
2010-03-15,95.8
2010-03-16,97.2
2010-03-17,99.05
2010-03-18,96.06
2010-03-19,95.16
2010-03-20,97.64
2010-03-21,93.95
2010-03-22,94.1
2010-03-23,93.56
2010-03-24,90.09
2010-03-25,90.78
2010-03-26,93.14
2010-03-27,93.45
2010-03-28,95.59
2010-03-29,174.12
2010-03-30,143.32
2010-03-31,127.15
2010-04-01,88.92
2010-04-02,95.18
2010-04-03,97.5
2010-04-04,97.88
2010-04-05,111.62
2010-04-06,142.55
2010-04-07,125.15
2010-04-08,127.18
2010-04-09,134.52
2010-04-10,117.38
2010-04-11,119.66
2010-04-12,129.45
2010-04-13,134.25
2010-04-14,148.55
2010-04-15,141.2
2010-04-16,130.7
2010-04-17,132.88
2010-04-18,124.85
2010-04-19,146.28
2010-04-20,167.08
2010-04-21,187.15
2010-04-22,174.41
2010-04-23,159.22
2010-04-24,152.6
2010-04-25,130.58
2010-04-26,162.5
2010-04-27,155.85
2010-04-28,173.75
2010-04-29,120.59
2010-04-30,130.49
2010-05-01,105.4
2010-05-02,125.6
2010-05-03,244.95
2010-05-04,247.38
2010-05-05,207.62
2010-05-06,237.12
2010-05-07,194.25
2010-05-08,200.5
2010-05-09,248.88
2010-05-10,220.62
2010-05-11,143.2
2010-05-12,123.22
2010-05-13,124.19
