FECHA,CAUDAL_M3S
2015-01-30,167.0
2015-01-31,212.68
2015-02-01,200.12
2015-02-02,186.97
2015-02-03,203.8
2015-02-04,237.95
2015-02-05,256.11
2015-02-06,244.76
2015-02-07,267.49
2015-02-08,259.09
2015-02-09,307.84
2015-02-10,362.46
2015-02-11,343.4
2015-02-12,321.25
2015-02-13,336.92
2015-02-14,294.58
2015-02-15,289.37
2015-02-16,251.75
2015-02-17,299.04
2015-02-18,311.08
2015-02-19,306.64
2015-02-20,344.29
2015-02-21,271.36
2015-02-22,260.31
2015-02-23,247.88
2015-02-24,286.99
2015-02-25,311.75
2015-02-26,305.71
2015-02-27,302.21
2015-02-28,313.09
2015-03-01,241.7
2015-03-02,255.53
2015-03-03,264.65
2015-03-04,383.66
2015-03-05,327.78
2015-03-06,487.96
2015-03-07,347.77
2015-03-08,273.49
2015-03-09,204.14
2015-03-10,245.12
2015-03-11,259.77
2015-03-12,203.92
2015-03-13,207.68
2015-03-14,207.13
2015-03-15,261.16
2015-03-16,210.31
2015-03-17,329.67
2015-03-18,400.09
2015-03-19,486.44
2015-03-20,443.85
2015-03-21,423.09
2015-03-22,297.77
2015-03-23,276.5
2015-03-24,307.98
2015-03-25,293.35
2015-03-26,370.65
2015-03-27,367.07
2015-03-28,383.88
2015-03-29,301.41
2015-03-30,288.96
2015-03-31,219.14
2015-04-01,248.48
2015-04-02,345.57
2015-04-03,307.39
2015-04-04,271.11
2015-04-05,263.26
2015-04-06,245.26
2015-04-07,265.46
2015-04-08,273.56
2015-04-09,269.9
2015-04-10,324.8
2015-04-11,290.89
2015-04-12,249.93
2015-04-16,269.16
2015-04-17,392.64
2015-04-18,318.03
2015-04-19,351.73
2015-04-20,294.54
2015-04-21,344.51
2015-04-22,395.27
2015-04-23,274.68
2015-04-24,320.19
2015-04-25,386.19
2015-04-26,252.64
2015-04-27,234.3
2015-04-28,318.52
2015-04-29,273.84
2015-04-30,178.35
2015-05-01,275.98
2015-05-02,236.31
2015-05-03,205.51
2015-05-04,213.53
2015-05-05,211.33
2015-05-06,195.61
2015-05-07,187.92
2015-05-08,192.92
2015-05-09,187.95
2015-05-10,166.92
2015-05-11,153.03
2015-05-12,207.27
2015-05-13,260.76
2015-05-14,240.83
2015-05-15,195.68
2015-05-16,163.83
2015-05-17,193.52
2015-05-18,208.33
2015-05-19,184.69
2015-05-20,162.47
2015-05-21,151.12
2015-05-22,139.38
2015-05-23,147.0
2015-05-24,146.33
2015-05-25,143.77
2015-05-26,136.11
2015-05-27,152.12
2015-05-28,186.14
2015-05-31,114.84
2015-06-01,170.93
2015-06-02,164.1
2015-06-03,166.98
2015-06-04,143.1
2015-06-05,148.52
2015-06-06,141.26
2015-06-07,138.93
2015-06-08,135.18
2015-06-09,129.4
2015-06-10,137.3
2015-06-11,152.46
2015-06-12,153.76
2015-06-13,157.72
2015-06-14,134.92
2015-06-15,126.23
2015-06-16,123.47
2015-06-17,126.43
2015-06-18,122.09
2015-06-19,120.38
2015-06-20,121.08
2015-06-21,117.36
2015-06-22,116.18
2015-06-29,143.16
2015-06-30,137.84
2015-07-22,121.74
2015-07-23,160.71
2015-07-24,153.68
2015-07-25,155.49
2015-07-26,151.73
2015-07-27,140.12
2015-07-28,135.67
2015-07-29,145.57
2015-07-30,130.32
2015-07-31,101.0
2015-08-01,132.33
2015-08-02,139.67
2015-08-03,129.61
2015-08-04,130.8
2015-08-05,129.72
2015-08-06,135.07
2015-08-07,134.63
2015-08-08,122.63
2015-08-09,134.8
2015-08-10,159.18
2015-08-11,153.91
2015-08-12,146.29
2015-08-13,149.02
2015-08-14,142.11
2015-08-15,147.99
2015-08-16,140.23
2015-08-17,163.42
2015-08-18,131.69
2015-08-19,147.1
2015-08-20,141.42
2015-08-21,191.46
2015-08-22,211.38
2015-08-23,160.07
2015-08-24,143.68
2015-08-25,190.99
2015-08-26,198.04
2015-08-27,221.08
2015-08-28,178.72
2015-08-29,109.84
2015-08-30,101.83
2015-09-01,124.45
2015-09-02,208.08
2015-09-03,211.18
2015-09-04,270.79
2015-09-05,136.38
2015-09-06,131.68
2015-09-07,131.58
2015-09-08,126.85
2015-09-09,136.82
2015-09-10,138.43
2015-09-11,145.37
2015-09-12,130.8
2015-09-13,135.88
2015-09-14,133.45
2015-09-15,125.87
2015-09-16,122.2
2015-09-17,129.89
2015-09-18,134.5
2015-09-19,122.07
2015-09-20,132.82
2015-09-21,135.16
2015-09-22,131.43
2015-09-23,100.05
2015-09-24,97.95
2015-09-25,98.92
2015-09-26,107.22
2015-09-27,104.88
2015-09-28,107.2
2015-10-01,109.0
2015-10-02,113.96
2015-10-03,114.0
2015-10-29,133.07
2015-10-30,122.28
2015-11-09,124.16
2015-11-10,120.85
2015-11-11,114.6
2015-11-12,105.25
2015-11-13,100.35
2015-11-14,97.63
2015-11-15,101.35
2015-11-16,96.43
2015-11-17,129.49
2015-11-18,139.67
2015-11-19,159.69
2015-11-20,154.8
2015-11-21,190.73
2015-11-22,216.98
2015-11-23,201.1
2015-11-24,173.4
2015-11-25,185.26
2015-11-26,164.15
2015-11-27,172.84
2015-11-28,148.59
2015-11-29,94.82
2015-11-30,95.68
2015-12-01,119.57
2015-12-02,112.34
2015-12-03,106.53
2015-12-04,103.34
2015-12-05,99.42
2015-12-06,100.07
2015-12-07,98.11
2015-12-08,96.71
2015-12-09,95.85
2015-12-10,108.8
2015-12-11,103.29
2015-12-12,94.33
2015-12-13,92.97
2015-12-14,92.64
2015-12-15,93.85
2015-12-16,94.43
2015-12-17,93.03
2015-12-18,92.88
2015-12-19,94.55
2015-12-20,93.49
2015-12-21,92.23
2015-12-22,91.02
2015-12-23,89.8
2015-12-24,90.02
2015-12-25,89.35
2015-12-26,93.54
2015-12-27,93.17
2015-12-28,92.73
2016-01-25,114.8
2016-01-26,122.79
2016-01-27,121.47
2016-01-28,123.85
2016-01-29,120.01
2016-01-30,124.41
2016-01-31,123.94
2016-02-01,123.35
2016-02-02,130.68
2016-02-03,130.41
2016-02-04,128.45
2016-02-05,139.37
2016-02-06,140.65
2016-02-07,133.94
2016-02-08,131.49
2016-02-09,133.18
2016-02-10,132.35
2016-02-11,129.53
2016-02-12,133.52
2016-02-13,149.0
2016-02-14,137.85
2016-02-15,131.32
2016-02-16,130.26
2016-02-17,129.39
2016-02-18,151.55
2016-02-19,171.4
2016-02-20,131.0
2016-02-21,140.41
2016-02-22,189.45
2016-02-23,167.39
2016-02-24,146.28
2016-02-25,151.53
2016-02-26,162.84
2016-02-27,178.09
2016-05-30,217.48
2016-06-10,180.38
2016-06-11,182.88
2016-06-12,180.98
2016-06-13,186.37
2016-06-14,191.56
2016-06-15,179.2
2016-06-16,190.18
2016-06-17,157.82
2016-06-18,182.68
2016-06-19,161.44
2016-06-20,173.05
2016-06-21,184.39
2016-06-22,162.6
2016-06-23,158.69
2016-06-24,154.83
2016-06-25,175.77
2016-06-26,220.1
2016-06-27,178.39
2016-06-28,158.09
2016-06-29,182.55
2016-06-30,188.72
2016-07-01,183.22
2016-07-02,161.55
2016-07-03,155.13
2016-07-04,162.11
2016-07-05,165.08
2016-07-06,156.54
2016-07-07,151.98
2016-07-08,144.32
2016-07-09,141.46
2016-07-10,141.06
2016-07-11,144.71
2016-07-12,144.26
2016-07-13,142.64
2016-07-14,149.58
2016-07-15,142.7
2016-07-16,145.01
2016-07-17,143.63
2016-07-18,144.21
2016-07-19,179.42
2016-07-20,184.64
