FECHA,CAUDAL_M3S
2010-01-01,273.09
2010-01-02,266.49
2010-01-03,250.72
2010-01-04,236.48
2010-01-05,223.48
2010-01-06,207.65
2010-01-07,192.25
2010-01-08,177.95
2010-01-09,168.86
2010-01-10,160.75
2010-01-11,155.14
2010-01-12,149.4
2010-01-13,143.5
2010-01-14,136.12
2010-01-15,134.92
2010-01-16,143.16
2010-01-17,148.6
2010-01-18,147.3
2010-01-19,146.2
2010-01-20,142.12
2010-01-21,136.4
2010-01-22,137.35
2010-01-23,136.0
2010-01-24,135.5
2010-01-25,130.25
2010-01-26,124.68
2010-01-27,121.28
2010-01-28,125.25
2010-01-29,140.38
2010-01-30,143.85
2010-01-31,144.05
2010-02-01,143.12
2010-02-02,141.96
2010-02-03,136.79
2010-02-04,120.92
2010-02-05,121.98
2010-02-06,124.95
2010-02-07,126.6
2010-02-08,131.4
2010-02-09,173.55
2010-02-10,195.0
2010-02-11,174.48
2010-02-12,175.02
2010-02-13,168.4
2010-02-14,158.5
2010-02-15,157.4
2010-02-16,158.22
2010-02-17,151.75
2010-02-18,146.9
2010-02-19,150.3
2010-02-20,155.75
2010-02-21,161.25
2010-02-22,165.4
2010-02-23,162.18
2010-02-24,140.62
2010-02-25,141.48
2010-02-26,170.62
2010-02-27,173.12
2010-02-28,166.4
2010-03-01,165.4
2010-03-02,165.7
2010-03-03,169.7
2010-03-04,166.85
2010-03-05,153.95
2010-03-06,149.2
2010-03-07,148.8
2010-03-08,153.62
2010-03-09,147.34
2010-03-10,137.86
2010-03-11,127.75
2010-03-12,131.0
2010-03-13,135.62
2010-03-14,142.58
2010-03-15,151.6
2010-03-16,148.6
2010-03-17,144.54
2010-03-18,145.49
2010-03-19,147.8
2010-03-20,147.4
2010-03-21,142.98
2010-03-22,137.55
2010-03-23,129.16
2010-03-24,123.55
2010-03-25,119.11
2010-03-26,114.6
2010-03-27,113.3
2010-03-28,112.3
2010-03-29,398.02
2010-03-30,439.31
2010-03-31,276.1
2010-04-01,113.8
2010-04-02,116.9
2010-04-03,121.55
2010-04-04,139.5
2010-04-05,148.2
2010-04-06,157.85
2010-04-07,179.6
2010-04-08,216.96
2010-04-09,284.56
2010-04-10,326.02
2010-04-11,362.51
2010-04-12,425.64
2010-04-13,408.21
2010-04-14,464.26
2010-04-15,477.78
2010-04-16,453.62
2010-04-17,437.11
2010-04-18,385.22
2010-04-19,345.96
2010-04-20,342.18
2010-04-21,321.6
2010-04-22,301.0
2010-04-23,293.95
2010-04-24,286.15
2010-04-25,275.01
2010-04-26,270.48
2010-04-27,276.52
2010-04-28,282.66
2010-04-29,330.36
2010-04-30,299.23
2010-05-01,473.29
2010-05-02,478.26
2010-05-03,466.24
2010-05-04,612.69
2010-05-05,705.19
2010-05-06,723.52
2010-05-07,723.49
2010-05-08,675.32
2010-05-09,634.75
2010-05-10,580.05
2010-05-11,525.74
2010-05-12,493.1
2010-05-13,461.87
2010-05-14,399.3
2010-05-15,357.04
2010-05-16,325.03
2010-05-17,314.05
2010-05-18,298.58
2010-05-19,284.29
2010-05-20,266.9
2010-05-21,261.84
2010-05-22,288.59
2010-05-23,319.25
2010-05-24,369.21
2010-05-25,331.61
2010-05-26,314.24
2010-05-27,351.97
2010-05-28,358.69
2010-05-29,301.3
2010-05-30,302.78
2010-05-31,276.29
2010-06-01,275.63
2010-06-02,275.75
2010-06-03,321.62
2010-06-04,382.48
2010-06-05,402.4
2010-06-06,378.8
2010-06-07,330.08
2010-06-08,280.99
2010-06-09,254.35
2010-06-10,238.65
2010-06-11,230.62
2010-06-12,226.65
2010-06-13,223.05
2010-06-14,221.66
2010-06-15,221.62
2010-06-16,231.64
2010-06-17,231.68
2010-06-18,229.5
2010-06-19,238.45
2010-06-20,310.55
2010-06-21,398.31
2010-06-22,507.98
2010-06-23,504.44
2010-06-24,418.21
2010-06-25,385.26
2010-06-26,351.02
2010-06-27,310.19
2010-06-28,292.91
2010-06-29,350.35
2010-06-30,374.67
2010-07-01,294.41
2010-07-02,298.15
2010-07-03,351.94
2010-07-04,352.88
2010-07-05,402.16
2010-07-06,423.21
2010-07-07,464.72
2010-07-08,475.73
2010-07-09,511.8
2010-07-10,535.02
2010-07-11,515.42
2010-07-12,599.59
2010-07-13,616.01
2010-07-14,583.9
2010-07-15,598.29
2010-07-16,689.75
2010-07-17,703.44
2010-07-18,687.25
2010-07-19,653.15
2010-07-20,616.15
2010-07-21,585.45
2010-07-22,555.85
2010-07-23,514.37
2010-07-24,467.67
2010-07-25,420.57
2010-07-26,388.32
2010-07-27,361.07
2010-07-28,345.52
2010-07-29,265.85
2010-07-30,308.75
2010-07-31,982.01
2010-08-01,457.25
2010-08-02,451.68
2010-08-03,437.25
2010-08-04,433.45
2010-08-05,423.19
2010-08-06,429.55
2010-08-07,433.01
2010-08-08,426.46
2010-08-09,392.74
2010-08-10,354.7
2010-08-11,333.58
2010-08-12,325.3
2010-08-13,336.73
2010-08-14,346.61
2010-08-15,317.45
2010-08-16,310.1
2010-08-17,295.03
2010-08-18,271.53
2010-08-19,263.1
2010-08-20,274.97
2010-08-21,282.26
2010-08-22,280.9
2010-08-23,256.63
2010-08-24,221.34
2010-08-25,203.54
2010-08-26,200.79
2010-08-27,211.4
2010-08-28,217.31
2010-08-29,277.01
2010-08-30,333.32
2010-09-01,248.01
2010-09-02,270.29
2010-09-03,351.97
2010-09-04,352.87
2010-09-05,362.15
2010-09-06,358.58
2010-09-07,364.0
2010-09-08,334.99
2010-09-09,355.3
2010-09-10,421.89
2010-09-11,388.86
2010-09-12,355.87
2010-09-13,353.92
2010-09-14,334.04
2010-09-15,313.36
2010-09-16,311.89
2010-09-17,322.2
2010-09-18,330.51
2010-09-19,327.42
2010-09-20,304.78
2010-09-21,262.5
2010-09-22,247.67
2010-09-23,278.02
2010-09-24,289.38
2010-09-25,313.44
2010-09-26,327.28
2010-09-27,294.38
2010-09-28,284.03
2010-09-29,571.66
2010-09-30,689.31
2010-10-01,401.32
2010-10-02,379.11
2010-10-03,383.12
2010-10-04,372.12
2010-10-05,442.89
2010-10-06,456.35
2010-10-07,555.83
2010-10-08,524.47
2010-10-09,463.97
2010-10-10,382.36
2010-10-11,344.51
2010-10-12,319.01
2010-10-13,288.76
2010-10-14,292.27
2010-10-15,280.89
2010-10-16,271.48
2010-10-17,261.9
2010-10-18,259.51
2010-10-19,284.09
2010-10-20,302.39
2010-10-21,335.17
2010-10-22,397.22
2010-10-23,447.55
2010-10-24,434.38
2010-10-25,501.89
2010-10-26,501.61
2010-10-27,465.53
2010-10-28,532.85
2010-10-29,1177.65
2010-10-30,1159.48
2010-11-01,736.2
2010-11-02,791.98
2010-11-03,829.1
2010-11-04,889.48
2010-11-05,883.58
2010-11-06,882.32
2010-11-07,916.92
2010-11-08,968.68
2010-11-09,961.76
2010-11-10,954.55
2010-11-11,1047.78
2010-11-12,1057.72
2010-11-13,1070.42
2010-11-14,1100.25
2010-11-15,1111.33
2010-11-16,1107.92
2010-11-17,1144.48
2010-11-18,1132.62
2010-11-19,1121.0
2010-11-20,1105.64
2010-11-21,1123.92
2010-11-22,1136.0
2010-11-23,1152.62
2010-11-24,1170.95
2010-11-25,1185.6
2010-11-26,1177.7
2010-11-27,1167.6
2010-11-28,1177.5
2010-11-29,1034.1
2010-11-30,1000.31
2010-12-01,1152.18
2010-12-02,1180.6
2010-12-03,1195.75
2010-12-04,1206.67
2010-12-05,1195.75
2010-12-06,1170.85
2010-12-07,1153.18
2010-12-08,1149.18
2010-12-09,1149.68
2010-12-10,1137.11
2010-12-11,1119.62
2010-12-12,1093.69
2010-12-13,1089.75
2010-12-14,1096.0
2010-12-15,1080.85
2010-12-16,1065.11
2010-12-17,1063.7
2010-12-18,1058.0
2010-12-19,1067.01
2010-12-20,1072.71
2010-12-21,1083.15
2010-12-22,1087.56
2010-12-23,1087.38
2010-12-24,1080.75
2010-12-25,1072.1
2010-12-26,1065.42
2010-12-27,1074.2
2010-12-28,1057.94
2011-01-01,954.31
2011-01-02,918.9
2011-01-03,889.04
2011-01-04,867.55
2011-01-05,841.15
2011-01-06,832.06
2011-01-07,834.12
2011-01-08,836.75
2011-01-09,825.8
2011-01-10,801.75
2011-01-11,768.81
2011-01-12,742.58
2011-01-13,687.55
2011-01-14,643.52
2011-01-15,603.7
2011-01-16,577.52
