FECHA,CAUDAL_M3S
2010-01-01,220.56
2010-01-02,214.25
2010-01-03,209.2
2010-01-04,201.86
2010-01-05,182.6
2010-01-06,172.95
2010-01-07,165.85
2010-01-08,149.78
2010-01-09,142.48
2010-01-10,136.72
2010-01-11,127.61
2010-01-12,120.75
2010-01-13,119.85
2010-01-14,126.29
2010-01-15,127.02
2010-01-16,135.0
2010-01-17,137.19
2010-01-18,134.56
2010-01-19,119.02
2010-01-20,129.06
2010-01-21,135.74
2010-01-22,134.1
2010-01-23,122.85
2010-01-24,119.7
2010-01-25,111.6
2010-01-26,113.11
2010-01-27,131.46
2010-01-28,136.85
2010-01-29,127.5
2010-01-30,136.02
2010-01-31,138.49
2010-02-01,132.44
2010-02-02,105.68
2010-02-03,122.11
2010-02-04,119.31
2010-02-05,112.22
2010-02-06,123.18
2010-02-07,170.5
2010-02-08,206.08
2010-02-09,154.3
2010-02-10,173.0
2010-02-11,158.5
2010-02-12,142.55
2010-02-13,150.42
2010-02-14,153.88
2010-02-15,141.69
2010-02-16,150.06
2010-02-17,158.48
2010-02-18,163.05
2010-02-19,176.75
2010-02-20,173.38
2010-02-21,147.9
2010-02-22,110.19
2010-02-23,164.0
2010-02-24,179.02
2010-02-25,164.94
2010-02-26,149.92
2010-02-27,148.9
2010-02-28,166.7
2010-03-01,157.79
2010-03-02,139.9
2010-03-03,141.02
2010-03-04,140.33
2010-03-05,151.75
2010-03-06,146.01
2010-03-07,118.48
2010-03-08,111.87
2010-03-09,110.12
2010-03-10,114.91
2010-03-11,122.62
2010-03-12,130.7
2010-03-13,129.99
2010-03-14,124.97
2010-03-15,134.61
2010-03-16,126.73
2010-03-17,126.05
2010-03-18,125.94
2010-03-19,119.68
2010-03-20,113.96
2010-03-21,109.6
2010-03-22,103.8
2010-03-23,104.07
2010-03-24,101.22
2010-03-25,98.55
2010-03-26,100.17
2010-03-27,105.5
2010-03-28,103.73
2010-03-29,359.79
2010-03-30,386.42
2010-03-31,207.38
2010-04-01,121.44
2010-04-02,134.12
2010-04-03,133.54
2010-04-04,144.55
2010-04-05,161.24
2010-04-06,185.76
2010-04-07,245.95
2010-04-08,263.58
2010-04-09,299.21
2010-04-10,299.12
2010-04-11,319.34
2010-04-12,374.75
2010-04-13,399.12
2010-04-14,357.16
2010-04-15,342.25
2010-04-16,291.99
2010-04-17,270.38
2010-04-18,256.18
2010-04-19,250.31
2010-04-20,239.9
2010-04-21,253.68
2010-04-22,250.86
2010-04-23,236.67
2010-04-24,231.95
2010-04-25,204.91
2010-04-26,215.07
2010-04-27,302.82
2010-04-28,308.3
2010-04-29,220.64
2010-04-30,207.63
2010-05-01,320.02
2010-05-02,379.4
2010-05-03,518.54
2010-05-04,610.71
2010-05-05,659.31
2010-05-06,586.15
2010-05-07,563.69
2010-05-08,526.12
2010-05-09,470.13
2010-05-10,423.75
2010-05-11,389.95
2010-05-12,356.65
2010-05-13,315.18
2010-05-14,296.09
2010-05-15,271.12
2010-05-16,253.79
2010-05-17,233.37
2010-05-18,222.87
2010-05-19,216.06
2010-05-20,214.01
2010-05-21,231.07
2010-05-22,278.44
2010-05-23,305.65
2010-05-24,261.15
2010-05-25,232.81
2010-05-26,234.18
2010-05-27,260.8
2010-05-28,249.87
2010-05-29,237.61
2010-05-30,220.25
2010-05-31,184.08
2010-06-01,220.68
2010-06-02,241.82
2010-06-03,333.52
2010-06-04,319.7
2010-06-05,297.97
2010-06-06,244.92
2010-06-07,215.54
2010-06-08,196.18
2010-06-09,185.75
2010-06-10,189.55
2010-06-11,190.4
2010-06-12,181.6
2010-06-13,178.5
2010-06-14,180.15
2010-06-15,185.2
2010-06-16,178.54
2010-06-17,186.11
2010-06-18,189.19
2010-06-19,196.08
2010-06-20,245.65
2010-06-21,397.35
2010-06-22,371.18
2010-06-23,312.62
2010-06-24,304.7
2010-06-25,269.79
2010-06-26,235.42
2010-06-27,232.52
2010-06-28,251.32
2010-06-29,303.15
2010-06-30,302.1
2010-07-01,224.06
2010-07-02,248.48
2010-07-03,264.06
2010-07-04,272.68
2010-07-05,298.9
2010-07-06,337.34
2010-07-07,337.91
2010-07-08,438.47
2010-07-09,413.77
2010-07-10,400.66
2010-07-11,418.45
2010-07-12,432.24
2010-07-13,432.9
2010-07-14,410.86
2010-07-15,413.37
2010-07-16,474.58
2010-07-17,511.95
2010-07-18,477.89
2010-07-19,446.97
2010-07-20,443.47
2010-07-21,415.76
2010-07-22,379.3
2010-07-23,338.56
2010-07-24,312.0
2010-07-25,290.03
2010-07-26,256.7
2010-07-27,252.58
2010-07-28,293.29
2010-07-29,267.6
2010-07-30,206.45
2010-07-31,826.18
2010-08-01,327.15
2010-08-02,317.29
2010-08-03,301.72
2010-08-04,311.02
2010-08-05,366.36
2010-08-06,343.97
2010-08-07,317.86
2010-08-08,282.06
2010-08-09,268.8
2010-08-10,264.47
2010-08-11,266.42
2010-08-12,270.71
2010-08-13,266.65
2010-08-14,238.46
2010-08-15,233.04
2010-08-16,218.61
2010-08-17,212.76
2010-08-18,214.86
2010-08-19,234.19
2010-08-20,234.11
2010-08-21,238.07
2010-08-22,191.22
2010-08-23,170.1
2010-08-24,162.3
2010-08-25,171.92
2010-08-26,176.62
2010-08-27,202.89
2010-08-28,270.94
2010-08-29,256.81
2010-08-30,265.52
