FECHA,CAUDAL_M3S
2015-01-01,182.13
2015-01-02,159.5
2015-01-03,146.75
2015-01-04,143.9
2015-01-05,138.8
2015-01-06,145.17
2015-01-07,165.87
2015-01-08,169.47
2015-01-09,175.97
2015-01-10,164.15
2015-01-11,159.9
2015-01-12,144.22
2015-01-13,145.32
2015-01-14,158.27
2015-01-15,209.0
2015-01-16,293.0
2015-01-17,281.88
2015-01-18,315.92
2015-01-19,338.33
2015-01-20,274.92
2015-01-21,293.0
2015-01-22,306.08
2015-01-23,498.26
2015-01-24,425.45
2015-01-25,328.67
2015-01-26,299.28
2015-01-27,315.92
2015-01-28,278.85
2015-01-29,248.17
2015-01-30,179.57
2015-01-31,172.33
2015-02-01,185.43
2015-02-02,179.57
2015-02-03,163.6
2015-02-04,204.75
2015-02-05,193.27
2015-02-06,189.23
2015-02-07,195.53
2015-02-08,238.97
2015-02-09,385.93
2015-02-10,555.64
2015-02-11,468.7
2015-02-12,419.11
2015-02-13,330.67
2015-02-14,293.0
2015-02-15,269.72
2015-02-16,255.63
2015-02-17,301.08
2015-02-18,256.5
2015-02-19,231.5
2015-02-20,237.67
2015-02-21,320.75
2015-02-22,293.0
2015-02-23,237.83
2015-02-24,256.42
2015-02-25,295.42
2015-02-26,298.0
2015-02-27,315.75
2015-02-28,293.0
2015-03-01,256.5
2015-03-02,231.5
2015-03-03,250.92
2015-03-04,384.95
2015-03-05,447.36
2015-03-06,483.41
2015-03-07,439.87
2015-03-08,382.85
2015-03-09,253.58
2015-03-10,206.0
2015-03-11,193.27
2015-03-12,184.5
2015-03-13,361.5
2015-03-14,448.52
2015-03-15,525.36
2015-03-16,439.87
2015-03-17,395.27
2015-03-18,501.86
2015-03-19,519.45
2015-03-20,543.53
2015-03-21,605.77
2015-03-22,589.36
2015-03-23,390.73
2015-03-24,377.25
2015-03-25,356.83
2015-03-26,448.52
2015-03-27,436.98
2015-03-28,422.57
2015-03-29,338.58
2015-03-30,383.32
2015-03-31,316.28
2015-04-01,392.25
2015-04-02,389.83
2015-04-03,461.64
2015-04-04,377.25
2015-04-05,368.92
2015-04-06,345.0
2015-04-07,338.58
2015-04-08,345.0
2015-04-09,351.83
2015-04-10,360.0
2015-04-11,363.17
2015-04-12,346.83
2015-04-13,333.45
2015-04-14,343.17
2015-04-15,345.0
2015-04-16,415.62
2015-04-17,583.86
2015-04-18,649.31
2015-04-19,567.75
2015-04-20,573.81
2015-04-21,555.64
2015-04-22,507.2
2015-04-23,434.1
2015-04-24,442.75
2015-04-25,442.75
2015-04-26,425.45
2015-04-27,377.25
2015-04-28,353.67
2015-04-29,285.58
2015-04-30,333.45
2015-05-01,469.28
2015-05-02,439.29
2015-05-03,423.14
2015-05-04,397.57
2015-05-05,385.97
2015-05-06,360.63
2015-05-07,352.4
2015-05-08,340.23
2015-05-09,332.9
2015-05-10,324.1
2015-05-11,314.73
2015-05-12,279.47
2015-05-13,275.4
2015-05-14,314.73
2015-05-15,334.55
2015-05-16,316.28
2015-05-17,307.5
2015-05-18,269.72
2015-05-19,284.78
2015-05-20,276.43
2015-05-21,263.0
2015-05-22,250.87
2015-05-23,239.2
2015-05-24,234.1
2015-05-25,232.37
2015-05-26,227.6
2015-05-27,221.97
2015-05-28,233.23
2015-05-29,241.2
2015-05-30,238.0
2015-05-31,102.82
2015-06-01,311.63
2015-06-02,286.72
2015-06-03,271.78
2015-06-04,278.5
2015-06-05,281.4
2015-06-06,287.68
2015-06-07,278.5
2015-06-08,271.78
2015-06-09,250.87
2015-06-10,242.8
2015-06-11,250.0
2015-06-12,253.9
2015-06-13,256.07
2015-06-14,238.0
2015-06-15,227.6
2015-06-16,225.0
2015-06-17,206.8
2015-06-18,202.8
2015-06-19,200.0
2015-06-20,197.6
2015-06-21,200.0
2015-06-22,237.83
2015-06-23,233.67
2015-06-24,238.0
2015-06-25,243.2
2015-06-26,246.4
2015-06-27,231.5
2015-06-28,228.03
2015-06-29,120.72
2015-06-30,125.52
2015-07-01,137.2
2015-07-02,123.6
2015-07-03,112.31
2015-07-04,106.67
2015-07-05,105.9
2015-07-06,102.05
2015-07-07,108.46
2015-07-08,145.6
2015-07-09,150.8
2015-07-10,139.2
2015-07-11,157.2
2015-07-12,156.8
2015-07-13,139.6
2015-07-14,133.6
2015-07-15,121.89
2015-07-16,125.2
2015-07-17,150.0
2015-07-18,138.0
2015-07-19,146.0
2015-07-20,138.0
2015-07-21,120.72
2015-07-22,128.4
2015-07-23,142.8
2015-07-24,158.8
2015-07-25,159.2
2015-07-26,149.6
2015-07-27,147.6
2015-07-28,116.15
2015-07-29,113.34
2015-07-30,108.46
2015-07-31,116.15
2015-08-01,116.92
2015-08-02,119.4
2015-08-03,119.44
2015-08-04,106.67
2015-08-05,112.31
2015-08-06,101.92
2015-08-07,106.67
2015-08-08,108.46
2015-08-09,101.92
2015-08-10,114.1
2015-08-11,114.87
2015-08-12,112.31
2015-08-13,111.28
2015-08-14,106.41
2015-08-15,99.35
2015-08-16,101.19
2015-08-17,127.92
2015-08-18,138.8
2015-08-19,122.8
2015-08-20,124.69
2015-08-21,117.95
2015-08-22,114.1
2015-08-23,111.54
2015-08-24,114.62
2015-08-25,105.9
2015-08-26,130.0
2015-08-27,123.2
2015-08-28,118.2
2015-08-29,131.22
2015-08-30,97.81
2015-09-01,111.54
2015-09-02,120.72
2015-09-03,156.0
2015-09-04,198.33
2015-09-05,175.37
2015-09-06,144.0
2015-09-07,100.22
2015-09-08,113.74
2015-09-09,106.41
2015-09-10,108.46
2015-09-11,99.35
2015-09-12,102.57
2015-09-13,97.81
2015-09-14,95.72
2015-09-15,99.03
2015-09-16,101.4
2015-09-17,102.82
2015-09-18,105.64
2015-09-19,111.8
2015-09-20,107.18
2015-09-21,89.61
2015-09-22,87.78
2015-09-23,83.5
2015-09-24,83.5
2015-09-25,83.5
2015-09-26,186.2
2015-09-27,93.08
2015-09-28,174.5
2015-09-29,100.57
2015-09-30,117.83
2015-10-01,187.07
2015-10-02,84.11
2015-10-03,79.22
2015-10-04,188.37
2015-10-05,185.33
2015-10-06,174.07
2015-10-07,164.0
2015-10-08,162.4
2015-10-09,150.0
2015-10-10,154.0
2015-10-11,175.8
2015-10-12,186.63
2015-10-13,187.5
2015-10-14,190.53
2015-10-15,113.2
2015-10-16,140.8
2015-10-17,180.57
2015-10-18,120.72
2015-10-19,99.35
2015-10-20,96.33
2015-10-21,98.42
2015-10-22,186.63
2015-10-23,142.0
2015-10-24,98.58
2015-10-25,115.64
2015-10-26,128.0
2015-10-27,108.46
2015-10-28,97.2
2015-10-29,148.4
2015-10-30,130.4
2015-11-01,132.11
2015-11-02,210.03
2015-11-03,184.47
2015-11-04,182.73
2015-11-05,178.83
2015-11-06,165.2
2015-11-07,193.13
2015-11-08,286.67
2015-11-09,259.56
2015-11-10,181.43
2015-11-11,163.6
2015-11-12,128.0
2015-11-13,122.32
2015-11-14,100.32
2015-11-15,96.59
2015-11-16,106.67
2015-11-17,104.36
2015-11-18,181.17
2015-11-19,152.8
2015-11-20,165.13
2015-11-21,182.73
2015-11-22,273.17
2015-11-23,301.56
2015-11-24,128.26
2015-11-25,187.5
2015-11-26,192.27
2015-11-27,173.63
2015-11-28,177.53
2015-11-29,115.64
2015-11-30,116.41
2015-12-01,119.77
2015-12-02,108.46
2015-12-03,97.97
2015-12-04,187.93
2015-12-05,174.07
2015-12-06,174.5
2015-12-07,187.07
2015-12-08,186.63
2015-12-09,174.93
2015-12-10,173.2
2015-12-11,143.96
2015-12-12,174.07
2015-12-13,161.6
2015-12-14,150.0
2015-12-15,137.2
2015-12-16,124.8
2015-12-17,137.2
2015-12-18,137.2
2015-12-19,124.8
2015-12-20,138.8
2015-12-21,137.2
2015-12-22,137.6
2015-12-23,126.4
2015-12-24,126.8
2015-12-25,116.41
2015-12-26,115.9
2015-12-27,115.9
2015-12-28,115.64
2017-03-31,381.43
2017-04-29,405.83
2017-04-30,394.0
2017-05-01,332.51
2017-05-02,341.81
2017-05-03,361.87
2017-05-04,363.35
2017-05-05,394.55
2017-05-06,485.44
2017-05-07,557.56
2017-05-08,508.75
2017-05-09,494.56
2017-05-10,521.31
2017-05-11,594.49
2017-05-12,647.33
2017-05-13,679.66
2017-05-14,686.69
2017-05-15,683.17
2017-05-16,686.88
2017-05-17,684.06
2017-05-18,685.06
2017-05-19,670.3
2017-05-20,657.72
2017-05-21,627.72
2017-05-22,603.33
2017-05-23,627.77
2017-05-24,574.83
2017-05-25,506.75
2017-05-26,458.18
2017-05-27,424.34
2017-05-28,418.81
2018-03-31,309.1
2018-04-29,236.37
2018-04-30,180.57
2018-05-01,83.5
2018-05-02,108.72
2018-05-03,109.23
2018-05-04,110.26
2018-05-05,126.72
2018-05-06,138.8
2018-05-07,156.4
2018-05-08,176.67
2018-05-09,192.7
2018-05-10,184.03
2018-05-11,156.8
2018-05-12,119.15
2018-05-13,103.08
2018-05-14,217.94
2018-05-15,223.56
2018-05-16,164.4
2018-05-17,128.8
2018-05-18,131.6
2018-05-19,184.47
2018-05-20,156.4
2018-05-21,175.37
2018-05-22,193.13
2018-05-23,127.6
2018-05-24,173.2
2018-05-25,158.23
2018-05-26,123.2
2018-05-27,116.95
2018-05-28,190.13
2020-02-24,102.23
2020-02-25,109.23
2020-02-26,114.1
2020-02-27,202.72
2020-02-28,184.03
2020-02-29,185.33
2020-03-01,175.37
2020-03-04,85.33
2020-03-05,95.06
2020-03-06,96.26
2020-03-07,95.86
2020-03-08,96.26
2020-03-09,99.84
2020-03-10,122.0
2020-03-11,146.0
2020-03-12,151.2
2020-03-13,157.2
2020-03-14,174.5
2020-03-15,200.5
2020-03-16,183.17
2020-03-17,171.9
2020-03-18,170.17
2020-03-19,98.64
2020-03-20,99.84
2020-03-21,89.61
2020-03-22,85.95
2020-03-23,92.24
2020-04-12,184.03
2020-04-13,184.03
2020-04-14,236.44
2020-04-15,217.89
2020-04-16,197.9
2020-04-17,183.17
2020-04-18,109.23
2020-04-19,95.06
2020-04-20,129.2
2020-04-21,74.33
2020-05-31,198.33
2020-06-05,90.54
2020-06-06,31.9
2020-07-30,202.67
2020-08-29,194.0
2020-09-01,74.33
2020-09-02,74.33
2020-09-03,74.33
2020-09-04,168.0
2020-09-05,168.0
2020-09-06,168.0
2020-09-07,168.0
2020-09-08,168.0
2020-09-09,174.5
2020-09-10,181.0
2020-09-11,181.0
2020-09-12,168.0
2020-09-13,156.0
2020-09-14,144.0
2020-09-15,144.0
2020-09-16,156.0
2020-09-17,168.0
2020-09-18,181.0
2020-09-19,207.0
2020-09-20,181.0
2020-11-30,340.0
2020-12-01,500.0
2020-12-02,666.33
2020-12-03,269.33
2020-12-04,147.89
2020-12-26,266.67
2020-12-27,431.11
2020-12-28,302.6
2020-12-29,302.6
2021-01-01,344.57
2021-01-02,257.72
2021-01-03,303.47
2021-01-04,280.0
2021-01-05,340.83
2021-01-06,433.33
2021-01-07,460.28
2021-01-08,431.11
2021-01-09,426.66
2021-01-10,438.22
2021-01-11,436.44
2021-01-12,439.56
2021-01-13,443.11
2021-01-14,408.45
2021-01-15,402.67
2021-01-16,380.6
2021-01-17,375.5
2021-01-18,293.34
2021-01-19,230.22
2021-01-20,194.0
2021-02-27,227.11
2021-02-28,373.8
2021-03-01,384.16
2021-03-02,530.28
2021-03-03,596.33
2021-03-04,591.33
2021-03-05,527.5
2021-03-06,498.0
2021-03-07,326.0
2021-03-10,440.0
2021-03-11,542.33
2021-03-12,680.67
2021-03-13,687.5
2021-03-14,634.0
2021-03-15,537.5
2021-03-16,562.33
2021-03-17,393.34
2021-03-23,682.5
2021-03-24,660.67
2021-03-25,638.33
2021-03-26,535.0
2021-03-27,594.0
2021-03-28,586.83
2022-03-01,636.17
2022-03-02,520.0
2022-03-04,630.97
2022-03-05,644.83
2022-03-06,640.5
2022-03-07,646.13
2022-03-08,678.17
2022-03-09,667.5
2022-03-10,525.0
2022-03-28,505.0
2022-03-29,480.0
2022-04-01,855.55
2022-04-02,690.0
2022-04-03,525.0
2022-04-11,544.67
2022-04-12,549.67
2022-04-19,620.33
2022-04-20,712.5
2022-04-21,685.0
2022-04-22,629.67
2022-04-23,621.0
2022-04-24,550.0
2022-04-28,540.0
2022-09-29,485.0
2022-09-30,665.67
2022-10-25,655.67
2022-10-26,634.0
2022-10-27,559.67
2022-10-28,510.0
2022-10-29,886.94
2022-10-30,601.67
2022-11-09,517.5
2022-11-10,710.0
2022-11-11,526.5
2022-11-12,586.67
2022-11-13,685.0
2022-11-14,705.0
2022-11-18,581.67
2022-11-19,652.0
2022-11-20,944.44
