FECHA,CAUDAL_M3S
2015-01-01,171.49
2015-01-02,160.23
2015-01-03,151.65
2015-01-04,147.53
2015-01-05,143.12
2015-01-06,155.05
2015-01-07,179.19
2015-01-08,179.6
2015-01-09,177.86
2015-01-10,177.98
2015-01-11,154.94
2015-01-12,151.55
2015-01-13,150.35
2015-01-14,173.61
2015-01-15,215.86
2015-01-16,248.77
2015-01-17,226.36
2015-01-18,215.47
2015-01-19,217.95
2015-01-20,230.6
2015-01-21,220.22
2015-01-22,291.15
2015-01-23,355.65
2015-01-24,303.08
2015-01-25,268.65
2015-01-26,247.92
2015-01-27,238.11
2015-01-28,221.62
2015-01-29,190.72
2015-01-30,174.22
2015-01-31,173.94
2015-02-01,185.79
2015-02-02,169.63
2015-02-03,166.05
2015-02-04,189.16
2015-02-05,188.94
2015-02-06,186.31
2015-02-07,209.99
2015-02-08,223.56
2015-02-09,302.29
2015-02-10,355.33
2015-02-11,338.5
2015-02-12,295.66
2015-02-13,282.49
2015-02-14,249.65
2015-02-15,239.87
2015-02-16,221.54
2015-02-17,246.41
2015-02-18,248.52
2015-02-19,246.41
2015-02-20,261.56
2015-02-21,239.53
2015-02-22,219.98
2015-02-23,203.07
2015-02-24,230.27
2015-02-25,236.21
2015-02-26,238.58
2015-02-27,235.78
2015-02-28,241.83
2015-03-01,209.01
2015-03-02,227.12
2015-03-03,230.95
2015-03-04,320.32
2015-03-05,316.77
2015-03-06,358.75
2015-03-07,300.27
2015-03-08,232.7
2015-03-09,190.14
2015-03-10,204.48
2015-03-11,213.77
2015-03-12,181.2
2015-03-13,189.15
2015-03-14,234.43
2015-03-15,240.55
2015-03-16,233.08
2015-03-17,296.86
2015-03-18,368.17
2015-03-19,407.94
2015-03-20,397.8
2015-03-21,439.38
2015-03-22,346.81
2015-03-23,283.62
2015-03-24,293.49
2015-03-25,278.29
2015-03-26,314.48
2015-03-27,309.93
2015-03-28,310.19
2015-03-29,279.45
2015-03-30,260.88
2015-03-31,169.96
2015-04-01,251.35
2015-04-02,297.71
2015-04-03,296.82
2015-04-04,261.95
2015-04-05,255.67
2015-04-06,238.15
2015-04-07,244.1
2015-04-08,279.94
2015-04-09,248.68
2015-04-10,256.18
2015-04-11,261.32
2015-04-12,231.12
2015-04-13,202.97
2015-04-14,201.1
2015-04-15,217.6
2015-04-16,314.13
2015-04-17,452.02
2015-04-18,445.5
2015-04-19,379.75
2015-04-20,368.16
2015-04-21,385.71
2015-04-22,371.54
2015-04-23,291.42
2015-04-24,300.98
2015-04-25,319.45
2015-04-26,260.41
2015-04-27,243.57
2015-04-28,284.57
2015-04-29,176.95
2015-04-30,198.28
2015-05-01,256.83
2015-05-02,223.43
2015-05-03,216.46
2015-05-04,215.88
2015-05-05,211.67
2015-05-06,204.94
2015-05-07,194.24
2015-05-08,188.89
2015-05-09,179.46
2015-05-10,167.26
2015-05-11,156.57
2015-05-12,182.48
2015-05-13,238.03
2015-05-14,183.73
2015-05-15,172.11
2015-05-16,155.43
2015-05-17,182.62
2015-05-18,180.8
2015-05-19,162.77
2015-05-20,146.26
2015-05-21,139.04
2015-05-22,144.65
2015-05-23,141.26
2015-05-24,134.91
2015-05-25,136.38
2015-05-26,134.4
2015-05-27,157.79
2015-05-28,212.28
2015-05-29,117.37
2015-05-30,128.14
2015-05-31,94.11
2015-06-01,155.54
2015-06-02,153.37
2015-06-03,144.9
2015-06-04,151.64
2015-06-05,155.5
2015-06-06,144.85
2015-06-07,136.92
2015-06-08,134.73
2015-06-09,139.6
2015-06-10,149.07
2015-06-11,158.29
2015-06-12,149.61
2015-06-13,128.27
2015-06-14,123.32
2015-06-15,120.84
2015-06-16,119.43
2015-06-17,116.17
2015-06-18,111.94
2015-06-19,110.68
2015-06-20,116.14
2015-06-21,131.04
2015-06-22,115.49
2015-06-23,127.23
2015-06-24,129.49
2015-06-25,117.79
2015-06-26,104.87
2015-06-27,116.61
2015-06-28,128.58
2015-06-29,120.31
2015-06-30,129.7
2015-07-01,129.55
2015-07-02,123.79
2015-07-03,110.32
2015-07-04,105.77
2015-07-05,98.69
2015-07-06,97.23
2015-07-07,122.16
2015-07-08,150.01
2015-07-09,160.4
2015-07-10,147.87
2015-07-11,158.56
2015-07-12,133.82
2015-07-13,124.98
2015-07-14,120.36
2015-07-15,142.31
2015-07-16,129.02
2015-07-17,160.04
2015-07-18,137.16
2015-07-19,128.7
2015-07-20,124.07
2015-07-21,123.97
2015-07-22,120.54
2015-07-23,130.47
2015-07-24,145.21
2015-07-25,125.68
2015-07-26,118.2
2015-07-27,112.29
2015-07-28,111.7
2015-07-29,111.54
2015-07-30,96.88
2015-07-31,67.44
2015-08-01,124.16
2015-08-02,116.29
2015-08-03,110.3
2015-08-04,107.91
2015-08-05,105.65
2015-08-06,102.69
2015-08-07,102.5
2015-08-08,103.95
2015-08-09,104.19
2015-08-10,106.1
2015-08-11,110.35
2015-08-12,115.88
2015-08-13,109.53
2015-08-14,109.12
2015-08-15,112.9
2015-08-16,121.5
2015-08-17,130.67
2015-08-18,125.4
2015-08-19,117.55
2015-08-20,112.26
2015-08-21,129.05
2015-08-22,150.83
2015-08-23,124.04
2015-08-24,113.82
2015-08-25,128.21
2015-08-26,152.15
2015-08-27,152.47
2015-08-28,142.94
2015-08-29,70.81
2015-08-30,92.25
2015-09-01,103.59
2015-09-02,164.22
2015-09-03,161.83
2015-09-04,170.51
2015-09-05,103.99
2015-09-06,97.26
2015-09-07,94.28
2015-09-08,104.14
2015-09-09,104.54
2015-09-10,104.58
2015-09-11,99.2
2015-09-12,99.42
2015-09-13,100.1
2015-09-14,98.0
2015-09-15,91.66
2015-09-16,95.38
2015-09-17,98.62
2015-09-18,85.36
2015-09-19,100.44
2015-09-20,112.39
2015-09-21,92.57
2015-09-22,72.31
2015-09-23,66.61
2015-09-24,67.69
2015-09-25,76.01
2015-09-26,73.19
2015-09-27,78.08
2015-09-28,76.23
2015-09-29,79.68
2015-09-30,85.48
2015-10-01,93.42
2015-10-02,87.0
2015-10-03,88.0
2015-10-04,82.79
2015-10-05,77.75
2015-10-06,68.16
2015-10-07,61.18
2015-10-08,66.25
2015-10-09,62.38
2015-10-10,64.23
2015-10-11,78.16
2015-10-12,72.91
2015-10-13,74.55
2015-10-14,89.35
2015-10-15,122.12
2015-10-16,135.2
2015-10-17,153.82
2015-10-18,100.33
2015-10-19,95.42
2015-10-20,87.28
2015-10-21,73.43
2015-10-22,64.77
2015-10-23,62.75
2015-10-24,100.86
2015-10-25,113.35
2015-10-26,111.52
2015-10-27,90.4
2015-10-28,80.39
2015-10-29,129.31
2015-10-30,120.37
2015-11-01,122.35
2015-11-02,151.22
2015-11-03,166.42
2015-11-04,145.92
2015-11-05,149.97
2015-11-06,134.87
2015-11-07,169.38
2015-11-08,209.86
2015-11-09,179.1
2015-11-10,151.94
2015-11-11,132.46
2015-11-12,114.25
2015-11-13,97.9
2015-11-14,89.82
2015-11-15,85.17
2015-11-16,87.18
2015-11-17,100.0
2015-11-18,157.44
2015-11-19,138.64
2015-11-20,156.21
2015-11-21,167.82
2015-11-22,205.64
2015-11-23,222.1
2015-11-24,167.51
2015-11-25,172.46
2015-11-26,167.57
2015-11-27,156.43
2015-11-28,150.4
2015-11-29,62.94
2015-11-30,60.81
2015-12-01,111.42
2015-12-02,107.27
2015-12-03,96.83
2015-12-04,89.09
2015-12-05,85.97
2015-12-06,84.05
2015-12-07,79.88
2015-12-08,78.51
2015-12-09,74.81
2015-12-10,78.15
2015-12-11,90.51
2015-12-12,72.54
2015-12-13,67.36
2015-12-14,64.45
2015-12-15,67.02
2015-12-16,74.61
2015-12-17,68.82
2015-12-18,66.31
2015-12-19,71.16
2015-12-20,69.72
2015-12-21,65.69
2015-12-22,61.88
2015-12-23,58.99
2015-12-24,57.06
2015-12-25,56.11
2015-12-26,59.01
2015-12-27,60.11
2015-12-28,59.21
2016-01-01,75.23
2016-01-02,77.46
2016-01-03,78.8
2016-01-04,80.08
2016-01-05,81.66
2016-01-06,77.54
2016-01-07,83.17
2016-01-08,83.59
2016-01-09,80.0
2016-01-10,79.68
2016-01-11,95.87
2016-01-12,114.67
2016-01-13,104.37
2016-01-14,85.39
2016-01-15,77.28
2016-01-16,73.21
2016-01-17,69.66
2016-01-18,67.22
2016-01-19,66.64
2016-01-20,66.53
2016-01-21,66.47
2016-01-22,64.21
2016-01-23,73.5
2016-01-24,63.42
2016-01-25,62.9
2016-01-26,63.92
2016-01-27,61.63
2016-01-28,60.52
2016-01-29,60.09
2016-01-30,63.17
2016-01-31,64.01
2016-02-01,62.1
2016-02-02,65.03
2016-02-03,65.44
2016-02-04,65.75
2016-02-05,67.19
2016-02-06,78.22
2016-02-07,73.43
2016-02-08,68.34
2016-02-09,67.87
2016-02-10,67.11
2016-02-11,66.16
2016-02-12,66.63
2016-02-13,72.54
2016-02-14,75.76
2016-02-15,69.99
2016-02-16,66.75
2016-02-17,66.26
2016-02-18,71.74
2016-02-19,87.29
2016-02-20,74.23
2016-02-21,67.8
2016-02-22,104.2
2016-02-23,129.63
2016-02-24,99.68
2016-02-25,99.91
2016-02-26,102.4
2016-02-27,119.31
2016-02-28,100.7
2016-02-29,92.23
2016-03-01,84.31
2016-03-02,88.37
2016-03-03,102.56
2016-03-04,116.46
2016-03-05,136.79
2016-03-06,131.38
2016-03-07,170.12
2016-03-08,159.68
2016-03-09,128.14
2016-03-10,134.38
2016-03-11,169.64
2016-03-12,172.74
2016-03-13,161.16
2016-03-14,154.15
2016-03-15,178.89
