FECHA,CAUDAL_M3S
2015-01-01,3.01
2015-01-02,2.96
2015-01-03,2.91
2015-01-04,2.75
2015-01-05,2.73
2015-01-06,2.58
2015-01-07,2.45
2015-01-08,2.55
2015-01-09,2.66
2015-01-10,2.7
2015-01-11,2.74
2015-01-12,2.61
2015-01-13,2.48
2015-01-14,2.44
2015-01-15,2.5
2015-01-16,2.8
2015-01-17,3.11
2015-01-18,3.19
2015-01-19,3.29
2015-01-20,3.2
2015-01-21,3.25
2015-01-22,3.29
2015-01-23,3.59
2015-01-24,4.03
2015-01-25,4.01
2015-01-26,3.76
2015-01-27,3.52
2015-01-28,3.5
2015-01-29,3.43
2015-01-30,3.16
2015-01-31,3.0
2015-02-01,2.83
2015-02-02,2.83
2015-02-03,2.89
2015-02-04,2.77
2015-02-05,2.7
2015-02-06,2.9
2015-02-07,2.92
2015-02-08,3.01
2015-02-09,3.44
2015-02-10,3.53
2015-02-11,4.28
2015-02-12,4.2
2015-02-13,4.03
2015-02-14,3.72
2015-02-15,3.57
2015-02-16,3.29
2015-02-17,3.16
2015-02-18,3.2
2015-02-19,3.23
2015-02-20,3.28
2015-02-21,3.38
2015-02-22,3.41
2015-02-23,3.1
2015-02-24,3.04
2015-02-25,2.96
2015-02-26,3.02
2015-02-27,3.0
2015-02-28,3.04
2015-03-01,3.06
2015-03-02,3.01
2015-03-03,3.0
2015-03-04,3.16
2015-03-05,3.44
2015-03-06,3.92
2015-03-07,3.98
2015-03-08,3.97
2015-03-09,3.42
2015-03-10,3.05
2015-03-11,2.86
2015-03-12,2.94
2015-03-13,2.91
2015-03-14,2.75
2015-03-15,2.94
2015-03-16,3.45
2015-03-17,3.22
2015-03-18,3.59
2015-03-19,4.07
2015-03-20,4.68
2015-03-21,4.75
2015-03-22,4.85
2015-03-23,4.66
2015-03-24,4.12
2015-03-25,3.82
2015-03-26,3.87
2015-03-27,3.89
2015-03-28,3.94
2015-03-29,4.02
2015-03-30,4.01
2015-03-31,2.96
2015-04-01,4.42
2015-04-02,4.02
2015-04-03,3.86
2015-04-04,4.44
2015-04-05,4.37
2015-04-06,3.86
2015-04-07,3.38
2015-04-08,3.52
2015-04-09,3.83
2015-04-10,3.7
2015-04-11,3.64
2015-04-12,3.48
2015-04-13,3.19
2015-04-14,3.11
2015-04-15,3.45
2015-04-16,4.11
2015-04-17,5.26
2015-04-18,5.33
2015-04-19,5.67
2015-04-20,5.41
2015-04-21,5.53
2015-04-22,5.32
2015-04-23,5.03
2015-04-24,4.67
2015-04-25,4.41
2015-04-26,4.38
2015-04-27,4.17
2015-04-28,3.92
2015-04-29,2.75
2015-04-30,3.06
2015-05-01,3.9
2015-05-02,3.73
2015-05-03,3.64
2015-05-04,3.49
2015-05-05,3.41
2015-05-06,3.25
2015-05-07,3.21
2015-05-08,3.11
2015-05-09,3.06
2015-05-10,3.01
2015-05-11,2.95
2015-05-12,2.71
2015-05-13,2.68
2015-05-14,2.95
2015-05-15,3.07
2015-05-16,2.96
2015-05-17,2.9
2015-05-18,2.64
2015-05-19,2.74
2015-05-20,2.69
