FECHA,CAUDAL_M3S
2010-01-01,185.63
2010-01-02,185.84
2010-01-03,163.33
2010-01-04,159.47
2010-01-05,159.26
2010-01-06,139.59
2010-01-07,138.14
2010-01-08,129.39
2010-01-09,123.97
2010-01-10,106.91
2010-01-11,107.83
2010-01-12,122.03
2010-01-13,132.56
2010-01-14,142.82
2010-01-15,143.9
2010-01-16,144.29
2010-01-17,124.99
2010-01-18,138.88
2010-01-19,139.24
2010-01-20,140.56
2010-01-21,123.11
2010-01-22,107.06
2010-01-23,101.59
2010-01-24,104.26
2010-01-25,133.21
2010-01-26,143.71
2010-01-27,133.82
2010-01-28,150.49
2010-01-29,156.02
2010-01-30,150.46
2010-01-31,114.16
2010-02-01,133.41
2010-02-02,146.44
2010-02-03,122.96
2010-02-04,155.47
2010-02-05,138.8
2010-02-06,192.0
2010-02-07,151.68
2010-02-08,151.46
2010-02-09,149.04
2010-02-10,132.95
2010-02-11,159.49
2010-02-12,157.95
2010-02-13,134.53
2010-02-14,136.79
2010-02-15,158.33
2010-02-16,167.27
2010-02-17,177.06
2010-02-18,179.8
2010-02-19,179.43
2010-02-20,120.05
2010-02-21,109.22
2010-02-22,147.18
2010-02-23,150.61
2010-02-24,144.37
2010-02-25,155.7
2010-02-26,155.54
2010-02-27,178.93
2010-02-28,177.14
2010-03-01,135.31
2010-03-02,127.94
2010-03-03,136.15
2010-03-04,151.25
2010-03-05,161.05
2010-03-06,119.58
2010-03-07,116.35
2010-03-08,103.3
2010-03-09,118.24
2010-03-10,126.3
2010-03-11,148.31
2010-03-12,119.0
2010-03-13,136.65
2010-03-14,141.56
2010-03-15,139.07
2010-03-16,117.21
2010-03-17,113.86
2010-03-18,107.86
2010-03-19,102.14
2010-03-20,103.54
2010-03-21,99.73
2010-03-22,98.96
2010-03-23,98.84
2010-03-24,97.74
2010-03-25,97.7
2010-03-26,100.61
2010-03-27,99.83
2010-03-28,101.04
2010-03-29,211.25
2010-03-30,182.36
2010-03-31,138.36
2010-04-01,110.0
2010-04-02,105.06
2010-04-03,114.78
2010-04-04,124.99
2010-04-05,123.28
2010-04-06,163.89
2010-04-07,140.53
2010-04-08,175.21
2010-04-09,188.34
2010-04-10,167.91
2010-04-11,205.37
2010-04-12,218.36
2010-04-13,214.0
2010-04-14,224.26
2010-04-15,187.94
2010-04-16,174.09
2010-04-17,184.57
2010-04-18,172.65
2010-04-19,188.92
2010-04-20,201.64
2010-04-21,164.25
2010-04-22,196.11
2010-04-23,197.69
2010-04-24,136.02
2010-04-25,139.49
2010-04-26,198.79
2010-04-27,167.67
2010-04-28,192.23
2010-04-29,129.35
2010-04-30,128.67
2010-05-01,203.24
2010-05-02,200.14
2010-05-03,308.52
2010-05-04,282.46
2010-05-05,265.3
2010-05-06,302.95
2010-05-07,299.93
2010-05-08,257.92
2010-05-09,264.78
2010-05-10,258.18
2010-05-11,204.79
2010-05-12,190.27
2010-05-13,174.64
2010-05-14,167.94
2010-05-15,149.86
2010-05-16,137.0
2010-05-17,135.38
2010-05-18,144.22
2010-05-19,137.93
2010-05-20,140.53
2010-05-21,174.9
2010-05-22,152.98
2010-05-23,161.44
2010-05-24,148.11
2010-05-25,140.97
2010-05-26,145.43
2010-05-27,135.0
2010-05-28,131.22
2010-05-29,148.73
2010-05-30,191.17
2010-05-31,132.53
2010-06-01,127.7
2010-06-02,143.33
2010-06-03,194.54
2010-06-04,145.95
2010-06-05,134.39
2010-06-06,116.41
2010-06-07,111.49
2010-06-08,115.35
2010-06-09,121.38
2010-06-10,116.37
2010-06-11,113.89
2010-06-12,109.16
2010-06-13,111.82
2010-06-14,116.46
2010-06-15,117.93
2010-06-16,118.25
2010-06-17,137.56
2010-06-18,125.14
2010-06-19,165.62
2010-06-20,186.54
2010-06-21,187.41
2010-06-22,237.44
2010-06-23,218.8
2010-06-24,171.94
2010-06-25,163.57
2010-06-26,171.57
2010-06-27,164.4
2010-06-28,149.05
2010-06-29,254.83
2010-06-30,288.0
2010-07-01,191.61
2010-07-02,179.3
2010-07-03,198.6
2010-07-04,216.72
2010-07-05,199.38
2010-07-06,206.29
2010-07-07,235.83
2010-07-08,227.98
2010-07-09,262.63
2010-07-10,257.59
2010-07-11,270.34
2010-07-12,269.18
2010-07-13,280.88
2010-07-14,278.01
2010-07-15,288.21
2010-07-16,280.73
2010-07-17,277.66
2010-07-18,327.29
2010-07-19,325.28
2010-07-20,292.87
2010-07-21,259.66
2010-07-22,224.37
2010-07-23,221.34
2010-07-24,168.64
2010-07-25,152.68
2010-07-26,184.17
2010-07-27,219.26
2010-07-28,240.77
2010-07-29,145.61
2010-07-30,129.62
2010-08-01,227.51
2010-08-02,219.0
2010-08-03,256.94
2010-08-04,304.68
2010-08-05,289.31
2010-08-06,231.86
2010-08-07,211.77
2010-08-08,205.3
2010-08-09,219.27
2010-08-10,237.67
2010-08-11,246.05
2010-08-12,202.44
2010-08-13,191.24
2010-08-14,181.36
2010-08-15,165.32
2010-08-16,164.93
2010-08-17,217.48
2010-08-18,216.03
2010-08-19,213.1
2010-08-20,163.69
2010-08-21,137.45
2010-08-22,129.32
2010-08-23,146.07
2010-08-24,158.22
2010-08-25,157.34
2010-08-26,265.26
2010-08-27,293.02
2010-08-28,198.37
2010-08-29,238.68
2010-08-30,279.14
2010-09-01,175.08
2010-09-02,233.2
2010-09-03,229.55
2010-09-04,222.16
2010-09-05,157.06
2010-09-06,230.83
2010-09-07,368.32
2010-09-08,267.7
2010-09-09,245.66
2010-09-10,245.39
2010-09-11,232.47
2010-09-12,225.61
2010-09-13,236.3
2010-09-14,237.85
2010-09-15,238.75
2010-09-16,304.18
2010-09-17,220.63
2010-09-18,147.83
2010-09-19,126.76
2010-09-20,170.02
2010-09-21,172.76
2010-09-22,197.29
2010-09-23,229.02
2010-09-24,165.84
2010-09-25,158.86
2010-09-26,164.93
2010-09-27,194.42
2010-09-28,226.82
2010-09-29,300.03
2010-09-30,310.87
2010-10-01,185.92
2010-10-02,135.79
2010-10-03,139.32
2010-10-04,167.9
2010-10-05,290.02
2010-10-06,221.39
2010-10-07,182.21
2010-10-08,172.43
2010-10-09,164.38
2010-10-10,142.93
2010-10-11,195.6
2010-10-12,158.26
2010-10-13,172.31
2010-10-14,155.6
2010-10-15,154.36
2010-10-16,154.33
2010-10-17,143.78
2010-10-18,150.35
2010-10-19,168.3
2010-10-20,189.29
2010-10-21,178.74
2010-10-22,201.55
2010-10-23,180.23
2010-10-24,168.58
2010-10-25,218.6
2010-10-26,235.11
2010-10-27,284.96
2010-10-28,277.86
2010-10-29,452.8
2010-10-30,446.2
2010-11-01,390.3
2010-11-02,434.11
2010-11-03,490.32
2010-11-04,464.19
2010-11-05,458.34
2010-11-06,424.59
2010-11-07,357.53
2010-11-08,419.84
2010-11-09,423.93
2010-11-10,452.3
2010-11-11,334.73
2010-11-12,413.61
2010-11-13,427.13
2010-11-14,414.98
2010-11-15,429.98
2010-11-16,436.73
2010-11-17,490.99
2010-11-18,469.84
2010-11-19,474.41
2010-11-20,494.14
2010-11-21,496.73
2010-11-22,481.58
2010-11-23,474.8
2010-11-24,494.88
2010-11-25,471.31
2010-11-26,498.23
2010-11-27,476.57
2010-11-28,486.89
2010-12-01,478.65
2010-12-02,474.51
2010-12-03,484.88
2010-12-04,474.47
2010-12-05,461.09
2010-12-06,447.06
2010-12-07,475.96
2010-12-08,483.62
2010-12-09,477.92
2010-12-10,475.64
2010-12-11,471.87
2010-12-12,471.71
2010-12-13,493.13
2010-12-14,491.73
2010-12-15,487.07
2010-12-16,497.54
2010-12-17,472.32
2010-12-18,472.32
2010-12-19,467.8
2010-12-20,469.58
