FECHA,CAUDAL_M3S
2015-01-01,2.97
2015-01-02,2.46
2015-01-03,1.83
2015-01-04,1.78
2015-01-05,1.51
2015-01-06,1.35
2015-01-07,1.24
2015-01-08,0.98
2015-01-09,0.88
2015-01-10,0.64
2015-01-11,0.57
2015-01-12,1.08
2015-01-13,1.14
2015-01-14,1.08
2015-01-15,1.19
2015-01-16,0.92
2015-01-17,0.83
2015-01-18,0.98
2015-01-19,1.19
2015-01-20,1.78
2015-01-21,1.78
2015-01-22,1.56
2015-01-23,1.72
2015-01-24,1.62
2015-01-25,1.35
2015-01-26,1.03
2015-01-27,0.76
2015-01-28,0.6
2015-01-29,0.53
2015-01-30,0.6
2015-01-31,0.53
2015-02-01,0.6
2015-02-02,0.68
2015-02-03,0.72
2015-02-04,0.64
2015-02-05,0.72
2015-02-06,0.57
2015-02-07,0.6
2015-02-08,6.33
2015-02-09,16.0
2015-02-10,9.91
2015-02-11,5.53
2015-02-12,0.9
2015-02-13,1.08
2015-02-14,0.83
2015-02-15,0.76
2015-02-16,0.88
2015-02-17,1.24
2015-02-18,1.92
2015-02-19,11.73
2015-02-20,7.51
2015-02-21,7.29
2015-02-22,6.65
2015-02-23,5.47
2015-02-24,2.68
2015-02-25,1.46
2015-02-26,1.03
2015-02-27,0.79
2015-02-28,0.57
2015-03-01,0.42
2015-03-02,0.3
2015-03-03,0.84
2015-03-04,1.03
2015-03-05,1.4
2015-03-06,1.03
2015-03-07,1.03
2015-03-08,0.88
2015-03-09,0.72
2015-03-10,0.57
2015-03-11,0.76
2015-03-12,0.6
2015-03-13,0.79
2015-03-14,0.72
2015-03-15,0.79
2015-03-16,3.35
2015-03-17,9.86
2015-03-18,9.24
2015-03-19,3.22
2015-03-20,1.72
2015-03-21,1.35
2015-03-22,0.88
2015-03-23,0.64
2015-03-24,0.45
2015-03-25,0.6
2015-03-26,1.24
2015-03-27,2.16
2015-03-28,1.98
2015-03-29,1.98
2015-03-30,1.51
2015-03-31,2.38
2015-04-01,4.3
2015-04-02,2.16
2015-04-03,2.24
2015-04-04,1.83
2015-04-05,2.24
2015-04-06,1.14
2015-04-07,0.79
2015-04-08,0.6
2015-04-09,0.68
2015-04-10,0.72
2015-04-11,0.49
2015-04-12,0.42
2015-04-13,0.49
2015-04-14,1.62
2015-04-15,1.24
2015-04-16,2.05
2015-04-17,14.56
2015-04-18,5.63
2015-04-19,1.87
2015-04-20,0.81
2015-04-21,1.03
2015-04-22,1.14
2015-04-23,1.24
2015-04-24,3.66
2015-04-25,9.19
2015-04-26,11.89
2015-04-27,4.77
2015-04-28,2.68
2015-04-29,5.53
2015-04-30,3.12
2015-05-01,1.4
2015-05-02,1.51
2015-05-03,1.62
2015-05-04,1.4
2015-05-05,1.51
2015-05-06,1.62
2015-05-07,0.57
2015-05-08,0.42
2015-05-09,0.11
2015-05-10,0.57
2015-05-11,0.42
2015-05-12,0.49
2015-05-13,0.34
2015-05-14,0.42
2015-05-15,0.79
2015-05-16,0.72
2015-05-17,0.64
2015-05-18,0.57
2015-05-19,0.64
2015-05-20,1.05
2015-05-21,3.93
2015-05-22,5.81
2015-05-23,2.15
2015-05-24,0.64
2015-05-25,0.76
2015-05-26,1.3
2015-05-27,3.12
2015-05-28,15.81
2015-05-29,7.75
2015-05-30,6.02
2015-05-31,0.84
2015-06-01,8.19
2015-06-02,10.83
2015-06-03,47.61
2015-06-04,22.48
2015-06-05,10.36
2015-06-06,5.41
2015-06-07,4.38
2015-06-08,4.47
2015-06-09,4.47
2015-06-10,3.26
2015-06-11,2.53
2015-06-12,2.09
2015-06-13,1.83
2015-06-14,1.62
2015-06-15,9.19
2015-06-16,1.03
2015-06-17,0.88
2015-06-18,0.57
2015-06-19,5.1
2015-06-20,38.97
2015-06-21,9.19
2015-06-22,8.98
2015-06-23,18.57
2015-06-24,14.11
2015-06-25,11.73
2015-06-26,11.73
