FECHA,CAUDAL_M3S
2015-01-01,8.08
2015-01-02,8.38
2015-01-03,7.2
2015-01-04,7.0
2015-01-05,6.8
2015-01-06,6.6
2015-01-07,6.21
2015-01-08,5.5
2015-01-09,5.31
2015-01-10,5.5
2015-01-11,5.27
2015-01-12,5.55
2015-01-13,5.45
2015-01-14,5.55
2015-01-15,5.78
2015-01-16,6.9
2015-01-17,6.75
2015-01-18,7.0
2015-01-19,17.27
2015-01-20,9.14
2015-01-21,7.25
2015-01-22,7.0
2015-01-23,7.2
2015-01-24,7.0
2015-01-25,6.95
2015-01-26,6.9
2015-01-27,6.21
2015-01-28,7.1
2015-01-29,6.69
2015-01-30,6.85
2015-01-31,5.73
2015-02-01,5.73
2015-02-02,5.55
2015-02-03,5.83
2015-02-04,5.78
2015-02-05,5.55
2015-02-06,6.75
2015-02-07,7.15
2015-02-08,8.72
2015-02-09,10.86
2015-02-10,10.29
2015-02-11,14.04
2015-02-12,8.61
2015-02-13,7.35
2015-02-14,8.55
2015-02-15,6.95
2015-02-16,6.75
2015-02-17,7.2
2015-02-18,7.4
2015-02-19,7.2
2015-02-20,26.93
2015-02-21,18.15
2015-02-22,8.32
2015-02-23,8.83
2015-02-24,8.32
2015-02-25,6.41
2015-02-26,5.45
2015-02-27,5.36
2015-02-28,5.27
2015-03-01,5.27
2015-03-02,5.55
2015-03-03,6.21
2015-03-04,25.17
2015-03-05,8.44
2015-03-06,8.21
2015-03-07,7.98
2015-03-08,8.55
2015-03-09,8.17
2015-03-10,6.9
2015-03-11,9.32
2015-03-12,6.07
2015-03-13,5.87
2015-03-14,5.31
2015-03-15,7.0
2015-03-16,10.03
2015-03-17,8.21
2015-03-18,21.37
2015-03-29,8.98
2015-03-30,8.25
2015-03-31,6.95
2015-04-01,8.61
2015-04-02,8.38
2015-04-03,9.63
2015-04-04,9.92
2015-04-05,9.27
2015-04-06,9.14
2015-04-07,8.21
2015-04-08,7.1
2015-04-09,7.06
2015-04-10,6.76
2015-04-11,6.5
2015-04-12,6.46
2015-04-13,5.72
2015-04-14,5.36
2015-04-15,6.66
2015-04-16,7.1
2015-04-17,6.65
2015-04-18,16.24
2015-04-19,17.58
2015-04-20,17.61
2015-04-21,14.48
2015-04-22,12.9
2015-04-23,12.51
2015-04-24,12.18
2015-04-25,12.4
2015-04-26,12.46
2015-04-27,10.82
2015-04-28,10.11
2015-04-29,5.4
2015-04-30,5.08
2015-05-01,7.96
2015-05-02,8.3
2015-05-03,8.12
2015-05-04,7.06
2015-05-05,7.1
2015-05-06,6.42
2015-05-07,6.39
2015-05-08,6.5
2015-05-09,5.64
2015-05-10,5.46
2015-05-11,5.68
2015-05-12,5.46
2015-05-13,5.5
2015-05-14,5.18
2015-05-15,5.36
2015-05-16,5.18
2015-05-17,5.22
2015-05-18,5.46
2015-05-19,4.88
