FECHA,CAUDAL_M3S
2015-01-01,6.2
2015-01-02,5.84
2015-01-03,5.18
2015-01-04,4.32
2015-01-05,4.4
2015-01-06,4.32
2015-01-07,4.23
2015-01-08,4.15
2015-01-09,4.15
2015-01-10,3.9
2015-01-11,3.9
2015-01-12,3.9
2015-01-13,3.9
2015-01-14,3.86
2015-01-15,5.39
2015-01-16,5.06
2015-01-17,5.3
2015-01-18,5.3
2015-01-19,5.0
2015-01-20,5.3
2015-01-21,5.3
2015-01-22,7.0
2015-01-23,6.2
2015-01-24,6.76
2015-01-25,6.68
2015-01-26,6.08
2015-01-27,4.96
2015-01-28,5.3
2015-01-29,4.82
2015-01-30,3.5
2015-01-31,4.4
2015-02-01,6.92
2015-02-02,6.92
2015-02-03,6.92
2015-02-04,6.92
2015-02-05,6.81
2015-02-06,6.68
2015-02-08,8.91
2015-02-09,29.44
2015-02-10,18.31
2015-02-11,12.96
2015-02-12,8.84
2015-02-13,7.49
2015-02-14,6.75
2015-02-15,7.02
2015-02-16,6.38
2015-02-17,5.6
2015-02-18,5.48
2015-02-19,5.48
2015-02-20,7.29
2015-02-21,8.15
2015-02-22,5.95
2015-02-23,5.6
2015-02-24,5.59
2015-02-25,5.58
2015-02-26,5.3
2015-02-27,5.3
2015-02-28,5.3
2015-03-01,5.95
2015-03-02,7.25
2015-03-03,10.18
2015-03-04,15.06
2015-03-05,7.58
2015-03-06,6.57
2015-03-07,5.91
2015-03-08,5.83
2015-03-09,5.48
2015-03-10,5.48
2015-03-11,5.48
2015-03-12,5.48
2015-03-13,6.58
2015-03-14,13.9
2015-03-15,7.63
2015-03-16,7.02
2015-03-17,7.39
2015-03-18,29.3
2015-03-19,20.18
2015-03-20,49.1
2015-03-21,46.13
2015-03-22,28.82
2015-03-23,28.39
2015-03-24,23.99
2015-03-25,18.59
2015-03-26,15.95
2015-03-27,14.14
2015-03-28,13.71
2015-03-29,15.57
2015-03-30,13.99
2015-03-31,9.92
2015-04-01,26.3
2015-04-02,27.16
2015-04-03,23.26
2015-04-04,20.07
2015-04-05,17.88
2015-04-06,13.77
2015-04-07,11.18
2015-04-08,10.1
2015-04-09,9.26
2015-04-10,8.39
2015-04-11,7.9
2015-04-12,7.57
2015-04-13,7.26
2015-04-14,6.94
2015-04-15,6.71
2015-04-16,7.65
2015-04-17,22.23
2015-04-18,19.49
2015-04-19,17.29
2015-04-20,16.05
2015-04-21,23.38
2015-04-22,19.88
2015-04-23,17.25
2015-04-24,15.97
2015-04-25,14.79
2015-04-26,15.14
2015-04-27,16.64
2015-04-28,16.81
2015-04-29,9.82
2015-04-30,9.76
2015-05-01,12.5
2015-05-02,11.89
2015-05-03,11.65
2015-05-04,11.58
2015-05-05,11.86
2015-05-06,11.23
2015-05-07,10.75
2015-05-08,10.0
2015-05-09,9.31
2015-05-10,8.61
2015-05-11,8.36
2015-05-12,8.36
2015-05-13,8.54
2015-05-14,8.77
2015-05-15,8.91
2015-05-16,8.91
2015-05-17,8.91
2015-05-18,8.91
2015-05-19,9.05
2015-05-20,9.25
2015-05-21,9.84
2015-05-22,10.68
2015-05-23,10.43
2015-05-24,10.19
2015-05-25,10.03
2015-05-26,9.54
2015-05-27,9.64
2015-05-28,9.78
2015-05-29,13.78
2015-05-30,11.51
2015-05-31,5.6
2015-06-01,7.24
2015-06-02,6.6
2015-06-03,11.02
2015-06-04,19.07
2015-06-05,11.65
2015-06-06,9.41
2015-06-07,8.6
2015-06-08,9.21
2015-06-09,12.38
2015-06-10,9.21
2015-06-11,9.82
2015-06-12,7.64
2015-06-13,6.84
2015-06-14,6.68
2015-06-15,5.84
2015-06-16,6.2
2015-06-17,6.84
2015-06-18,7.16
2015-06-19,8.12
2015-06-20,21.55
2015-06-21,10.13
2015-06-22,18.8
2015-06-23,22.49
2015-06-24,18.97
2015-06-25,9.01
2015-06-26,10.63
2015-06-27,13.29
2015-06-28,14.25
2015-06-29,10.8
2015-06-30,12.3
2015-07-01,7.88
2015-07-02,6.2
2015-07-03,5.3
2015-07-04,4.76
2015-07-05,4.76
2015-07-06,4.76
2015-07-07,6.68
2015-07-08,6.2
2015-07-09,5.3
2015-07-10,5.3
2015-07-11,7.5
2015-07-12,6.84
2015-07-13,8.44
2015-07-14,5.84
2015-07-15,5.3
2015-07-16,5.84
2015-07-17,6.2
2015-07-18,5.3
2015-07-19,6.36
2015-07-20,5.66
2015-07-21,5.3
2015-07-22,9.15
2015-07-23,14.32
2015-07-24,7.56
2015-07-25,4.94
2015-07-26,4.76
2015-07-27,4.4
2015-07-28,8.71
2015-07-29,3.4
2015-07-30,3.15
2015-07-31,2.24
2015-08-01,10.84
2015-08-02,5.9
2015-08-03,5.3
2015-08-04,5.3
2015-08-05,5.0
2015-08-06,4.76
2015-08-07,4.4
2015-08-08,3.9
2015-08-09,3.78
2015-08-10,3.78
2015-08-11,3.78
2015-08-12,3.4
2015-08-13,3.4
2015-08-14,3.15
2015-08-15,5.48
2015-08-16,7.64
2015-08-17,12.76
2015-08-18,7.4
2015-08-19,5.48
2015-08-20,5.24
2015-08-21,6.24
2015-08-22,5.96
2015-08-23,4.64
2015-08-24,3.9
2015-08-25,5.3
2015-08-26,5.0
2015-08-27,3.87
2015-08-28,3.78
2015-08-29,1.49
2015-08-30,1.67
2015-09-01,4.62
2015-09-02,4.15
2015-09-03,3.78
2015-09-04,3.15
2015-09-05,3.15
2015-09-06,3.15
2015-09-07,2.98
2015-09-08,3.81
2015-09-09,2.98
2015-09-10,2.98
2015-09-11,2.98
2015-09-12,4.15
2015-09-13,3.23
2015-09-14,3.04
2015-09-15,2.98
2015-09-16,2.98
2015-09-17,2.81
2015-09-18,2.81
2015-09-19,2.87
2015-09-20,2.1
2015-09-21,1.94
2015-09-22,1.88
2015-09-23,1.82
2015-09-24,1.96
2015-09-25,2.3
2015-09-26,2.41
2015-09-27,2.64
2015-09-28,1.5
2015-09-29,1.51
2015-09-30,1.52
2015-10-01,3.06
2015-10-02,3.16
2015-10-03,1.99
2015-10-04,1.62
2015-10-05,1.87
2015-10-06,1.58
2015-10-07,1.5
2015-10-08,1.53
2015-10-09,1.61
2015-10-10,1.57
2015-10-11,1.66
2015-10-12,1.66
2015-10-13,2.18
2015-10-14,5.19
2015-10-15,4.36
2015-10-16,3.42
2015-10-17,2.57
2015-10-18,2.0
2015-10-19,1.91
2015-10-20,1.58
2015-10-21,1.56
2015-10-22,1.61
2015-10-23,1.88
2015-10-24,1.87
2015-10-25,1.77
2015-10-26,1.55
2015-10-27,1.51
2015-10-28,1.52
2015-10-29,2.99
2015-10-30,2.51
2015-11-01,2.6
2015-11-02,8.91
2015-11-03,13.81
2015-11-04,4.62
2015-11-05,4.65
2015-11-06,7.76
2015-11-07,9.75
2015-11-08,5.46
2015-11-09,3.37
2015-11-10,3.18
2015-11-11,2.57
2015-11-12,2.24
2015-11-13,2.0
2015-11-14,1.79
2015-11-15,1.77
2015-11-16,1.69
2015-11-17,2.27
2015-11-18,2.04
2015-11-19,3.25
2015-11-20,2.99
2015-11-21,3.81
2015-11-22,2.89
2015-11-23,2.24
2015-11-24,2.6
2015-11-25,2.92
2015-11-26,2.93
2015-11-27,3.49
2015-11-28,3.17
2015-11-29,2.24
2015-11-30,2.24
2015-12-01,2.35
2015-12-02,2.3
2015-12-03,2.3
2015-12-04,2.3
2015-12-05,2.3
2015-12-06,2.3
2015-12-07,2.3
2015-12-08,2.32
2015-12-09,2.62
2015-12-10,2.42
2015-12-11,2.3
2015-12-12,2.3
2015-12-13,2.46
2015-12-14,2.24
2015-12-15,2.26
2015-12-16,2.42
2015-12-17,2.24
2015-12-18,2.24
2015-12-19,2.24
2015-12-20,2.24
2015-12-21,2.24
2015-12-22,2.24
2015-12-23,2.24
2015-12-24,2.24
2015-12-25,2.24
2015-12-26,2.24
2015-12-27,2.24
2015-12-28,2.24
2016-01-01,2.24
2016-01-02,2.24
2016-01-03,2.24
2016-01-04,2.24
2016-01-05,2.24
2016-01-06,2.33
2016-01-07,2.26
2016-01-08,2.53
2016-01-09,3.72
2016-01-10,4.24
2016-01-11,9.35
2016-01-12,6.53
2016-01-13,3.13
2016-01-14,2.56
2016-01-15,2.56
2016-01-16,2.53
2016-01-17,2.61
2016-01-18,2.3
2016-01-19,2.3
2016-01-20,2.3
2016-01-21,2.3
2016-01-22,2.3
2016-01-23,2.3
2016-01-24,2.3
2016-01-25,2.3
2016-01-26,2.35
2016-01-27,2.3
2016-01-28,2.3
2016-01-29,2.31
2016-01-30,2.3
2016-01-31,2.3
2016-02-01,2.3
2016-02-02,2.3
2016-02-03,2.3
2016-02-04,2.34
2016-02-05,2.58
2016-02-06,2.3
2016-02-07,2.3
2016-02-08,2.3
2016-02-09,2.3
2016-02-10,2.3
2016-02-11,2.3
2016-02-12,2.3
2016-02-13,2.3
2016-02-14,2.38
2016-02-15,2.3
2016-02-16,2.3
2016-02-17,2.3
2016-02-18,2.3
2016-02-19,2.3
2016-02-20,2.3
2016-02-21,3.29
2016-02-22,5.19
2016-02-23,4.91
2016-02-24,4.61
2016-02-25,4.22
2016-02-26,5.38
2016-02-27,2.46
2016-02-28,2.48
2016-02-29,2.46
2016-03-01,2.41
2016-03-02,2.4
2016-03-03,2.4
2016-03-04,2.61
2016-03-05,6.16
2016-03-06,3.88
2016-03-07,5.81
2016-03-08,3.01
2016-03-09,2.6
2016-03-10,3.38
2016-03-11,3.7
2016-03-12,3.75
2016-03-13,6.22
2016-03-14,4.9
2016-03-15,4.38
2016-03-16,3.19
2016-03-17,2.97
2016-03-18,5.06
2016-03-19,3.86
2016-03-20,2.99
2016-03-21,2.51
2016-03-22,2.8
2016-03-23,3.71
2016-03-24,3.22
2016-03-25,2.49
2016-03-26,2.47
2016-03-27,2.89
2016-03-28,2.39
2016-03-29,2.39
2016-03-30,8.52
2016-03-31,7.5
2016-04-01,2.6
2016-04-02,12.36
2016-04-03,11.75
2016-04-04,9.51
2016-04-05,7.68
2016-04-06,4.86
2016-04-07,3.98
2016-04-08,2.97
2016-04-09,3.84
2016-04-10,5.94
2016-04-11,14.06
2016-04-12,18.05
2016-04-13,16.64
2016-04-14,15.23
2016-04-15,8.39
2016-04-16,10.7
2016-04-17,9.98
2016-04-18,6.2
2016-04-19,5.15
2016-04-20,4.41
2016-04-21,3.94
2016-04-22,3.54
2016-04-23,3.36
2016-04-24,4.09
2016-04-25,6.16
2016-04-26,5.02
2016-04-27,6.17
2016-04-28,13.73
2016-04-29,11.88
2016-04-30,6.83
2016-05-01,8.8
2016-05-02,7.45
2016-05-03,5.7
2016-05-04,6.18
2016-05-05,5.61
2016-05-06,6.32
2016-05-07,10.36
