FECHA,CAUDAL_M3S
2015-01-01,4.62
2015-01-02,4.1
2015-01-03,3.56
2015-01-04,3.41
2015-01-05,3.41
2015-01-06,2.67
2015-01-07,2.05
2015-01-08,1.62
2015-01-09,1.65
2015-01-10,1.39
2015-01-11,1.68
2015-01-12,1.32
2015-01-13,1.23
2015-01-14,0.87
2015-01-15,1.74
2015-01-16,1.36
2015-01-17,1.57
2015-01-18,4.99
2015-01-19,3.83
2015-01-20,3.18
2015-01-21,3.1
2015-01-22,4.04
2015-01-23,7.41
2015-01-24,5.0
2015-01-25,4.47
2015-01-26,4.13
2015-01-27,3.93
2015-01-28,3.73
2015-01-29,3.52
2015-01-30,3.29
2015-01-31,3.37
2015-02-01,3.22
2015-02-02,3.07
2015-02-03,2.45
2015-02-04,2.11
2015-02-05,2.25
2015-02-06,1.99
2015-02-07,2.22
2015-02-08,2.13
2015-02-09,6.36
2015-02-10,6.98
2015-02-11,8.43
2015-02-12,5.92
2015-02-13,5.0
2015-02-14,4.52
2015-02-15,4.6
2015-02-16,3.85
2015-02-17,3.1
2015-02-18,2.52
2015-02-19,2.12
2015-02-20,6.47
2015-02-21,3.69
2015-02-22,2.52
2015-02-23,2.12
2015-02-24,2.13
2015-02-25,1.53
2015-02-26,1.2
2015-02-27,0.77
2015-02-28,0.74
2015-03-01,0.8
2015-03-02,0.79
2015-03-03,0.68
2015-03-04,4.61
2015-03-05,3.11
2015-03-06,3.68
2015-03-07,3.83
2015-03-08,2.77
2015-03-09,2.22
2015-03-10,2.08
2015-03-11,1.98
2015-03-12,2.01
2015-03-13,1.95
2015-03-14,12.41
2015-03-15,3.62
2015-03-16,2.88
2015-03-17,2.96
2015-03-18,12.96
2015-03-19,5.77
2015-03-20,5.31
2015-03-21,6.03
2015-03-22,5.23
2015-03-23,4.56
2015-03-24,4.22
2015-03-25,4.11
2015-03-26,3.73
2015-03-27,3.52
2015-03-28,3.22
2015-03-29,7.91
2015-03-30,7.1
2015-03-31,3.22
2015-04-01,5.45
2015-04-02,5.05
2015-04-03,4.22
2015-04-04,4.21
2015-04-05,4.47
2015-04-06,4.18
2015-04-07,3.61
2015-04-08,3.1
2015-04-09,2.56
2015-04-10,2.11
2015-04-11,2.06
2015-04-12,1.74
2015-04-13,1.62
2015-04-14,1.06
2015-04-15,0.9
2015-04-16,3.05
2015-04-17,14.38
2015-04-18,6.74
2015-04-19,8.12
2015-04-20,5.86
2015-04-21,6.98
2015-04-22,5.95
2015-04-23,5.35
2015-04-24,5.68
2015-04-25,5.45
2015-04-26,7.94
2015-04-27,12.38
2015-04-28,9.01
2015-04-29,1.38
2015-04-30,3.03
2015-05-01,4.96
2015-05-02,4.95
2015-05-03,5.97
2015-05-04,4.62
2015-05-05,3.89
2015-05-06,3.42
2015-05-07,3.1
2015-05-08,2.6
2015-05-09,2.11
2015-05-10,1.8
2015-05-11,2.01
2015-05-12,2.11
2015-05-13,1.83
2015-05-14,1.53
2015-05-15,1.68
2015-05-16,1.62
2015-05-17,1.71
2015-05-18,1.53
2015-05-19,2.64
2015-05-20,1.88
2015-05-21,2.6
2015-05-22,4.31
2015-05-23,3.81
2015-05-24,2.5
2015-05-25,1.89
2015-05-26,1.59
2015-05-27,1.25
2015-05-28,1.59
2015-05-29,9.73
2015-05-30,10.34
2015-05-31,1.29
2015-06-01,4.28
2015-06-02,6.22
2015-06-03,3.55
2015-06-04,5.51
2015-06-05,11.69
2015-06-06,8.56
2015-06-07,8.2
2015-06-08,6.74
2015-06-09,5.78
2015-06-10,4.39
2015-06-11,4.65
2015-06-12,2.96
2015-06-13,2.8
2015-06-14,2.49
2015-06-15,2.71
2015-06-16,2.66
2015-06-17,2.28
2015-06-18,2.64
2015-06-19,4.67
2015-06-20,19.25
2015-06-21,16.79
2015-06-22,9.91
2015-06-23,11.97
2015-06-24,10.72
2015-06-25,8.16
2015-06-26,8.48
2015-06-27,9.0
2015-06-28,7.5
2015-06-29,6.8
2015-06-30,12.29
2015-07-01,6.64
2015-07-02,5.04
2015-07-03,4.14
2015-07-04,3.61
2015-07-05,4.26
2015-07-06,4.1
2015-07-07,4.39
2015-07-08,3.29
2015-07-09,2.69
2015-07-10,2.32
2015-07-11,2.67
2015-07-12,4.78
2015-07-13,3.81
2015-07-14,2.67
2015-07-15,2.01
2015-07-16,3.85
2015-07-17,4.44
2015-07-18,3.26
2015-07-19,3.03
2015-07-20,2.68
2015-07-21,2.66
2015-07-22,2.32
2015-07-23,11.69
2015-07-24,11.01
2015-07-25,5.54
2015-07-26,3.97
2015-07-27,2.83
2015-07-28,5.31
2015-07-29,1.25
2015-07-30,0.88
2015-07-31,0.4
2015-08-01,8.96
2015-08-02,5.97
2015-08-03,4.22
2015-08-04,3.26
2015-08-05,3.44
2015-08-06,1.81
2015-08-07,1.42
2015-08-08,1.43
2015-08-09,1.47
2015-08-10,1.14
2015-08-11,0.93
2015-08-12,0.67
2015-08-13,0.33
2015-08-14,0.34
2015-08-15,1.44
2015-08-16,7.5
2015-08-17,13.92
2015-08-18,7.44
2015-08-19,4.14
2015-08-20,2.8
2015-08-21,2.96
2015-08-22,2.07
2015-08-23,2.22
2015-08-24,1.59
2015-08-25,1.74
2015-08-26,3.34
2015-08-27,1.68
2015-08-28,1.3
2015-09-01,1.56
2015-09-02,1.18
2015-09-03,0.85
2015-09-04,0.76
2015-09-05,0.23
2015-09-06,0.14
2015-09-07,0.28
2015-09-08,0.05
2015-09-09,0.04
2015-09-10,0.17
2015-09-29,0.84
2015-09-30,0.82
2015-10-01,0.4
2015-10-02,0.9
2015-10-03,0.62
2015-10-04,0.67
2015-10-05,0.64
2015-10-06,0.53
2015-10-07,0.4
2015-10-08,0.4
2015-10-09,0.4
2015-10-10,0.4
2015-10-11,0.4
2015-10-12,0.4
2015-10-13,0.4
2015-10-14,1.43
2015-10-15,3.33
2015-10-16,2.81
2015-10-17,2.54
2015-10-18,2.47
2015-10-19,2.15
2015-10-20,1.77
2015-10-21,1.38
2015-10-22,1.09
2015-10-23,0.85
2015-10-24,1.08
2015-10-25,1.05
2015-10-26,1.26
2015-10-27,1.13
2015-10-28,0.9
2015-10-29,0.93
2015-10-30,0.88
2015-11-01,1.42
2015-11-02,5.91
2015-11-03,7.66
2015-11-04,3.73
2015-11-05,3.07
2015-11-06,4.04
2015-11-07,4.93
2015-11-08,3.79
2015-11-09,2.86
2015-11-10,5.5
2015-11-11,2.97
2015-11-12,2.56
2015-11-13,2.34
2015-11-14,1.96
2015-11-15,1.81
2015-11-16,1.69
2015-11-17,1.54
2015-11-18,1.8
2015-11-19,1.69
2015-11-20,2.03
2015-11-21,2.11
2015-11-22,2.45
2015-11-23,2.08
2015-11-24,1.39
2015-11-25,1.33
2015-11-26,1.22
2015-11-27,1.13
2015-11-28,1.09
2015-11-29,0.4
2015-11-30,0.4
2015-12-01,0.82
2015-12-02,0.78
2015-12-03,0.48
2015-12-04,0.4
2015-12-05,0.4
2015-12-06,0.4
2015-12-07,0.4
2015-12-08,0.4
2015-12-09,0.4
2015-12-10,0.4
2015-12-11,0.4
2015-12-12,0.4
2015-12-13,0.4
2015-12-14,0.4
2015-12-15,0.4
2015-12-16,0.4
2015-12-17,0.4
2015-12-18,0.4
2015-12-19,0.4
2015-12-20,0.4
2015-12-21,0.4
2015-12-22,0.4
2015-12-23,0.4
2015-12-24,0.4
2015-12-25,0.4
2015-12-26,0.4
2015-12-27,0.4
2015-12-28,0.4
2016-01-01,0.4
2016-01-02,0.4
2016-01-03,0.4
2016-01-04,0.4
2016-01-05,0.4
2016-01-06,0.4
2016-01-07,0.4
2016-01-08,0.4
2016-01-09,0.4
2016-01-10,0.4
2016-01-11,2.29
2016-01-12,0.74
2016-01-13,0.4
2016-01-14,0.4
2016-01-15,0.49
2016-01-16,0.8
2016-01-17,0.51
2016-01-18,0.4
2016-01-19,0.4
2016-01-20,0.4
2016-01-21,0.4
2016-01-22,0.4
2016-01-23,0.4
2016-01-24,0.4
2016-01-25,0.4
2016-01-26,0.51
2016-01-27,0.46
2016-02-22,0.85
2016-02-23,0.4
2016-02-24,1.68
2016-03-02,1.22
2016-03-03,0.58
2016-03-05,0.75
2016-03-06,1.92
2016-03-07,1.3
2016-03-08,0.81
2016-03-09,0.81
2016-03-10,0.75
2016-03-11,1.15
2016-03-12,0.49
2016-03-13,0.85
2016-03-14,0.82
2016-03-15,0.9
2016-03-16,0.62
2016-03-17,0.55
2016-03-18,0.85
2016-03-19,1.16
2016-03-20,1.18
2016-03-21,1.25
2016-03-22,1.36
2016-03-23,1.56
2016-03-24,1.65
2016-03-25,1.39
2016-03-26,0.97
2016-03-27,0.97
2016-03-28,0.85
2016-03-30,1.74
2016-03-31,12.21
2016-04-01,0.46
2016-04-02,0.64
2016-04-03,1.15
2016-04-04,1.4
2016-04-05,0.88
2016-04-06,0.76
2016-04-07,0.49
2016-04-08,0.4
2016-04-09,1.86
2016-04-10,0.64
2016-04-11,1.1
2016-04-12,1.95
2016-04-13,4.37
2016-04-14,3.73
2016-04-15,2.17
2016-04-16,2.51
2016-04-17,1.81
2016-04-18,1.38
2016-04-19,1.26
2016-04-20,1.14
2016-04-21,1.17
2016-04-22,0.51
2016-04-25,0.63
2016-04-28,5.67
2016-04-29,1.89
2016-04-30,3.85
2016-05-01,2.62
2016-05-02,2.87
2016-05-03,2.73
2016-05-04,4.26
2016-05-05,3.58
2016-05-06,2.56
2016-05-07,10.57
2016-05-08,4.31
2016-05-09,3.23
2016-05-10,6.17
2016-05-11,5.38
2016-05-12,3.67
2016-05-13,2.69
2016-05-14,2.08
2016-05-15,1.74
2016-05-16,3.21
2016-05-17,3.91
2016-05-18,5.29
2016-05-19,6.46
2016-05-20,5.11
2016-05-21,3.78
2016-05-22,2.82
2016-05-23,2.56
2016-05-24,2.11
2016-05-25,2.34
2016-05-26,6.31
2016-05-27,4.6
2016-05-28,5.37
2016-05-29,4.65
2016-05-30,3.07
2016-06-01,5.57
2016-06-02,4.33
2016-06-03,4.24
2016-06-04,4.28
2016-06-05,4.18
2016-06-06,3.27
2016-06-07,2.82
2016-06-08,2.71
2016-06-09,2.61
2016-06-10,2.59
2016-06-11,3.34
2016-06-12,3.47
2016-06-13,3.37
2016-06-14,3.12
2016-06-15,6.23
2016-06-16,12.43
2016-06-17,11.02
2016-06-18,9.39
2016-06-19,5.4
2016-06-20,7.75
2016-06-21,9.08
2016-06-22,14.12
2016-06-23,8.89
2016-06-24,7.34
2016-06-25,6.76
2016-06-26,11.29
2016-06-27,9.97
2016-06-28,5.45
2016-06-29,3.49
2016-06-30,2.48
2016-07-01,10.91
2016-07-02,24.99
2016-07-03,2.26
2016-07-04,4.27
2016-07-05,15.15
2016-07-06,18.34
2016-07-07,7.7
2016-07-08,6.74
2016-07-09,4.69
2016-07-10,3.2
2016-07-11,2.63
2016-07-12,1.9
2016-07-13,1.38
2016-07-14,1.77
2016-07-15,1.56
2016-07-16,1.49
2016-07-17,1.22
2016-07-18,1.4
2016-07-19,1.08
2016-07-20,0.9
2016-07-21,1.84
2016-07-22,4.19
2016-07-23,5.51
2016-07-24,4.13
2016-07-25,2.97
2016-07-26,2.54
2016-07-27,2.15
2016-07-28,1.86
2016-07-29,2.05
2016-07-31,2.08
2016-08-01,3.39
2016-08-02,2.71
2016-08-03,3.2
2016-08-04,4.0
2016-08-05,4.37
2016-08-06,2.93
2016-08-07,2.18
2016-08-08,1.37
2016-08-09,1.18
2016-08-10,0.57
2016-08-11,0.4
2016-08-18,0.4
2016-08-23,0.49
2016-08-24,0.4
2016-08-25,0.4
2016-09-10,1.21
2016-09-11,2.46
2016-09-12,4.02
2016-09-13,2.5
2016-09-14,3.42
2016-09-15,5.96
2016-09-16,6.28
2016-09-17,3.75
2016-09-18,2.15
2016-09-19,1.48
2016-09-20,1.33
2016-09-21,0.98
2016-09-22,0.8
2016-09-23,0.72
2016-09-24,0.62
2016-09-25,0.85
2016-09-26,1.02
2016-09-27,0.64
2016-09-28,0.48
2016-09-29,0.49
2016-09-30,1.5
2016-10-01,1.88
2016-10-02,3.33
2016-10-03,2.96
2016-10-04,1.74
2016-10-05,1.5
2016-10-06,1.27
2016-10-07,1.38
2016-10-08,1.09
2016-10-09,1.01
2016-10-10,1.04
2016-10-11,0.93
2016-10-12,1.12
2016-10-13,0.92
2016-10-14,0.82
2016-10-15,1.24
2016-10-16,1.44
2016-10-17,1.01
2016-10-18,1.01
2016-10-19,0.83
2016-10-20,0.83
2016-10-21,0.54
2016-10-22,0.42
2016-10-23,0.54
2016-10-24,0.47
2016-10-25,13.6
2016-10-26,2.56
2016-10-27,1.59
2016-10-28,2.25
2016-10-29,4.86
2016-10-30,1.71
2016-11-01,2.66
2016-11-02,1.8
2016-11-03,1.71
2016-11-04,4.18
2016-11-05,1.38
2016-11-06,1.33
2016-11-07,1.22
2016-11-08,1.2
2016-11-09,1.27
2016-11-10,1.2
2016-11-11,3.25
2016-11-12,2.18
2016-11-13,2.88
2016-11-14,1.68
2016-11-15,1.65
2016-11-16,1.35
2016-11-17,1.68
2016-11-18,1.87
2016-11-19,8.15
2016-11-20,4.92
2016-11-21,3.73
2016-11-22,2.09
2016-11-23,1.65
2016-11-24,1.28
2016-11-25,1.2
2016-11-26,1.28
2016-11-27,2.89
2016-11-28,1.95
2016-11-29,1.68
2016-11-30,1.25
2016-12-01,1.5
2016-12-02,2.16
2016-12-03,1.62
2016-12-04,1.62
2016-12-05,1.95
2016-12-06,1.95
2016-12-07,0.98
2016-12-08,0.85
2016-12-09,0.98
2016-12-10,1.97
2016-12-11,2.35
2016-12-12,0.99
2016-12-14,0.4
2016-12-15,0.49
2016-12-16,0.58
2016-12-17,0.51
2016-12-18,0.45
2016-12-19,0.45
2016-12-20,0.4
2016-12-21,2.59
2016-12-22,4.43
2016-12-23,2.89
2016-12-24,2.43
2016-12-25,1.74
2016-12-26,1.5
2016-12-27,1.3
2016-12-28,1.17
2016-12-29,1.12
2017-01-01,1.05
2017-01-02,0.92
2017-01-03,0.98
2017-01-04,0.81
2017-01-05,1.45
2017-01-06,1.05
2017-01-07,1.01
2017-01-08,1.0
2017-01-09,1.12
2017-01-10,1.36
2017-01-11,1.66
2017-01-12,2.86
2017-01-13,2.6
2017-01-14,1.89
2017-01-15,4.09
2017-01-16,3.29
2017-01-17,2.57
2017-01-18,6.55
2017-01-19,12.8
2017-01-20,10.1
2017-01-21,19.75
2017-01-22,7.49
2017-01-23,5.2
2017-01-24,3.83
2017-01-25,2.74
2017-01-26,2.86
2017-01-27,2.69
2017-01-28,2.92
2017-01-29,2.4
2017-01-30,2.88
2017-01-31,2.32
2017-02-01,1.75
2017-02-02,1.48
2017-02-03,1.33
2017-02-04,1.08
2017-02-05,0.91
2017-02-06,0.71
2017-02-07,0.5
2017-02-08,0.42
2017-02-09,0.14
2017-02-10,0.12
2017-02-11,0.83
2017-02-12,0.68
2017-02-13,2.23
2017-02-14,0.82
2017-02-15,0.38
2017-02-16,0.16
2017-02-17,0.07
2017-02-18,0.02
2017-02-19,0.02
2017-02-20,0.03
2017-02-21,0.02
2017-02-22,0.01
2017-02-26,1.38
2017-02-27,0.79
2017-02-28,0.42
2017-03-01,0.73
2017-03-02,0.79
2017-03-03,0.58
2017-03-04,0.69
2017-03-05,0.74
2017-03-06,0.52
2017-03-07,0.33
2017-03-08,0.79
2017-03-09,0.9
2017-03-10,7.94
2017-03-11,2.49
2017-03-12,4.7
2017-03-13,3.73
2017-03-14,5.54
2017-03-15,6.39
2017-03-16,6.51
2017-03-17,10.58
2017-03-18,3.89
2017-03-19,4.16
2017-03-20,5.05
2017-03-21,7.84
2017-03-22,4.64
2017-03-23,3.65
2017-03-24,24.04
2017-03-25,7.14
2017-03-26,24.85
2017-03-27,12.53
2017-03-28,8.29
2017-03-29,4.05
2017-03-30,8.22
2017-03-31,4.21
2017-04-01,16.81
2017-04-02,10.15
2017-04-03,7.19
2017-04-04,5.22
2017-04-05,4.39
2017-04-06,3.48
2017-04-07,3.22
2017-04-08,2.77
2017-04-09,11.46
2017-04-10,4.83
2017-04-11,3.77
2017-04-12,4.58
2017-04-13,2.84
2017-04-14,10.78
2017-04-15,6.93
2017-04-16,4.09
2017-04-17,4.59
2017-04-18,3.56
2017-04-19,19.39
2017-04-20,10.04
2017-04-21,17.15
2017-04-22,9.06
2017-04-23,6.46
2017-04-24,5.86
2017-04-25,5.22
2017-04-26,8.18
2017-04-27,5.0
2017-04-28,4.6
2017-04-29,5.26
2017-04-30,4.82
2017-05-01,6.62
2017-05-02,6.75
2017-05-03,5.58
2017-05-04,5.58
2017-05-05,6.03
2017-05-06,31.57
2017-05-07,8.29
2017-05-08,7.91
2017-05-09,14.35
2017-05-10,13.8
2017-05-11,17.72
2017-05-12,11.52
2017-05-13,15.09
2017-05-14,18.57
2017-05-15,17.76
2017-05-16,27.06
2017-05-17,16.09
2017-05-18,12.07
2017-05-19,11.4
2017-05-20,8.5
2017-05-21,7.24
2017-05-22,9.92
2017-05-23,10.2
2017-05-24,8.39
2017-05-25,7.24
2017-05-26,6.74
2017-05-27,5.92
2017-05-28,5.63
2017-05-29,4.6
2017-05-30,4.21
2017-05-31,4.84
2017-06-01,4.47
2017-06-02,4.3
2017-06-03,4.17
2017-06-04,3.89
2017-06-05,4.72
2017-06-06,4.78
2017-06-07,3.93
2017-06-08,3.77
2017-06-09,9.5
2017-06-10,7.39
2017-06-11,5.58
2017-06-12,5.77
2017-06-13,9.55
2017-06-14,11.1
2017-06-15,12.42
2017-06-16,8.27
2017-06-17,6.49
2017-06-18,5.77
2017-06-19,5.12
2017-06-20,4.69
2017-06-21,4.39
2017-06-22,5.14
2017-06-23,5.92
2017-06-24,4.69
2017-06-25,4.39
2017-06-26,4.78
2017-06-27,11.96
2017-06-28,5.77
2017-06-29,21.84
2017-06-30,12.9
2017-07-01,4.21
2017-07-02,3.85
2017-07-03,3.85
2017-07-04,7.5
2017-07-05,7.5
2017-07-06,5.91
2017-07-07,8.18
2017-07-08,6.64
2017-07-09,6.4
2017-07-10,9.73
2017-07-11,15.58
2017-07-12,18.91
2017-07-13,10.2
2017-07-14,6.21
2017-07-15,4.43
2017-07-16,4.01
2017-07-17,3.18
2017-07-18,2.66
2017-07-19,2.42
2017-07-20,3.48
2017-07-21,3.07
2017-07-22,2.39
2017-07-23,2.08
2017-07-24,2.99
2017-07-25,6.64
2017-07-26,5.72
2017-07-27,5.72
2017-07-28,14.61
2017-07-29,1.27
2017-07-30,2.47
2017-07-31,5.58
2017-08-01,8.29
2017-08-02,5.32
2017-08-03,3.61
2017-08-04,2.73
2017-08-05,2.77
2017-08-06,2.99
2017-08-07,2.84
2017-08-08,2.49
2017-08-09,2.05
2017-08-10,3.14
2017-08-11,2.38
2017-08-12,1.89
2017-08-13,1.98
2017-08-14,1.3
2017-08-15,0.85
2017-08-16,0.72
2017-08-17,0.58
2017-08-18,0.45
2017-08-19,0.83
2017-08-20,0.98
2017-08-21,1.22
2017-08-22,1.51
2017-08-23,2.11
2017-08-24,1.75
2017-08-25,1.09
2017-08-26,1.53
2017-08-27,1.5
2017-08-28,1.38
2017-08-29,0.98
2017-08-30,2.32
2017-09-01,5.03
2017-09-02,3.03
2017-09-03,2.22
2017-09-04,1.65
2017-09-05,1.3
2017-09-06,0.98
2017-09-07,0.93
2017-09-08,0.51
2017-09-09,0.76
2017-09-10,1.38
2017-09-11,1.59
2017-09-12,1.12
2017-09-13,0.72
2017-09-14,0.63
2017-09-15,0.49
2017-09-16,0.74
2017-09-17,1.31
2017-09-18,1.56
2017-09-19,2.03
2017-09-20,1.3
2017-09-21,1.09
2017-09-22,0.85
2017-09-23,0.81
2017-09-24,1.2
2017-09-25,1.94
2017-09-26,2.32
2017-09-27,2.07
2017-09-28,1.3
2017-09-29,2.45
2017-09-30,3.07
2017-10-01,2.54
2017-10-02,1.74
2017-10-03,2.27
2017-10-04,4.68
2017-10-05,11.15
2017-10-06,2.55
2017-10-07,2.01
2017-10-08,1.98
2017-10-09,1.92
2017-10-10,1.98
2017-10-11,3.25
2017-10-12,1.96
2017-10-13,1.44
2017-10-14,1.33
2017-10-15,1.53
2017-10-16,2.28
2017-10-17,2.18
2017-10-18,1.68
2017-10-19,1.22
2017-10-20,1.06
2017-10-21,0.93
2017-10-22,0.72
2017-10-23,0.74
2017-10-24,1.56
2017-10-25,0.85
2017-10-26,1.75
2017-10-27,1.68
2017-10-28,3.86
2017-10-29,2.45
2017-10-30,2.32
2017-11-01,2.18
2017-11-02,1.77
2017-11-03,1.68
2017-11-04,9.21
2017-11-05,6.49
2017-11-06,3.89
2017-11-07,3.14
2017-11-08,6.44
2017-11-09,3.14
2017-11-10,4.47
2017-11-11,28.54
2017-11-12,4.1
2017-11-13,2.99
2017-11-14,2.28
2017-11-15,11.2
2017-11-16,12.77
2017-11-17,12.89
2017-11-18,8.44
2017-11-19,7.0
2017-11-20,14.97
2017-11-21,11.47
2017-11-22,7.25
2017-11-23,7.42
2017-11-24,7.66
2017-11-25,4.13
2017-11-26,3.49
2017-11-27,2.8
2017-11-28,2.84
2017-11-29,12.04
2017-11-30,5.95
2017-12-01,2.7
2017-12-02,4.15
2017-12-03,6.16
2017-12-04,3.22
2017-12-05,2.66
2017-12-06,2.45
2017-12-07,1.98
2017-12-08,1.92
2017-12-09,1.92
2017-12-10,15.04
2017-12-11,10.12
2017-12-12,10.89
2017-12-13,6.49
2017-12-14,4.01
2017-12-15,3.26
2017-12-16,2.62
2017-12-17,2.57
2017-12-18,1.98
2017-12-19,1.83
2017-12-20,1.65
2017-12-21,1.3
2017-12-22,0.96
2017-12-23,1.17
2017-12-24,0.85
2017-12-25,3.18
2017-12-26,3.27
2017-12-27,4.09
2017-12-28,10.86
2018-01-01,5.18
2018-01-02,5.82
2018-01-03,5.54
2018-01-04,5.13
2018-01-05,5.53
2018-01-06,4.01
2018-01-07,4.48
2018-01-08,3.33
2018-01-09,3.22
2018-01-10,6.98
2018-01-11,5.0
2018-01-12,3.73
2018-01-13,3.95
2018-01-14,5.01
2018-01-15,3.49
2018-01-16,4.34
2018-01-17,3.69
2018-01-18,3.03
2018-01-19,3.14
2018-01-20,6.96
2018-01-21,7.04
2018-01-22,5.4
2018-01-23,3.93
2018-01-24,2.92
2018-01-25,2.66
2018-01-26,2.56
2018-01-27,2.15
2018-01-28,1.98
2018-01-29,1.62
2018-01-30,1.33
2018-01-31,0.9
2018-02-01,0.72
2018-02-02,2.26
2018-02-03,2.39
2018-02-04,1.88
2018-02-05,1.09
2018-02-06,1.7
2018-02-07,1.09
2018-02-08,0.91
2018-02-09,0.67
2018-02-10,0.54
2018-02-11,0.58
2018-02-12,0.6
2018-02-13,0.16
2018-02-14,0.2
2018-02-15,1.66
2018-02-16,1.3
2018-02-17,0.96
2018-02-18,1.74
2018-02-19,7.7
2018-02-20,4.39
2018-02-21,3.18
2018-02-22,2.66
2018-02-23,3.45
2018-02-24,7.7
2018-02-25,7.86
2018-02-26,4.88
2018-02-27,3.42
2018-02-28,2.77
2018-03-01,2.15
2018-03-02,1.83
2018-03-03,1.35
2018-03-04,1.59
2018-03-05,5.53
2018-03-06,0.83
2018-03-07,0.81
2018-03-08,0.56
2018-03-09,0.29
2018-03-10,0.86
2018-03-11,0.67
2018-03-12,0.4
2018-03-13,0.32
2018-03-14,0.21
2018-03-15,0.27
2018-03-16,0.1
2018-03-17,0.15
2018-03-18,0.02
2018-03-19,0.1
2018-03-20,0.5
2018-03-21,0.93
2018-03-22,0.47
2018-03-23,0.56
2018-03-24,2.97
2018-03-25,2.99
2018-03-26,2.43
2018-03-27,4.68
2018-03-28,4.64
2018-07-31,0.4
2018-08-29,0.32
2018-08-30,0.29
2018-09-05,0.32
2018-09-06,0.29
2018-09-07,0.21
2018-09-08,0.27
2018-09-09,0.21
2018-09-10,0.52
2018-09-11,0.21
2018-09-12,0.06
2018-09-13,0.01
2018-09-14,0.71
2018-09-15,6.16
2018-09-16,11.69
2018-09-17,6.27
2018-09-18,3.81
2018-09-19,2.81
2018-09-20,2.03
2018-09-21,1.68
2018-09-22,1.38
2018-09-23,1.22
2018-09-24,0.94
2018-09-25,0.28
2018-09-26,0.03
2018-09-27,0.47
2018-09-28,0.31
2018-09-29,2.6
2018-09-30,1.3
2018-10-01,0.49
2018-10-02,0.1
2018-10-03,0.03
2018-10-04,1.53
2018-10-05,3.5
2018-10-06,1.07
2018-10-07,1.04
2018-10-08,3.69
2018-10-09,1.74
2018-10-10,6.84
2018-10-11,7.44
2018-10-12,4.1
2018-10-13,2.25
2018-10-14,2.25
2018-10-15,1.98
2018-10-16,1.74
2018-10-17,1.74
2018-10-18,1.56
2018-10-19,1.28
2018-10-20,1.33
2018-10-21,2.89
2018-10-22,1.95
2018-10-23,2.22
2018-10-24,3.65
2018-10-25,2.35
2018-10-26,3.42
2018-10-27,2.54
2018-10-28,1.98
2018-10-29,3.07
2018-10-30,8.31
2018-11-01,1.33
2018-11-02,0.85
2018-11-03,2.48
2018-11-04,2.3
2018-11-05,3.26
2018-11-06,8.2
2018-11-07,3.65
2018-11-08,2.42
2018-11-09,2.84
2018-11-10,2.52
2018-11-11,2.39
2018-11-12,2.18
2018-11-13,1.65
2018-11-14,1.62
2018-11-15,1.65
2018-11-16,1.44
2018-11-17,1.38
2018-11-18,1.5
2018-11-19,3.14
2018-11-20,3.03
2018-11-21,5.33
2018-11-22,2.71
2018-11-23,1.83
2018-11-24,2.62
2018-11-25,1.96
2018-11-26,4.02
2018-11-27,3.15
2018-11-28,3.14
2018-11-29,0.29
2018-11-30,0.36
2018-12-01,17.8
2018-12-02,5.8
2018-12-03,3.86
2018-12-04,10.36
2018-12-05,3.49
2018-12-06,8.86
2018-12-07,6.98
2018-12-08,4.21
2018-12-09,3.77
2018-12-10,2.84
2018-12-11,2.77
2018-12-12,2.11
2018-12-13,2.11
2018-12-14,1.98
2018-12-15,1.98
2018-12-16,1.86
2018-12-17,1.53
2018-12-18,1.5
2018-12-19,1.33
2018-12-20,1.04
2018-12-21,0.85
