FECHA,CAUDAL_M3S
2015-01-01,7.62
2015-01-02,7.62
2015-01-03,7.62
2015-01-04,7.51
2015-01-05,7.41
2015-01-06,7.38
2015-01-07,7.38
2015-01-08,7.46
2015-01-09,7.62
2015-01-10,7.62
2015-01-11,7.57
2015-01-12,7.46
2015-01-13,7.46
2015-01-14,7.46
2015-01-15,7.43
2015-01-16,7.46
2015-01-17,7.54
2015-01-18,7.62
2015-01-19,7.62
2015-01-20,7.62
2015-01-21,7.62
2015-01-22,7.62
2015-01-23,7.78
2015-01-24,7.78
2015-01-25,7.67
2015-01-26,7.62
2015-01-27,7.62
2015-01-28,7.78
2015-01-29,7.62
2015-01-30,7.62
2015-01-31,7.67
2015-02-01,7.62
2015-02-02,7.62
2015-02-03,7.62
2015-02-04,7.62
2015-02-05,7.62
2015-02-06,7.62
2015-02-07,7.78
2015-02-08,5.19
2015-02-09,7.78
2015-02-10,7.78
2015-02-11,7.67
2015-02-12,7.62
2015-02-13,7.67
2015-02-14,7.73
2015-02-15,6.53
2015-02-16,6.59
2015-02-17,7.65
2015-02-18,7.54
2015-02-19,7.78
2015-02-20,7.78
2015-02-21,7.78
2015-02-22,5.13
2015-02-23,7.62
2015-02-24,7.78
2015-02-25,7.73
2015-02-26,7.62
2015-02-27,7.51
2015-02-28,7.46
2015-03-01,7.57
2015-03-02,7.78
2015-03-03,7.73
2015-03-04,7.62
2015-03-05,7.78
2015-03-06,7.78
2015-03-07,7.78
2015-03-08,7.78
2015-03-09,7.78
2015-03-10,7.78
2015-03-11,7.78
2015-03-12,7.78
2015-03-13,7.78
2015-03-14,7.78
2015-03-15,7.78
2015-03-16,7.78
2015-03-17,7.78
2015-03-18,7.78
2015-03-19,7.78
2015-03-20,5.19
2015-03-21,7.78
2015-03-22,7.78
2015-03-23,7.78
2015-03-24,7.78
2015-03-25,7.65
2015-03-26,5.76
2015-03-27,6.06
2015-03-28,5.64
2015-03-29,5.52
2015-03-30,5.52
2015-03-31,5.38
2015-04-01,5.52
2015-04-02,5.77
2015-04-03,5.52
2015-04-04,5.52
2015-04-05,5.57
2015-04-06,5.52
2015-04-07,5.52
2015-04-08,5.05
2015-04-09,5.17
2015-04-10,5.31
2015-04-11,5.17
2015-04-12,5.17
2015-04-13,5.17
2015-04-14,5.31
2015-04-15,5.38
2015-04-16,5.52
2015-04-17,5.77
2015-04-18,5.52
2015-04-19,5.57
2015-04-20,5.52
2015-04-21,5.52
2015-04-22,5.52
2015-04-23,5.52
2015-04-24,5.43
2015-04-25,5.38
2015-04-26,5.31
2015-04-27,5.4
2015-04-28,5.52
2015-04-29,5.52
2015-04-30,5.57
2015-05-01,5.52
2015-05-02,5.52
2015-05-03,5.52
2015-05-04,5.52
2015-05-05,5.82
2015-05-06,5.77
2015-05-07,5.89
2015-05-08,5.89
2015-05-09,5.82
2015-05-10,5.89
2015-05-11,5.89
2015-05-12,5.89
2015-05-13,6.38
2015-05-14,6.35
2015-05-15,6.62
2015-05-16,6.47
2015-05-17,6.4
2015-05-18,6.25
2015-05-19,6.2
2015-05-20,6.1
2015-05-21,6.1
2015-05-22,6.1
2015-05-23,6.1
2015-05-24,6.44
2015-05-25,6.25
2015-05-26,5.89
2015-05-27,5.89
2015-05-28,5.64
2015-05-29,5.38
2015-05-30,5.31
2015-05-31,5.98
