FECHA,CAUDAL_M3S
2015-01-01,13.37
2015-01-02,12.98
2015-01-03,12.79
2015-01-04,12.68
2015-01-05,12.45
2015-01-06,12.2
2015-01-07,12.12
2015-01-08,11.75
2015-01-09,11.72
2015-01-10,11.52
2015-01-11,11.43
2015-01-12,11.22
2015-01-13,11.1
2015-01-14,11.53
2015-01-15,11.42
2015-01-16,11.05
2015-01-17,11.45
2015-01-18,12.23
2015-01-19,12.02
2015-01-20,11.56
2015-01-21,12.62
2015-01-22,13.51
2015-01-23,12.86
2015-01-24,12.2
2015-01-25,11.85
2015-01-26,12.82
2015-01-27,14.02
2015-01-28,12.12
2015-01-29,11.42
2015-01-30,11.18
2015-01-31,11.28
2015-02-01,11.28
2015-02-02,11.65
2015-02-03,11.28
2015-02-04,11.08
2015-02-05,10.91
2015-02-06,10.91
2015-02-07,11.78
2015-02-08,17.28
2015-02-09,14.48
2015-02-10,14.76
2015-02-11,14.11
2015-02-12,12.78
2015-02-13,12.56
2015-02-14,12.1
2015-02-15,12.83
2015-02-16,12.39
2015-02-17,11.52
2015-02-18,11.07
2015-02-19,10.88
2015-02-20,10.88
2015-02-21,10.75
2015-02-22,10.48
2015-02-23,11.96
2015-02-24,11.17
2015-02-25,10.45
2015-02-26,10.7
2015-02-27,10.4
2015-02-28,10.15
2015-03-01,10.87
2015-03-02,10.85
2015-03-03,10.3
2015-03-04,10.4
2015-03-05,10.08
2015-03-06,10.78
2015-03-07,10.18
2015-03-08,9.75
2015-03-09,9.44
2015-03-10,9.35
2015-03-11,9.12
2015-03-12,9.0
2015-03-13,9.57
2015-03-14,13.99
2015-03-15,11.25
2015-03-16,10.8
2015-03-17,10.4
2015-03-18,12.61
2015-03-19,18.24
2015-03-20,21.74
2015-03-21,21.56
2015-03-22,15.79
2015-03-23,14.22
2015-03-24,14.4
2015-03-25,14.04
2015-03-26,13.12
2015-03-27,12.45
2015-03-28,12.71
2015-03-29,13.0
2015-03-30,12.53
2015-03-31,12.58
2015-04-01,15.03
2015-04-02,13.97
2015-04-03,15.58
2015-04-04,14.82
2015-04-05,15.58
2015-04-06,13.62
2015-04-07,14.23
2015-04-08,13.5
2015-04-09,12.86
2015-04-10,13.19
2015-04-11,12.72
2015-04-12,12.08
2015-04-13,12.1
2015-04-14,13.04
2015-04-15,16.18
2015-04-16,15.74
2015-04-17,21.3
2015-04-18,17.68
2015-04-19,17.08
2015-04-20,16.62
2015-04-21,17.67
2015-04-22,15.23
2015-04-23,14.53
2015-04-24,14.16
2015-04-25,13.58
2015-04-26,14.42
2015-04-27,13.76
2015-04-28,13.53
2015-04-29,13.85
2015-04-30,12.37
2015-05-01,12.56
2015-05-02,11.93
2015-05-03,12.45
2015-05-04,12.18
2015-05-05,11.56
2015-05-06,11.45
2015-05-07,11.22
2015-05-08,10.81
2015-05-09,10.75
2015-05-10,10.67
2015-05-11,10.69
2015-05-12,10.4
2015-05-13,10.35
2015-05-14,10.94
2015-05-15,10.45
2015-05-16,10.4
2015-05-17,10.4
2015-05-18,10.67
2015-05-19,10.59
2015-05-20,10.24
2015-05-21,13.25
2015-05-22,11.56
2015-05-23,11.07
2015-05-24,10.12
2015-05-25,11.22
2015-05-26,10.49
2015-05-27,10.99
2015-05-28,10.86
2015-05-29,15.42
2015-05-30,12.28
2015-05-31,7.49
2015-06-01,12.19
2015-06-02,11.52
2015-06-03,11.06
2015-06-04,13.01
2015-06-05,14.89
2015-06-06,12.15
2015-06-07,10.96
2015-06-08,11.26
2015-06-09,12.02
2015-06-10,16.09
2015-06-11,11.98
2015-06-12,10.83
2015-06-13,10.37
2015-06-14,10.45
