FECHA,CAUDAL_M3S
2015-01-01,3.56
2015-01-02,3.47
2015-01-03,3.39
2015-01-04,3.33
2015-01-05,3.21
2015-01-06,3.08
2015-01-07,2.81
2015-01-08,2.76
2015-01-09,2.82
2015-01-10,2.73
2015-01-11,2.79
2015-01-12,2.75
2015-01-13,2.63
2015-01-14,2.73
2015-01-15,3.0
2015-01-16,2.83
2015-01-17,3.23
2015-01-18,3.54
2015-01-19,3.22
2015-01-20,3.4
2015-01-21,3.38
2015-01-22,4.38
2015-01-23,3.98
2015-01-24,3.76
2015-01-25,3.6
2015-01-26,3.42
2015-01-27,3.42
2015-01-28,3.37
2015-01-29,3.21
2015-01-30,2.99
2015-01-31,2.82
2015-02-01,2.97
2015-02-02,3.06
2015-02-03,3.17
2015-02-04,3.54
2015-02-05,3.58
2015-02-06,3.52
2015-02-07,3.41
2015-02-08,3.96
2015-02-09,7.59
2015-02-10,6.23
2015-02-11,6.98
2015-02-12,5.12
2015-02-13,4.49
2015-02-14,4.33
2015-02-15,4.13
2015-02-16,3.83
2015-02-17,3.44
2015-02-18,3.18
2015-02-19,3.07
2015-02-20,7.45
2015-02-21,3.96
2015-02-22,3.32
2015-02-23,3.65
2015-02-24,3.47
2015-02-25,3.09
2015-02-26,2.77
2015-02-27,2.57
2015-02-28,2.46
2015-03-01,2.42
2015-03-02,2.43
2015-03-03,2.43
2015-03-04,4.79
2015-03-05,3.86
2015-03-06,3.56
2015-03-07,3.13
2015-03-08,2.77
2015-03-09,2.62
2015-03-10,2.56
2015-03-11,2.64
2015-03-12,2.78
2015-03-13,3.02
2015-03-14,5.21
2015-03-15,3.28
2015-03-16,3.0
2015-03-17,2.86
2015-03-18,7.61
2015-03-19,4.55
2015-03-20,4.69
2015-03-21,5.6
2015-03-22,5.15
2015-03-23,4.57
2015-03-24,4.09
2015-03-25,3.87
2015-03-26,3.63
2015-03-27,3.47
2015-03-28,3.3
2015-03-29,6.67
2015-03-30,5.39
2015-03-31,5.51
2015-04-01,4.47
2015-04-02,4.0
2015-04-03,3.74
2015-04-04,3.8
2015-04-05,3.99
2015-04-06,3.87
2015-04-07,3.62
2015-04-08,3.55
2015-04-09,3.24
2015-04-10,3.14
2015-04-11,2.99
2015-04-12,2.95
2015-04-13,2.7
2015-04-14,2.34
2015-04-15,2.71
2015-04-16,3.68
2015-04-17,7.33
2015-04-18,5.57
2015-04-19,5.64
2015-04-20,5.64
2015-04-21,4.97
2015-04-22,4.25
2015-04-23,4.02
2015-04-24,4.28
2015-04-25,4.42
2015-04-26,6.87
2015-04-27,9.36
2015-04-28,7.27
2015-04-29,4.56
2015-04-30,5.61
2015-05-01,4.55
2015-05-02,4.98
2015-05-03,4.88
2015-05-04,3.94
2015-05-05,3.45
2015-05-06,3.12
2015-05-07,2.82
2015-05-08,2.67
2015-05-09,2.56
2015-05-10,2.56
2015-05-11,3.29
2015-05-12,3.4
2015-05-13,3.23
2015-05-14,3.24
2015-05-15,3.49
2015-05-16,3.67
2015-05-17,3.57
2015-05-18,3.78
2015-05-19,4.55
2015-05-20,4.23
2015-05-21,5.94
2015-05-22,6.64
2015-05-23,5.66
2015-05-24,4.56
2015-05-25,4.02
2015-05-26,3.83
2015-05-27,3.49
2015-05-28,3.86
2015-05-31,4.58
2015-06-01,11.14
2015-06-02,11.78
2015-06-03,8.89
2015-06-04,16.43
2015-06-05,18.15
2015-06-06,15.25
2015-06-07,13.38
2015-06-08,11.0
2015-06-09,9.52
2015-06-10,8.02
2015-06-11,7.4
2015-06-12,6.7
2015-06-13,6.25
2015-06-14,5.96
2015-06-15,5.68
2015-06-16,6.11
2015-06-17,5.89
2015-06-18,6.98
2015-06-19,11.26
2015-06-20,29.05
2015-06-21,15.64
2015-06-22,16.07
2015-06-23,16.09
2015-06-29,12.43
2015-06-30,17.43
2015-07-01,7.71
2015-07-02,6.87
2015-07-03,6.08
2015-07-04,5.77
2015-07-05,6.26
2015-07-06,6.69
2015-07-07,6.36
2015-07-08,5.73
2015-07-09,5.13
2015-07-10,4.57
2015-07-11,6.55
2015-07-12,7.52
2015-07-13,6.36
2015-07-14,5.76
2015-07-23,17.94
2015-07-24,13.93
2015-07-25,7.67
2015-07-26,5.81
2015-07-27,5.15
2015-07-28,8.52
2015-07-29,3.49
2015-07-30,3.34
2015-07-31,1.73
2015-08-01,10.55
2015-08-02,7.06
2015-08-03,5.82
2015-08-04,4.84
2015-08-05,3.97
2015-08-06,3.4
2015-08-07,3.21
2015-08-08,3.2
2015-08-09,3.18
2015-08-10,3.04
2015-08-11,2.89
2015-08-12,2.7
2015-08-13,2.41
2015-08-14,2.44
2015-08-15,5.65
2015-08-16,11.33
2015-08-17,18.39
2015-08-18,10.18
2015-08-19,6.53
2015-08-20,5.29
2015-08-21,5.32
2015-08-22,4.49
2015-08-23,3.82
2015-08-24,3.47
2015-08-25,4.55
2015-08-26,5.67
2015-08-27,4.27
2015-08-28,3.73
2015-08-29,0.79
2015-08-30,1.41
2015-09-01,4.63
2015-09-02,4.05
2015-09-03,3.52
