FECHA,CAUDAL_M3S
2015-01-01,5.06
2015-01-02,4.95
2015-01-03,4.84
2015-03-24,5.53
2015-03-25,6.72
2015-03-26,5.62
2015-03-27,5.06
2015-03-28,4.74
2015-03-29,6.62
2015-03-30,5.49
2015-03-31,4.55
2015-04-01,6.68
2015-04-02,8.78
2015-04-03,10.8
2015-04-04,6.52
2015-04-05,12.5
2015-04-06,6.21
2015-04-07,5.58
2015-04-08,6.46
2015-04-09,5.51
2015-04-10,5.24
2015-04-11,8.28
2015-04-12,7.97
2015-04-13,4.97
2015-04-14,7.2
2015-04-15,8.17
2015-04-16,18.59
2015-04-17,21.34
2015-04-18,13.89
2015-04-19,16.31
2015-04-20,9.17
2015-04-21,20.5
2015-04-22,9.3
2015-04-23,7.02
2015-04-24,7.3
2015-04-25,6.25
2015-04-26,7.02
2015-04-27,7.6
2015-04-28,6.39
2015-04-29,5.01
2015-04-30,7.91
2015-05-01,4.95
2015-05-02,5.55
2015-05-03,5.89
2015-05-04,6.16
2015-05-05,6.02
2015-05-06,4.87
2015-05-07,4.71
2015-05-08,4.01
2015-05-09,3.84
2015-05-10,3.63
2015-05-11,3.67
2015-05-12,2.78
2015-05-13,2.45
2015-05-14,2.31
2015-05-15,2.88
2015-05-16,2.92
2015-05-17,2.32
2015-05-18,2.48
2015-05-19,2.84
2015-05-20,2.39
2015-05-21,2.85
2015-05-22,3.83
2015-05-23,3.4
2015-05-24,2.53
2015-05-25,2.79
2015-05-26,3.86
2015-05-27,2.48
2015-05-28,4.24
2015-05-29,7.44
2015-05-30,6.42
2015-06-01,3.51
2015-06-02,4.44
2015-06-03,3.63
2015-06-04,6.45
2015-06-05,7.49
2015-06-06,6.78
2015-06-07,4.08
2015-06-08,3.99
2015-06-09,4.59
2015-06-10,4.52
2015-06-11,5.31
2015-06-12,3.4
2015-06-13,2.62
2015-06-14,2.46
2015-06-15,2.3
2015-06-16,2.94
2015-06-17,2.32
2015-06-18,2.27
2015-06-19,2.22
2015-06-20,3.65
2015-06-21,4.64
2015-06-22,3.32
2015-06-23,5.9
2015-06-24,7.93
2015-06-25,4.79
2015-06-26,6.54
