FECHA,CAUDAL_M3S
2015-01-01,1.68
2015-01-02,1.64
2015-01-03,1.6
2015-01-04,1.58
2015-01-05,1.55
2015-01-06,1.52
2015-01-07,1.5
2015-01-08,1.48
2015-01-09,1.47
2015-01-10,1.46
2015-01-11,1.42
2015-01-12,1.4
2015-01-13,1.38
2015-01-14,1.67
2015-01-15,1.51
2015-01-16,1.36
2015-01-17,1.47
2015-01-18,1.83
2015-01-19,1.95
2015-01-20,1.57
2015-01-21,1.62
2015-01-22,2.53
2015-01-23,3.2
2015-01-24,2.24
2015-01-25,1.84
2015-01-26,1.64
2015-01-27,2.05
2015-01-28,1.8
2015-01-29,1.64
2015-01-30,1.55
2015-01-31,1.53
2015-02-01,1.52
2015-02-02,1.46
2015-02-03,1.55
2015-02-04,1.42
2015-02-05,1.39
2015-02-06,1.39
2015-02-07,1.51
2015-02-08,1.91
2015-02-09,2.58
2015-02-10,1.89
2015-02-11,1.67
2015-02-12,1.54
2015-02-13,1.48
2015-02-14,1.49
2015-02-15,1.41
2015-02-16,1.58
2015-02-17,1.4
2015-02-18,1.33
2015-02-19,1.29
2015-02-20,1.25
2015-02-21,1.34
2015-02-22,1.27
2015-02-23,1.23
2015-02-24,1.6
2015-02-25,1.32
2015-02-26,1.7
2015-02-27,1.97
2015-02-28,1.41
2015-03-01,1.39
2015-03-02,1.51
2015-03-03,1.34
2015-03-04,1.26
2015-03-05,1.21
2015-03-06,1.3
2015-03-07,1.26
2015-03-08,1.2
2015-03-09,1.12
2015-03-10,1.06
2015-03-11,1.05
2015-03-12,1.21
2015-03-13,1.09
2015-03-14,1.67
2015-03-15,1.57
2015-03-16,2.46
2015-03-17,1.68
2015-03-18,1.46
2015-03-19,1.67
2015-03-20,2.41
2015-03-21,4.4
2015-03-22,2.0
2015-03-23,1.7
2015-03-24,2.46
2015-03-25,1.82
2015-03-26,2.56
2015-03-27,1.73
2015-03-28,1.64
2015-03-29,1.77
2015-03-30,1.71
2015-03-31,1.34
2015-04-01,2.17
2015-04-02,2.82
2015-04-03,14.84
2015-04-04,4.98
2015-04-05,6.95
2015-04-06,2.67
2015-04-07,2.64
2015-04-08,2.13
2015-04-09,1.98
2015-04-10,1.83
2015-04-11,1.87
2015-04-12,1.78
2015-04-13,1.86
2015-04-14,4.0
2015-04-15,4.9
2015-04-16,9.53
2015-04-17,26.97
2015-04-18,4.5
2015-04-19,3.96
2015-04-20,2.81
2015-04-21,14.38
2015-04-22,3.02
2015-04-23,2.49
2015-04-24,2.45
2015-04-25,2.19
2015-04-26,2.05
2015-04-27,1.92
2015-04-28,1.84
2015-04-29,1.5
2015-04-30,1.39
2015-05-01,1.72
2015-05-02,1.66
2015-05-03,1.68
2015-05-04,1.82
2015-05-05,1.59
2015-05-06,2.11
2015-05-07,2.25
2015-05-08,1.58
2015-05-09,1.53
2015-05-10,1.48
2015-05-11,1.46
2015-05-12,1.41
2015-05-13,1.4
2015-05-14,1.41
2015-05-15,1.64
2015-05-16,1.43
2015-05-17,1.4
2015-05-18,1.36
2015-05-19,1.35
2015-05-20,1.29
2015-05-21,1.27
2015-05-22,1.27
2015-05-23,1.28
2015-05-24,1.24
2015-05-25,1.28
2015-05-27,1.62
2015-05-28,1.49
2015-05-29,1.05
2015-05-30,1.05
2015-05-31,0.86
2015-06-01,1.48
2015-06-02,1.28
2015-06-03,1.23
2015-06-04,1.2
2015-06-05,1.2
2015-06-06,1.19
2015-06-07,1.19
2015-06-08,1.6
2015-06-09,1.4
2015-06-10,1.56
2015-06-11,1.32
2015-06-12,1.29
2015-06-13,1.27
2015-06-14,1.24
2015-06-15,1.22
2015-06-16,1.39
2015-06-17,1.24
2015-06-18,1.19
2015-06-19,1.15
2015-06-20,1.12
2015-06-21,1.11
2015-06-22,1.11
2015-06-23,1.11
2015-06-24,1.05
2015-06-25,1.06
2015-06-26,1.05
2015-06-27,1.05
2015-06-28,1.05
2015-06-29,1.15
2015-06-30,1.08
2015-07-01,1.04
2015-07-02,1.02
2015-07-03,1.01
2015-07-04,0.99
2015-07-05,0.99
2015-07-06,1.0
2015-07-07,1.03
2015-07-08,1.11
2015-07-09,1.07
2015-07-10,1.04
2015-07-11,1.03
2015-07-12,1.03
2015-07-13,1.12
2015-07-14,1.04
2015-07-15,1.02
2015-07-16,1.04
2015-07-17,1.03
2015-07-18,1.01
2015-07-19,1.17
2015-07-20,1.12
2015-07-21,1.31
2015-07-22,1.32
2015-07-23,1.49
2015-07-24,1.23
2015-07-25,1.13
2015-07-26,1.09
2015-07-27,1.07
2015-07-28,1.06
2015-07-29,0.97
2015-07-30,0.89
2015-07-31,0.88
2015-08-01,1.04
2015-08-02,1.03
2015-08-03,1.01
2015-08-04,1.0
2015-08-05,0.98
2015-08-06,0.96
2015-08-07,0.93
2015-08-08,1.0
2015-08-09,1.06
2015-08-10,1.08
2015-08-11,1.07
2015-08-12,1.0
2015-08-13,0.99
2015-08-14,0.97
2015-08-15,0.97
2015-08-16,0.97
2015-08-17,0.96
2015-08-18,0.94
2015-08-19,0.92
2015-08-20,0.9
2015-08-21,0.88
2015-08-22,0.9
2015-08-23,0.95
2015-08-24,0.99
2015-08-25,0.97
2015-08-26,0.96
2015-08-27,0.96
2015-08-28,0.96
2015-08-29,0.8
2015-08-30,0.92
2015-09-01,0.86
2015-09-02,0.87
2015-09-03,0.9
2015-09-04,0.85
2015-09-05,0.85
2015-09-06,0.86
2015-09-07,0.88
2015-09-08,0.85
2015-09-09,0.86
2015-09-10,1.12
2015-09-11,1.36
2015-09-12,1.03
2015-09-13,0.95
2015-09-14,0.89
2015-09-15,0.85
2015-09-16,0.83
2015-09-17,0.82
2015-09-18,0.9
2015-09-19,1.34
2015-09-20,1.1
2015-09-21,1.14
2015-09-22,0.99
2015-09-23,0.92
2015-09-24,0.89
2015-09-25,0.85
2015-09-26,0.84
2015-09-27,0.84
2015-09-28,0.82
2015-09-29,1.16
2015-09-30,1.14
2015-10-01,1.75
2015-10-02,1.23
2015-10-03,1.03
2015-10-04,0.95
2015-10-05,0.91
