FECHA,CAUDAL_M3S
2015-01-01,8.84
2015-01-02,8.96
2015-01-03,8.6
2015-01-04,8.63
2015-01-05,8.65
2015-01-06,8.56
2015-01-07,8.21
2015-01-08,8.32
2015-01-09,7.61
2015-01-10,7.16
2015-01-11,8.47
2015-01-12,8.14
2015-01-13,7.79
2015-01-14,8.01
2015-01-15,7.82
2015-01-16,7.88
2015-01-17,7.98
2015-01-18,10.41
2015-01-19,9.5
2015-01-20,9.52
2015-01-21,8.91
2015-01-22,9.06
2015-01-23,9.14
2015-01-24,9.59
2015-01-25,9.16
2015-01-26,8.6
2015-01-27,8.59
2015-01-28,8.69
2015-01-29,8.17
2015-01-30,7.95
2015-01-31,7.95
2015-02-01,8.67
2015-02-02,8.69
2015-02-03,9.16
2015-02-04,9.64
2015-02-05,9.07
2015-02-06,8.66
2015-02-07,8.89
2015-02-08,14.32
2015-02-09,35.51
2015-02-10,25.11
2015-02-11,18.61
2015-02-12,11.36
2015-02-13,10.16
2015-02-14,9.81
2015-02-15,8.9
2015-02-16,9.13
2015-02-17,7.92
2015-02-18,7.77
2015-02-19,7.35
2015-02-20,15.89
2015-02-21,10.41
2015-02-22,8.5
2015-02-23,8.75
2015-02-24,8.02
2015-02-25,7.23
2015-02-26,7.35
2015-02-27,7.29
2015-02-28,7.66
2015-03-01,9.14
2015-03-02,8.27
2015-03-03,8.33
2015-03-04,7.89
2015-03-05,7.73
2015-03-06,7.48
2015-03-07,7.54
2015-03-08,7.36
2015-03-09,7.48
2015-03-10,7.61
2015-03-11,7.87
2015-03-12,7.57
2015-03-13,7.74
2015-03-14,7.22
2015-03-15,7.6
2015-03-16,7.4
2015-03-17,7.7
2015-03-18,14.51
2015-03-19,9.88
2015-03-20,11.48
2015-03-21,13.39
2015-03-22,10.41
2015-03-23,9.76
2015-03-24,9.3
2015-03-25,8.64
2015-03-26,8.48
2015-03-27,8.59
2015-03-28,8.47
2015-05-31,8.07
2015-06-29,12.41
2015-06-30,18.63
2015-07-14,5.56
2015-07-15,6.62
2015-07-16,11.71
2015-07-17,8.32
2015-07-18,6.43
2015-07-19,6.44
2015-07-20,5.92
2015-07-21,6.82
2015-07-22,8.9
2015-07-23,15.02
2015-07-24,8.55
2015-07-25,6.43
2015-07-26,5.6
2015-07-27,8.08
2015-07-28,12.94
2015-07-29,5.4
2015-07-30,5.32
2015-07-31,2.52
2015-08-01,9.46
2015-08-02,7.85
2015-08-03,6.71
2015-08-04,5.83
2015-08-05,5.54
2015-08-06,5.32
2015-08-07,5.15
2015-08-08,5.27
2015-08-09,5.31
2015-08-10,5.16
2015-08-11,5.17
2015-08-12,5.04
2015-08-13,4.98
2015-08-14,5.13
2015-08-15,11.13
2015-08-16,10.86
2015-08-17,12.29
2015-08-18,6.57
2015-08-19,5.45
2015-08-20,5.42
2015-08-21,5.61
2015-08-22,5.05
2015-08-23,5.07
2015-08-24,5.59
2015-08-25,7.74
2015-08-26,6.74
2015-08-27,5.21
2015-08-28,6.24
2015-08-29,3.43
2015-08-30,4.28
2015-09-01,6.57
2015-09-02,5.45
2015-09-03,5.29
2015-09-04,5.13
2015-09-05,5.15
2015-09-06,5.14
2015-09-07,5.19
2015-09-08,5.09
2015-09-09,5.12
2015-09-10,5.17
2015-09-11,5.49
2015-09-12,5.31
2015-09-13,5.05
2015-09-14,4.67
2015-09-15,4.38
2015-09-16,4.19
2015-09-17,4.07
2015-09-18,4.34
2015-09-19,4.45
2015-09-20,4.49
2015-09-21,4.32
2015-09-22,4.13
2015-09-23,4.0
2015-09-24,3.93
2015-09-25,3.67
2015-09-26,3.54
2015-09-27,3.62
2015-09-28,3.51
2015-09-29,4.16
2015-09-30,3.96
2015-10-01,5.21
2015-10-02,5.19
2015-10-03,5.04
2015-10-04,4.93
2015-10-05,5.02
2015-10-06,4.41
2015-10-07,4.01
2015-10-08,3.88
2015-10-09,3.83
2015-10-10,3.89
2015-10-11,4.21
2015-10-12,4.25
2015-10-13,4.27
2015-10-14,5.15
2015-10-15,5.08
2015-10-16,5.42
2015-10-17,5.53
2015-10-18,5.34
2015-10-19,5.08
2015-10-20,4.74
2015-10-21,4.29
2015-10-22,4.01
2015-10-23,4.01
2015-10-24,4.06
2015-10-25,4.62
2015-10-26,4.43
2015-10-27,4.29
2015-10-28,4.18
2015-10-29,4.28
2015-10-30,4.1
2015-11-01,4.73
2015-11-02,9.6
2015-11-03,8.37
2015-11-04,6.43
2015-11-05,6.12
2015-11-06,5.99
2015-11-07,6.67
2015-11-08,7.45
2015-11-09,6.4
2015-11-10,5.35
2015-11-11,5.07
2015-11-12,5.14
2015-11-13,5.12
2015-11-14,4.79
2015-11-15,4.7
2015-11-16,4.53
2015-11-17,4.71
2015-11-18,4.93
2015-11-19,5.02
2015-11-20,5.42
2015-11-21,5.2
2015-11-22,5.24
2015-11-23,5.11
2015-11-24,5.03
2015-11-25,4.98
2015-11-26,4.64
2015-11-27,4.47
2015-11-28,4.34
2015-11-29,2.6
2015-11-30,2.52
2015-12-01,3.94
2015-12-02,3.79
2015-12-03,3.73
2015-12-04,4.33
2015-12-05,4.51
2015-12-06,4.06
2015-12-07,3.85
2015-12-08,3.64
2015-12-09,3.5
2015-12-10,3.43
2015-12-11,3.35
2015-12-12,3.25
2015-12-13,3.2
2015-12-14,3.31
2015-12-15,3.38
2015-12-16,3.43
2015-12-17,3.58
2015-12-18,3.53
2015-12-19,3.7
2015-12-20,3.75
2015-12-21,3.4
2015-12-22,3.12
2015-12-23,2.96
2015-12-24,2.82
2015-12-25,2.81
2015-12-26,2.8
2015-12-27,2.81
2015-12-28,2.7
2018-05-29,17.02
2018-05-30,19.68
2018-06-01,12.98
2018-06-02,12.54
2018-06-03,19.48
2018-06-04,18.28
2018-06-05,22.88
2018-06-06,19.38
2018-06-07,16.11
2018-06-08,12.62
2018-06-09,12.1
2018-06-10,16.48
2018-06-11,18.26
2018-06-12,24.01
2018-06-13,13.86
2018-06-14,12.15
2018-06-15,12.6
2018-06-16,15.86
2018-06-17,19.5
2018-06-18,14.97
2018-06-19,16.37
2018-06-20,18.34
2018-06-21,17.3
2018-06-22,14.84
2018-06-23,12.15
2018-06-24,13.14
2018-06-25,15.78
2018-06-26,15.39
2018-06-27,12.45
2018-06-28,19.42
2021-01-11,56.68
2021-01-12,58.37
