FECHA,CAUDAL_M3S
2015-01-16,1.98
2015-01-17,2.19
2015-01-18,2.2
2015-01-22,2.09
2015-01-29,1.97
2015-01-31,2.01
2015-02-01,2.0
2015-02-02,2.12
2015-02-03,2.1
2015-02-04,2.14
2015-02-05,2.06
2015-02-06,2.02
2015-02-07,2.03
2015-02-08,2.23
2015-02-09,2.53
2015-02-10,3.43
2015-02-11,2.94
2015-02-12,2.26
2015-02-13,2.29
2015-02-14,2.21
2015-02-15,2.19
2015-02-16,2.08
2015-02-17,2.07
2015-02-18,2.04
2015-02-19,1.99
2015-02-20,3.16
2015-02-21,2.66
2015-02-22,2.41
2015-02-23,2.56
2015-02-24,2.3
2015-02-25,2.67
2015-02-26,2.75
2015-02-27,2.73
2015-02-28,2.62
2015-03-01,2.64
2015-03-02,2.61
2015-03-29,2.59
2015-03-30,2.42
2015-03-31,2.26
2015-04-01,2.69
2015-04-02,2.58
2015-04-06,2.45
2015-04-10,2.31
2015-04-11,2.4
2015-04-13,2.35
2015-04-14,2.33
2015-04-17,3.4
2015-04-24,2.78
2015-04-25,2.62
2015-04-27,2.87
2015-04-28,2.83
2015-04-29,4.37
2015-04-30,2.65
2015-05-01,2.45
2015-05-02,2.39
2015-05-03,2.58
2015-05-04,2.45
2015-05-05,2.38
2015-05-06,2.38
2015-05-07,2.3
2015-05-10,2.33
2015-05-11,2.33
2015-05-12,2.31
2015-05-13,2.24
2015-05-14,2.25
2015-05-15,2.31
2015-05-16,2.32
2015-05-17,2.31
2015-05-18,2.4
2015-05-19,2.48
2015-05-29,3.95
2015-05-30,3.88
2015-05-31,1.75
2015-06-01,4.43
2015-06-02,2.81
2015-06-03,2.85
2015-06-04,4.98
2015-06-05,4.17
2015-06-06,3.82
2015-06-07,3.09
2015-06-08,3.5
2015-06-09,2.9
2015-06-10,2.35
2015-06-11,2.07
2015-06-12,1.86
2015-06-13,1.95
2015-06-14,1.82
2015-06-15,1.66
2015-06-16,1.64
2015-06-17,1.77
2015-06-18,2.26
2015-06-19,4.3
2015-06-20,5.34
2015-06-21,2.72
2015-06-22,3.3
2015-06-23,4.03
2015-06-24,4.42
2015-06-25,2.67
2015-06-26,4.0
2015-06-27,3.66
2015-06-28,2.94
2015-06-29,4.41
2015-06-30,4.83
2015-07-01,2.58
2015-07-02,2.31
2015-07-03,2.03
2015-07-04,2.09
2015-07-05,2.04
2015-07-06,2.52
2015-07-07,1.97
2015-07-08,1.67
2015-07-09,1.43
2015-07-10,1.6
2015-07-11,2.83
2015-07-12,2.27
2015-07-13,2.32
2015-07-14,1.45
2015-07-15,1.66
2015-07-16,3.04
2015-07-17,2.26
2015-07-18,1.74
2015-07-19,1.81
2015-07-20,2.12
2015-07-21,1.91
2015-07-22,2.99
2015-07-23,4.94
2015-07-24,3.12
2015-07-25,2.29
2015-07-26,1.97
2015-07-27,2.73
2015-07-28,4.66
2015-07-29,1.35
2015-07-30,1.15
2015-07-31,0.65
2015-08-01,2.8
2015-08-02,3.15
2015-08-03,2.07
2015-08-04,1.75
2015-08-05,1.6
2015-08-06,1.74
2015-08-07,1.44
2015-08-08,1.43
2015-08-09,1.45
2015-08-10,1.27
2015-08-11,1.18
2015-08-12,1.12
2015-08-13,1.02
2015-08-14,1.19
2015-08-15,2.65
2015-08-16,2.93
2015-08-17,3.83
2015-08-18,2.3
2015-08-19,1.6
2015-08-20,1.52
2015-08-21,1.49
2015-08-22,1.31
2015-08-23,1.21
2015-08-24,1.26
2015-08-25,1.99
2015-08-26,1.84
2015-08-27,1.35
2015-08-28,1.57
2015-08-29,1.09
2015-08-30,2.06
2015-09-01,1.52
2015-09-02,1.11
2015-09-03,1.11
2015-09-04,0.92
2015-09-05,0.91
2015-09-06,0.9
2015-09-07,1.15
2015-09-08,1.06
2015-09-09,0.94
2015-09-10,1.45
2015-09-11,2.37
2015-09-12,2.38
2015-09-13,1.92
2015-09-14,1.73
2015-09-15,1.6
2015-09-16,1.51
2015-09-17,1.79
2015-09-18,1.61
2015-09-19,1.86
2015-09-20,1.74
2015-09-21,1.62
2015-09-22,1.41
2015-09-23,1.35
2015-09-24,1.33
2015-09-25,1.23
2015-09-26,1.53
2015-09-27,1.9
2015-09-28,1.42
2015-09-29,1.44
2015-09-30,1.49
2015-10-01,3.72
2015-10-02,4.11
2015-10-03,2.62
2015-10-04,2.34
2015-10-05,2.11
2015-10-06,1.86
2015-10-07,1.94
2015-10-08,1.52
2015-10-09,1.5
2015-10-10,1.53
2015-10-11,1.53
2015-10-12,1.53
2015-10-13,1.53
2015-10-14,2.45
2015-10-15,3.22
2015-10-16,3.45
2015-10-17,3.06
2015-10-18,2.82
2015-10-19,2.32
2015-10-20,1.92
2015-10-21,1.67
2015-10-22,1.55
2015-10-23,1.57
2015-10-24,1.59
