FECHA,CAUDAL_M3S
2015-01-01,3.71
2015-01-02,3.66
2015-01-03,3.87
2015-01-04,3.65
2015-01-14,4.25
2015-01-15,4.43
2015-01-16,3.65
2015-01-17,3.74
2015-01-18,4.0
2015-01-19,3.84
2015-01-20,3.96
2015-01-21,4.01
2015-01-22,3.88
2015-01-23,3.9
2015-01-24,3.85
2015-01-25,3.86
2015-01-27,32.6
2015-01-28,4.58
2015-02-05,3.73
2015-02-07,3.83
2015-02-08,7.64
2015-02-09,8.78
2015-02-10,6.64
2015-02-11,5.76
2015-02-12,4.06
2015-02-13,3.73
2015-02-14,3.71
2015-02-15,4.21
2015-02-16,3.97
2015-02-17,4.1
2015-02-18,3.69
2015-02-20,4.02
2015-02-21,3.79
2015-02-22,4.59
2015-02-23,3.82
2015-02-24,3.95
2015-02-25,3.92
2015-03-01,3.76
2015-03-02,3.92
2015-03-03,3.96
2015-03-04,3.82
2015-03-05,4.48
2015-03-06,3.93
2015-03-07,3.74
2015-03-14,3.95
2015-03-17,4.29
2015-03-18,8.1
2015-03-19,8.24
2015-03-20,50.5
2015-03-21,29.73
2015-03-22,13.66
2015-03-23,12.02
2015-03-24,16.57
2015-03-25,15.48
2015-03-26,14.56
2015-03-27,10.31
2015-03-28,8.51
2015-03-29,23.35
2015-03-30,15.42
2015-03-31,26.12
2015-04-01,26.33
2015-04-02,24.56
2015-04-03,16.04
2015-04-04,17.76
2015-04-05,20.07
2015-04-06,12.48
2015-04-07,11.96
2015-04-08,10.49
2015-04-09,9.4
2015-04-10,27.89
2015-04-11,23.32
2015-04-12,9.44
2015-04-13,8.04
2015-04-14,12.26
2015-04-15,40.0
2015-04-16,66.85
2015-04-17,156.71
2015-04-18,87.9
2015-04-19,68.18
2015-04-20,46.68
2015-04-21,53.79
2015-04-22,34.38
2015-04-23,27.35
2015-04-24,23.0
2015-04-25,18.9
2015-04-26,40.59
2015-04-27,36.26
2015-04-28,27.39
2015-04-29,60.66
2015-04-30,32.66
2015-05-01,15.12
2015-05-02,13.96
2015-05-03,20.99
2015-05-04,26.88
2015-05-05,19.02
2015-05-06,11.94
2015-05-07,10.07
2015-05-08,8.13
2015-05-09,6.68
2015-05-10,10.75
2015-05-11,9.28
2015-05-12,7.4
2015-05-13,5.79
2015-05-14,6.89
2015-05-15,9.4
2015-05-16,7.23
2015-05-17,6.18
2015-05-18,8.9
2015-05-19,7.61
2015-05-20,6.58
2015-05-21,17.79
2015-05-22,15.14
2015-05-23,13.93
2015-05-24,6.34
2015-05-25,17.58
2015-05-26,11.37
2015-05-27,7.54
2015-05-28,12.69
2015-05-29,74.21
2015-05-30,49.03
2015-05-31,5.55
2015-06-01,17.65
2015-06-02,14.2
2015-06-03,26.74
2015-06-04,61.25
2015-06-05,53.7
2015-06-06,33.76
2015-06-07,15.11
2015-06-08,20.94
2015-06-09,18.05
2015-06-10,35.77
2015-06-11,19.44
2015-06-12,10.36
2015-06-13,8.78
2015-06-14,7.36
2015-06-15,6.41
2015-06-16,9.25
2015-06-17,6.12
2015-06-18,5.78
2015-06-19,6.25
2015-06-20,34.35
2015-06-21,11.69
2015-06-22,29.11
2015-06-23,55.87
2015-06-24,76.51
2015-06-25,33.38
2015-06-26,50.09
2015-06-27,67.28
2015-06-28,45.01
2015-06-29,39.12
2015-06-30,52.48
2015-07-01,12.65
2015-07-02,9.82
2015-07-03,6.3
2015-07-04,6.73
2015-07-05,7.31
2015-07-06,6.6
2015-07-07,7.92
2015-07-08,6.54
2015-07-09,5.69
2015-07-10,5.27
2015-07-11,13.88
2015-07-12,14.88
2015-07-13,8.16
2015-07-14,5.89
2015-07-15,8.54
2015-07-16,31.6
