FECHA,CAUDAL_M3S
2015-01-01,3.81
2015-01-02,3.75
2015-01-03,3.73
2015-01-04,3.69
2015-01-05,3.59
2015-01-06,3.54
2015-01-07,3.43
2015-01-08,3.4
2015-01-09,3.33
2015-01-10,3.26
2015-01-11,3.19
2015-01-12,3.13
2015-01-13,3.22
2015-01-14,3.2
2015-01-15,3.06
2015-01-16,2.9
2015-01-17,3.09
2015-01-18,3.52
2015-01-19,3.06
2015-01-20,2.9
2015-01-21,3.19
2015-01-22,3.46
2015-01-23,3.17
2015-01-24,3.03
2015-01-25,2.89
2015-01-26,2.87
2015-01-27,2.9
2015-01-28,2.85
2015-01-29,2.72
2015-01-30,2.65
2015-01-31,2.6
2015-02-01,2.59
2015-02-02,2.64
2015-02-03,2.54
2015-02-04,2.49
2015-02-05,2.48
2015-02-06,2.53
2015-02-07,2.71
2015-02-08,3.22
2015-02-09,4.03
2015-02-10,3.43
2015-02-11,3.11
2015-02-12,2.79
2015-02-13,2.66
2015-02-14,2.68
2015-02-15,2.62
2015-02-16,2.71
2015-02-17,2.47
2015-02-18,2.42
2015-02-19,2.45
2015-02-20,3.06
2015-02-21,2.93
2015-02-22,2.71
2015-02-23,2.65
2015-02-24,2.55
2015-02-25,2.44
2015-02-26,2.37
2015-02-27,2.46
2015-02-28,2.36
2015-03-01,2.62
2015-03-02,3.0
2015-03-03,2.82
2015-03-04,3.09
2015-03-05,2.75
2015-03-06,2.82
2015-03-07,2.66
2015-03-08,2.51
2015-03-09,2.42
2015-03-10,2.33
2015-03-11,2.29
2015-03-12,2.29
2015-03-13,2.29
2015-03-14,2.46
2015-03-15,2.34
2015-03-16,2.39
2015-03-17,2.66
2015-03-18,3.59
2015-03-19,3.07
2015-03-20,3.45
2015-03-21,3.81
2015-03-22,3.48
2015-03-23,3.5
2015-03-24,3.67
2015-03-25,3.58
2015-03-26,3.49
2015-03-27,3.17
2015-03-28,3.01
2015-03-29,2.45
2015-03-30,2.41
2015-03-31,1.78
2015-04-01,3.6
2015-04-02,3.34
2015-04-03,3.16
2015-04-04,3.81
2015-04-05,3.75
2015-04-06,3.4
2015-04-07,3.44
2015-04-08,3.31
2015-04-09,3.27
2015-04-10,3.4
2015-04-11,3.35
2015-04-12,3.08
2015-04-13,2.99
2015-04-14,2.9
2015-04-15,3.04
2015-04-16,3.78
2015-04-17,7.82
2015-04-18,5.11
2015-04-19,4.77
2015-04-20,3.4
2015-04-21,3.49
2015-04-22,3.12
2015-04-23,3.03
2015-04-24,2.88
2015-04-25,2.78
2015-04-26,2.71
2015-04-27,2.53
2015-04-28,2.57
2015-04-29,2.0
2015-04-30,1.92
2015-05-01,2.41
2015-05-02,2.45
2015-05-03,2.75
2015-05-04,2.53
2015-05-05,2.53
2015-05-06,2.45
2015-05-07,2.41
2015-05-08,2.29
2015-05-09,2.2
2015-05-10,2.22
2015-05-11,2.16
2015-05-12,2.12
2015-05-13,2.11
2015-05-14,2.38
2015-05-15,2.04
2015-05-16,2.05
2015-05-17,2.0
2015-05-18,1.92
2015-05-19,1.96
2015-05-20,1.95
2015-05-21,1.92
2015-05-22,2.21
2015-05-23,1.92
2015-05-24,1.84
2015-05-25,1.88
2015-05-26,1.84
2015-05-27,1.92
2015-05-28,1.84
2015-05-29,1.37
2015-05-30,1.34
2015-05-31,2.42
2015-06-01,1.72
2015-06-02,1.73
2015-06-03,1.7
2015-06-04,1.69
2015-06-05,1.67
2015-06-06,1.67
2015-06-07,1.63
2015-06-08,1.69
2015-06-09,1.71
2015-06-10,1.71
2015-06-11,1.66
2015-06-12,1.64
2015-06-13,1.59
2015-06-14,1.54
2015-06-15,1.59
2015-06-16,1.59
2015-06-17,1.53
2015-06-18,1.5
2015-06-19,1.51
2015-06-20,1.49
2015-06-21,1.47
2015-06-22,1.44
2015-06-23,1.41
2015-06-24,1.37
2015-06-25,1.34
2015-06-26,1.34
2015-06-27,1.34
2015-06-28,1.33
2015-06-29,1.2
2015-06-30,1.16
2015-07-01,1.28
2015-07-02,1.27
2015-07-03,1.26
2015-07-04,1.24
2015-07-05,1.24
2015-07-06,1.28
2015-07-07,1.33
2015-07-08,1.27
2015-07-09,1.2
2015-07-10,1.19
2015-07-11,1.15
2015-07-12,1.15
2015-07-13,1.09
2015-07-14,1.08
2015-07-15,1.08
2015-07-16,1.07
2015-07-17,1.06
2015-07-18,1.07
2015-07-19,1.07
2015-07-20,1.43
2015-07-21,1.42
2015-07-22,1.28
2015-07-23,1.28
2015-07-24,1.36
2015-07-25,1.3
2015-07-26,1.24
2015-07-27,1.2
2015-07-28,1.2
2015-07-29,1.07
2015-07-30,1.59
2015-07-31,0.79
2015-08-01,1.1
2015-08-02,1.07
2015-08-03,1.08
2015-08-04,1.06
2015-08-05,1.07
2015-08-06,1.05
2015-08-07,1.07
2015-08-08,1.1
2015-08-09,0.99
2015-08-10,0.95
2015-08-11,0.93
2015-08-12,0.91
2015-08-13,0.91
2015-08-14,0.95
2015-08-15,0.92
2015-08-16,1.2
2015-08-17,1.86
2015-08-18,1.88
2015-08-19,1.97
2015-08-20,1.99
2015-08-21,1.99
2015-08-22,1.94
2015-08-23,1.89
2015-08-24,1.88
2015-08-25,1.92
2015-08-26,1.92
2015-08-27,1.9
2015-08-28,1.5
2015-08-29,0.8
2015-08-30,1.41
2015-09-01,2.45
2015-09-02,2.45
2015-09-03,2.48
2015-09-04,2.49
2015-09-05,2.5
2015-09-06,1.82
2015-09-07,0.93
2015-09-08,0.92
2015-09-09,0.95
2015-09-10,0.99
2015-09-11,1.04
2015-09-12,0.94
2015-09-13,0.88
2015-09-14,0.84
2015-09-15,0.86
2015-09-16,0.88
2015-09-17,0.93
2015-09-18,1.2
2015-09-19,1.12
2015-09-20,1.05
2015-09-21,0.99
2015-09-22,0.96
2015-09-23,0.92
2015-09-24,0.93
2015-09-25,0.9
2015-09-26,0.91
2015-09-27,0.86
2015-09-28,0.83
2015-09-29,1.2
2015-09-30,1.17
2015-10-01,1.72
2015-10-02,1.57
2015-10-03,1.19
2015-10-04,1.09
2015-10-05,1.02
2015-10-06,1.03
2015-10-07,0.98
2015-10-08,0.98
2015-10-09,1.0
2015-10-10,1.05
2015-10-11,1.0
2015-10-12,0.96
2015-10-13,1.53
2015-10-14,2.99
2015-10-15,1.69
2015-10-16,1.39
2015-10-17,1.25
2015-10-18,1.16
2015-10-19,1.51
2015-10-20,1.55
2015-10-21,1.18
2015-10-22,1.67
2015-10-23,2.12
2015-10-24,1.71
2015-10-25,1.62
2015-10-26,1.49
2015-10-27,1.3
