FECHA,CAUDAL_M3S
2015-01-01,36.77
2015-01-02,34.55
2015-01-03,32.85
2015-01-04,32.12
2015-01-05,31.86
2015-01-06,31.86
2015-01-07,31.86
2015-01-09,31.52
2015-01-10,31.52
2015-01-11,31.51
2015-01-12,31.51
2015-01-13,31.52
2015-01-14,31.52
2015-01-15,37.4
2015-01-16,32.91
2015-01-17,32.91
2015-01-18,40.01
2015-01-19,41.9
2015-01-20,40.34
2015-01-21,39.52
2015-01-22,65.62
2015-01-23,43.37
2015-01-24,35.26
2015-01-25,34.49
2015-01-26,34.07
2015-01-27,34.9
2015-01-28,42.72
2015-01-29,37.14
2015-01-30,36.07
2015-01-31,35.29
2015-02-01,34.58
2015-02-02,33.9
2015-02-03,33.19
2015-02-04,32.21
2015-02-05,31.52
2015-02-06,31.35
2015-02-07,31.18
2015-02-08,34.34
2015-02-09,89.16
2015-02-10,77.98
2015-02-11,54.9
2015-02-12,40.18
2015-02-13,35.59
2015-02-14,33.04
2015-02-15,32.09
2015-02-16,32.48
2015-02-17,31.52
2015-02-18,31.23
2015-02-19,31.18
2015-02-20,33.48
2015-02-21,35.89
2015-02-22,33.22
2015-02-23,33.22
2015-02-24,33.22
2015-02-25,33.22
2015-02-26,33.22
2015-02-27,33.22
2015-02-28,33.22
2015-03-01,33.22
2015-03-02,37.72
2015-03-03,35.74
2015-03-04,97.98
2015-03-05,47.93
2015-03-06,37.02
2015-03-07,37.88
2015-03-08,33.53
2015-03-09,32.88
2015-03-10,32.55
2015-03-11,32.54
2015-03-12,32.37
2015-03-13,34.65
2015-03-14,74.94
2015-03-15,43.87
2015-03-16,45.7
2015-03-17,40.41
2015-03-18,92.69
2015-03-19,53.87
2015-03-20,127.35
2015-03-21,152.42
2015-03-22,79.93
2015-03-23,66.92
2015-03-24,59.94
2015-03-25,50.27
2015-03-26,46.11
2015-03-27,42.54
2015-03-28,39.79
2015-03-29,36.72
2015-03-30,35.03
2015-03-31,34.24
2015-04-01,46.4
2015-04-02,76.0
2015-04-03,46.79
2015-04-04,43.71
2015-04-05,42.16
2015-04-06,40.86
2015-04-07,40.67
2015-04-08,48.84
2015-04-09,37.62
2015-04-10,34.52
2015-04-11,37.51
2015-04-12,33.57
2015-04-13,33.22
2015-04-14,32.88
2015-04-15,36.94
2015-04-16,67.61
2015-04-17,119.07
2015-04-18,64.16
2015-04-19,70.17
2015-04-20,51.8
2015-04-21,57.32
2015-04-22,47.5
2015-04-23,41.99
2015-04-24,41.22
2015-04-25,38.3
2015-04-26,41.73
2015-04-27,47.84
2015-04-28,40.95
2015-04-29,34.24
2015-04-30,34.24
2015-05-01,34.58
2015-05-02,34.91
2015-05-03,34.78
2015-05-04,34.92
2015-05-05,36.63
2015-05-06,34.61
2015-05-07,34.58
2015-05-08,34.58
2015-05-09,34.58
