FECHA,CAUDAL_M3S
2025-01-11,3.72
2025-01-12,3.72
2025-01-13,3.73
2025-01-14,3.75
2025-01-15,3.74
2025-01-16,3.74
2025-01-17,3.74
2025-01-18,3.73
2025-01-19,3.72
2025-01-20,3.71
2025-01-21,3.71
2025-01-22,3.72
2025-01-23,3.71
2025-01-24,3.73
2025-01-25,3.97
2025-01-26,3.71
2025-01-27,3.72
2025-01-28,3.69
2025-01-29,3.69
2025-01-30,3.67
2025-01-31,3.74
2025-02-01,4.05
2025-02-02,3.26
2025-02-03,3.23
2025-02-04,3.24
2025-02-05,6.28
2025-02-06,3.32
2025-02-07,3.24
2025-02-08,3.39
2025-02-09,3.3
2025-02-10,3.25
2025-02-11,3.61
2025-02-12,3.32
2025-02-13,3.79
2025-02-14,5.7
2025-02-15,4.79
2025-02-16,7.68
2025-02-17,8.28
2025-02-18,9.18
2025-02-19,7.11
2025-02-20,12.96
2025-02-21,8.83
2025-02-22,7.8
2025-02-23,6.19
2025-02-24,4.29
2025-02-25,6.02
2025-02-26,3.9
2025-02-27,4.43
2025-02-28,7.07
2025-03-01,4.03
2025-03-02,3.63
2025-03-03,4.78
2025-03-04,3.42
2025-03-05,3.98
2025-03-06,6.9
2025-03-07,4.16
2025-03-08,3.45
2025-03-09,3.38
2025-03-10,3.62
2025-03-11,3.64
2025-03-12,4.55
2025-03-13,3.78
2025-03-14,6.56
2025-03-15,3.75
2025-03-16,4.05
2025-03-17,7.43
2025-03-18,5.89
2025-03-19,4.81
2025-03-20,5.0
2025-03-21,14.44
2025-03-22,6.17
2025-03-23,3.89
2025-03-24,2.61
2025-03-25,3.16
2025-03-26,3.4
2025-03-27,3.59
2025-03-28,9.23
2025-03-29,6.65
2025-03-30,6.59
2025-03-31,16.37
2025-04-01,9.2
2025-04-02,28.49
2025-04-03,17.15
2025-04-04,14.97
2025-04-05,13.73
2025-04-06,11.69
2025-04-07,14.52
2025-04-08,10.44
2025-04-09,8.75
2025-04-10,17.29
2025-04-11,28.08
2025-04-12,12.5
2025-04-13,15.59
2025-04-20,5.0
2025-04-21,5.75
2025-04-22,7.31
2025-04-23,4.68
2025-04-24,10.13
2025-04-25,13.47
2025-04-26,21.03
2025-04-27,10.59
2025-04-28,16.09
2025-04-29,16.34
2025-04-30,24.66
2025-05-01,17.91
2025-05-02,15.96
2025-05-03,14.64
2025-05-04,13.37
2025-05-05,17.16
2025-05-06,30.44
2025-05-07,25.6
2025-05-08,19.59
2025-05-09,15.88
2025-05-10,12.05
2025-05-11,9.78
2025-05-12,8.19
2025-05-13,8.16
2025-05-14,9.43
2025-05-15,9.55
2025-05-16,13.72
2025-05-17,35.87
2025-05-18,18.28
2025-05-19,15.37
2025-05-20,14.83
2025-05-21,13.53
2025-05-22,11.85
2025-05-23,9.27
2025-05-24,7.26
2025-05-25,7.2
2025-05-26,8.17
2025-05-27,8.45
2025-05-28,7.38
2025-05-29,7.3
2025-05-30,8.43
2025-05-31,7.87
2025-06-01,7.13
2025-06-02,7.07
2025-06-03,13.23
2025-06-04,6.61
2025-06-05,7.46
2025-06-06,15.31
2025-06-07,13.8
2025-06-08,6.9
2025-06-09,6.62
2025-06-10,14.05
2025-06-11,18.68
2025-06-12,9.26
2025-06-13,20.92
2025-06-14,16.46
2025-06-15,11.82
2025-06-16,9.19
2025-06-17,7.66
2025-06-18,8.71
2025-06-19,8.08
2025-06-20,6.5
2025-06-21,6.64
2025-06-22,6.79
2025-06-23,19.72
2025-06-24,16.05
2025-06-25,9.5
2025-06-26,7.23
2025-06-27,7.09
2025-06-28,7.55
2025-06-29,11.15
2025-06-30,6.33
2025-07-01,6.63
2025-07-02,4.66
2025-07-03,6.37
2025-07-04,4.77
2025-07-05,4.69
2025-07-06,4.55
2025-07-07,4.56
2025-07-08,4.52
2025-07-09,4.55
2025-07-10,4.51
2025-07-11,4.53
2025-07-12,7.08
2025-07-13,4.36
2025-07-14,4.34
2025-07-15,4.31
2025-07-16,4.62
2025-07-17,4.79
2025-07-18,5.43
2025-07-19,4.62
2025-07-20,4.63
2025-07-21,4.62
2025-07-22,4.6
2025-07-23,4.7
2025-07-24,4.58
2025-07-25,4.56
2025-07-26,5.11
2025-07-27,4.78
2025-07-28,4.8
2025-07-29,4.7
