rio,estacion,municipio,estado,fecha,caudal_m3s
Amaime,Amaime,El Cerrito,Activa,2015-01-01,2.97
Amaime,Amaime,El Cerrito,Activa,2015-01-02,2.46
Amaime,Amaime,El Cerrito,Activa,2015-01-03,1.83
Amaime,Amaime,El Cerrito,Activa,2015-01-04,1.78
Amaime,Amaime,El Cerrito,Activa,2015-01-05,1.51
Amaime,Amaime,El Cerrito,Activa,2015-01-06,1.35
Amaime,Amaime,El Cerrito,Activa,2015-01-07,1.24
Amaime,Amaime,El Cerrito,Activa,2015-01-08,0.98
Amaime,Amaime,El Cerrito,Activa,2015-01-09,0.88
Amaime,Amaime,El Cerrito,Activa,2015-01-10,0.64
Amaime,Amaime,El Cerrito,Activa,2015-01-11,0.57
Amaime,Amaime,El Cerrito,Activa,2015-01-12,1.08
Amaime,Amaime,El Cerrito,Activa,2015-01-13,1.14
Amaime,Amaime,El Cerrito,Activa,2015-01-14,1.08
Amaime,Amaime,El Cerrito,Activa,2015-01-15,1.19
Amaime,Amaime,El Cerrito,Activa,2015-01-16,0.92
Amaime,Amaime,El Cerrito,Activa,2015-01-17,0.83
Amaime,Amaime,El Cerrito,Activa,2015-01-18,0.98
Amaime,Amaime,El Cerrito,Activa,2015-01-19,1.19
Amaime,Amaime,El Cerrito,Activa,2015-01-20,1.78
Amaime,Amaime,El Cerrito,Activa,2015-01-21,1.78
Amaime,Amaime,El Cerrito,Activa,2015-01-22,1.56
Amaime,Amaime,El Cerrito,Activa,2015-01-23,1.72
Amaime,Amaime,El Cerrito,Activa,2015-01-24,1.62
Amaime,Amaime,El Cerrito,Activa,2015-01-25,1.35
Amaime,Amaime,El Cerrito,Activa,2015-01-26,1.03
Amaime,Amaime,El Cerrito,Activa,2015-01-27,0.76
Amaime,Amaime,El Cerrito,Activa,2015-01-28,0.6
Amaime,Amaime,El Cerrito,Activa,2015-01-29,0.53
Amaime,Amaime,El Cerrito,Activa,2015-01-30,0.6
Amaime,Amaime,El Cerrito,Activa,2015-01-31,0.53
Amaime,Amaime,El Cerrito,Activa,2015-02-01,0.6
Amaime,Amaime,El Cerrito,Activa,2015-02-02,0.68
Amaime,Amaime,El Cerrito,Activa,2015-02-03,0.72
Amaime,Amaime,El Cerrito,Activa,2015-02-04,0.64
Amaime,Amaime,El Cerrito,Activa,2015-02-05,0.72
Amaime,Amaime,El Cerrito,Activa,2015-02-06,0.57
Amaime,Amaime,El Cerrito,Activa,2015-02-07,0.6
Amaime,Amaime,El Cerrito,Activa,2015-02-08,6.33
Amaime,Amaime,El Cerrito,Activa,2015-02-09,16.0
Amaime,Amaime,El Cerrito,Activa,2015-02-10,9.91
Amaime,Amaime,El Cerrito,Activa,2015-02-11,5.53
Amaime,Amaime,El Cerrito,Activa,2015-02-12,0.9
Amaime,Amaime,El Cerrito,Activa,2015-02-13,1.08
Amaime,Amaime,El Cerrito,Activa,2015-02-14,0.83
Amaime,Amaime,El Cerrito,Activa,2015-02-15,0.76
Amaime,Amaime,El Cerrito,Activa,2015-02-16,0.88
Amaime,Amaime,El Cerrito,Activa,2015-02-17,1.24
Amaime,Amaime,El Cerrito,Activa,2015-02-18,1.92
Amaime,Amaime,El Cerrito,Activa,2015-02-19,11.73
Amaime,Amaime,El Cerrito,Activa,2015-02-20,7.51
Amaime,Amaime,El Cerrito,Activa,2015-02-21,7.29
Amaime,Amaime,El Cerrito,Activa,2015-02-22,6.65
Amaime,Amaime,El Cerrito,Activa,2015-02-23,5.47
Amaime,Amaime,El Cerrito,Activa,2015-02-24,2.68
Amaime,Amaime,El Cerrito,Activa,2015-02-25,1.46
Amaime,Amaime,El Cerrito,Activa,2015-02-26,1.03
Amaime,Amaime,El Cerrito,Activa,2015-02-27,0.79
