Rio,Estacion,Latitud_WGS84,Longitud_WGS84,Municipio,N_Registros,Anio_Min,Anio_Max,Fuente
Rio Risaralda,Quebrada Chapata - Desembocadura,5.109283,-75.844,,50,1998,2025,CARDER/CVC (tributarios)
Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,3.769996,-76.220366,,17,2016,2025,CARDER/CVC (tributarios)
Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,3.61777,-76.186934,,18,2016,2025,CARDER/CVC (tributarios)
Rio Amaime,Rio Amaime - Antes Caserio el Placer,3.611248,-76.26564,,19,2016,2025,CARDER/CVC (tributarios)
Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,3.604254,-76.279243,,19,2016,2025,CARDER/CVC (tributarios)
Rio Amaime,Rio Amaime - Despues Caserio Auji,3.617634,-76.108868,,15,2016,2023,CARDER/CVC (tributarios)
Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,3.665939,-76.408735,,19,2016,2025,CARDER/CVC (tributarios)
Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,3.49987,-76.448059,,16,2016,2025,CARDER/CVC (tributarios)
Rio Bolo,Rio Bolo - Limnígrafo CVC - Los Minchos,3.419529,-76.173935,,15,2016,2025,CARDER/CVC (tributarios)
Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,3.459193,-76.3362,,16,2016,2025,CARDER/CVC (tributarios)
Rio Bolo,Rio Bolo - Puente Pradera - Palmira,3.431176,-76.24564,,16,2016,2025,CARDER/CVC (tributarios)
Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,4.17503,-76.145174,,18,2016,2025,CARDER/CVC (tributarios)
Rio Bugalagrande,Rio Bugalagrande - Puente Colgante El Placer,4.094426,-76.078444,,15,2016,2024,CARDER/CVC (tributarios)
Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,4.194746,-76.156756,,18,2016,2025,CARDER/CVC (tributarios)
Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,4.094919,-76.036542,,14,2016,2024,CARDER/CVC (tributarios)
Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,4.257935,-76.164733,,18,2016,2025,CARDER/CVC (tributarios)
Rio Risaralda,Río Cauca - Antes río Risaralda,4.892604,-75.88808,,47,2001,2025,CARDER/CVC (tributarios)
Rio Frayle,Rio Frayle - Antes Desembocadura a rio Guachal Recta Cali Palmira,3.498186,-76.455438,,15,2016,2025,CARDER/CVC (tributarios)
Rio Frayle,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,3.373742,-76.349164,,16,2016,2025,CARDER/CVC (tributarios)
Rio Frayle,Rio Frayle - Nacimiento El Pedregal,3.305802,-76.210105,,16,2016,2025,CARDER/CVC (tributarios)
Rio Frayle,Rio Frayle - Puente Vía a Miranda,3.318517,-76.237517,,16,2016,2025,CARDER/CVC (tributarios)
Rio Guabas,Rio Guabas - Antes Mina La Victoria,3.749357,-76.176617,,17,2016,2025,CARDER/CVC (tributarios)
Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,3.770083,-76.376225,,17,2016,2025,CARDER/CVC (tributarios)
Rio Guabas,Rio Guabas - Puente Rojo - Bocatoma Acueducto de Ginebra,3.76628,-76.230902,,15,2016,2025,CARDER/CVC (tributarios)
Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,3.751694,-76.196419,,10,2017,2024,CARDER/CVC (tributarios)
Rio Guabas,Rio Guabas - despues Mina La Victoria,3.751691,-76.196421,,7,2016,2025,CARDER/CVC (tributarios)
Rio Guachal,GG3 - Rio Guachal - Antes Desembocadura a Rio Cauca,3.587519,-76.452736,,16,2016,2025,CARDER/CVC (tributarios)
Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,3.881162,-76.196725,,19,2016,2025,CARDER/CVC (tributarios)
Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,3.886896,-76.271875,,19,2016,2025,CARDER/CVC (tributarios)
Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,3.875809,-76.170954,,19,2016,2025,CARDER/CVC (tributarios)
