Rio,Estacion,Latitud,Longitud,Municipio,Estado,Anios_datos,N_dias,Promedio_m3s,Mediana_m3s
Rio Amaime,Amaime,3.609461,-76.271635,El Cerrito,Activa,2015–2023,2906,9.38,5.0
Rio Amaime,Los Ceibos,3.61666,-76.182412,Palmira,Activa,2015–2026,2134,12.0,8.77
Rio Guabas,Puente Piedra,3.765972,-76.233146,Ginebra,Activa,2015–2026,3574,4.09,3.71
Rio Guadalajara,El Vergel,3.888242,-76.264657,Guadalajara de Buga,Activa,2015–2026,3910,4.59,4.2
Rio Rio Bolo,Arriba,3.472731,-76.297868,Palmira,Suspendida,2015–2022,2834,7.78,6.5
Rio Rio Bolo,Los Minchos,3.41972,-76.174105,Pradera,Activa,2015–2024,2597,5.02,3.11
Rio Rio Bugalagrande,El Placer,4.097444,-76.082627,Andalucia,Activa,2015–2026,3611,13.78,10.91
Rio Rio Desbaratado,Ortigal,3.281791,-76.344031,Florida,Suspendida,2015–2023,3229,1.35,1.01
Rio Rio Fraile,La Industria,3.334833,-76.264988,Florida,Activa,2015–2025,3251,3.2,2.73
Rio Rio La Paila,La Sorpresa,4.297932,-76.045982,Zarzal,Activa,2015–2026,3639,2.91,1.89
Rio Rio Palo,Bocatoma,3.059049,-76.369236,Caloto,Activa,2015–2024,3587,17.46,13.06
Rio Rio Palo,Canal Bocatoma,3.063803,-76.346564,Caloto,Activa,2015–2022,2859,6.52,7.62
Rio Rio Palo,Puerto Tejada,3.230507,-76.422722,Puerto Tejada,Activa,2015–2026,3520,49.85,41.55
Rio Riofrio,Salonica,4.133014,-76.36538,Riofrio,Activa,2015–2026,3745,8.4,6.76
Rio Tulua,Mateguadua,4.016055,-76.157878,Tulua,Activa,2015–2026,3853,20.42,12.74
Rio Rio Risaralda,Casa Maquinas,5.18854,-75.8134,,Activa,2025–2026,443,25.51,21.93
Rio Rio Risaralda,Rio Risaralda EHT,5.22567,-75.804,,Activa,2025–2026,466,6.88,5.07
Rio Rio Fraile,Buichitolo,3.374429,-76.349902,Candelaria,Activa,2015–2022,2633,5.05,3.1
Rio Rio Tulua,La Rafaela,4.141772,-76.243118,Tulua,Suspendida,2015–2016,467,6.06,5.53
Rio Cauca,Anacaro,4.784274,-75.96926,,Activa,2010–2026,5868,405.0,338.3
Rio Cauca,Garzonero Norte,4.016306,-76.311949,,Suspendida,2010–2013,1428,2.6,2.2
Rio Cauca,Garzonero Sur,4.000335,-76.312363,,Activa,2015–2023,3000,3.0,2.6
Rio Cauca,Guayabal,4.409939,-76.099568,,Activa,2010–2022,4658,404.2,338.3
Rio Cauca,Hormiguero,3.303185,-76.476845,,Suspendida,2015–2025,1050,289.6,259.3
Rio Cauca,Juan Díaz,4.651002,-76.023158,,Suspendida,2010–2015,2043,3.5,3.3
Rio Cauca,Juanchito,3.451685,-76.475783,,Activa,2015–2017,1094,225.6,198.3
Rio Cauca,La Balsa,3.09235,-76.599022,,Activa,2010–2025,5564,188.5,159.9
Rio Cauca,La Bolsa,3.205007,-76.494065,,Suspendida,2015–2016,446,184.4,159.4
Rio Cauca,La Victoria,4.524927,-76.043846,,Activa,2010–2026,5883,399.0,328.8
Rio Cauca,Mediacanoa,3.891038,-76.348377,,Activa,2010–2026,5674,338.1,277.3
Rio Cauca,Pan de Azúcar,2.736424,-76.713214,,Activa,2015–2025,3889,98.6,84.7
Rio Cauca,Paso La Torre,3.492342,-76.483406,,Suspendida,2015–2022,584,277.8,201.6
Rio Cauca,Puerto Mallarino,3.444186,-76.476523,,Activa,2015–2026,4015,273.2,236.0
Rio Cauca,Puerto Pedrero,4.318367,-76.171784,,Suspendida,2015–2017,790,2.8,2.6
Rio Cauca,Tablanca,3.127533,-76.576532,,Suspendida,2010–2010,354,217.4,176.1
