rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,n_registros_arriba,n_registros_abajo,km_inicio,km_fin,longitud_km,area_buffer_ha,cana_ha_cruda,cana_ha_normalizada,pct_cana_del_rio,pct_cobertura_tramo,estacion_arriba_en_zona_canera
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,15,19,0.000,43.852,43.852,953.47,710.03,708.20,20.37,74.28,no
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,19,19,43.852,46.062,2.211,252.95,83.70,83.49,2.40,33.01,si
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,19,19,46.062,86.292,40.229,3409.45,2691.11,2684.17,77.22,78.73,si
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,15,16,0.000,10.938,10.938,490.65,296.39,295.62,7.79,60.25,no
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,16,16,10.938,30.024,19.085,1996.99,1618.95,1614.77,42.55,80.86,si
Rio Bolo,3,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,16,16,30.024,48.006,17.982,2425.83,1889.34,1884.46,49.66,77.68,si
Rio Bugalagrande,1,Rio Bugalagrande - Puente antes Caserio San Rafael.,Rio Bugalagrande - Conciviles - Andalucía,14,18,0.000,81.610,81.610,1518.28,80.71,80.47,6.27,5.30,no
Rio Bugalagrande,2,Rio Bugalagrande - Conciviles - Andalucía,Rio Bugalagrande - Puente Variante Bugalagrande,18,18,81.610,85.131,3.520,425.89,33.48,33.39,2.60,7.84,si
Rio Bugalagrande,3,Rio Bugalagrande - Puente Variante Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,18,18,85.131,99.429,14.298,1988.23,1172.14,1168.72,91.12,58.78,si
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),18,18,0.000,40.930,40.930,1351.90,451.78,450.63,27.93,33.33,no
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,18,18,40.930,65.380,24.449,2873.03,1166.00,1163.02,72.07,40.48,si
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,16,16,0.000,28.879,28.879,474.21,78.73,78.53,1.57,16.56,no
Rio Fraile,2,Rio Frayle - Puente Vía a Miranda,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,16,16,28.879,52.141,23.263,2336.06,1965.52,1960.56,39.29,83.93,si
Rio Fraile,3,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,Rio Frayle - Antes Desembocadura a rio Guachal Recta Cali Palmira,16,15,52.141,80.621,28.479,3531.93,2958.36,2950.90,59.14,83.55,si
Rio Guabas,1,Rio Guabas - Antes Mina La Victoria,Rio Guabas - Antes desembocadura a Río Cauca,17,17,0.000,42.231,42.231,2720.28,1830.69,1825.85,100.00,67.12,no
Rio Guachal,1,GG1 - Después Confluencia Ríos Fraile Y Bolo,GG2 - Puente vía Yumbo-Aeropuerto,0,0,0.000,5.964,5.964,882.16,442.42,441.40,67.42,50.04,si
Rio Guachal,2,GG2 - Puente vía Yumbo-Aeropuerto,GG3 - Rio Guachal - Antes Desembocadura a Rio Cauca,0,16,5.964,10.984,5.020,738.87,213.84,213.34,32.58,28.87,si
Rio Guadalajara,1,Rio Guadalajara - La Piscina - Vía a Alaska,Rio Guadalajara - Bocatoma Acueducto Buga,19,19,0.000,16.956,16.956,188.01,0.00,0.00,0.00,0.00,no
Rio Guadalajara,2,Rio Guadalajara - Bocatoma Acueducto Buga,Rio Guadalajara - Puente Frente vía Ferrea,19,19,16.956,21.653,4.697,620.42,0.00,0.00,0.00,0.00,si
Rio Guadalajara,3,Rio Guadalajara - Puente Frente vía Ferrea,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),19,19,21.653,26.183,4.530,687.41,267.61,266.90,100.00,38.83,si
Rio La Paila,1,Rio La Paila - Puente Paila arriba - vía a Sevilla,Rio La Paila - antes desembocadura del rio Totoro,18,19,0.000,38.256,38.256,2628.65,54.38,54.21,3.77,2.06,si
Rio La Paila,2,Rio La Paila - antes desembocadura del rio Totoro,Rio La Paila - Planta Acuavalle,19,18,38.256,41.749,3.493,340.75,3.41,3.40,0.24,1.00,si
Rio La Paila,3,Rio La Paila - Planta Acuavalle,Rio La Paila - Antes desembocadura a Rio Cauca,18,17,41.749,66.470,24.721,2747.15,1385.55,1381.30,96.00,50.28,si
Rio Nima,1,Rio Nima - Antes Caserio de tenjo,Rio Nima - Antes desembocadura a rio Amaime,17,18,0.000,39.568,39.568,1415.23,899.17,896.63,100.00,63.36,no
Rio Palo,1,Bocatoma corregimiento El Palo,Antes de PTAR Guachené,20,25,0.000,56.268,56.268,84.58,0.20,0.20,0.04,0.24,no
Rio Palo,2,Antes de PTAR Guachené,Después de PTAR Guachené,25,22,56.268,57.882,1.614,193.01,12.95,12.94,2.53,6.70,si
Rio Palo,3,Después de PTAR Guachené,Puente del Maíz,22,22,57.882,65.195,7.313,719.30,193.23,193.04,37.77,26.84,si
Rio Palo,4,Puente del Maíz,Antes Bocatoma Propal,22,8,65.195,68.681,3.487,404.68,3.21,3.21,0.63,0.79,si
Rio Palo,5,Antes Bocatoma Propal,Puente PICC,8,22,68.681,71.474,2.793,359.30,0.00,0.00,0.00,0.00,si
Rio Palo,6,Puente PICC,Puente Perico Negro,22,25,71.474,73.275,1.800,240.00,45.91,45.86,8.97,19.11,si
Rio Palo,7,Puente Perico Negro,Puente Puerto Tejada,25,22,73.275,75.406,2.131,250.51,73.80,73.73,14.42,29.43,si
