rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,cobertura_pct,grupo,nombre_grupo,area_ha,pct
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,CANA,Caña de azúcar,708.20,74.28
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,CP,Cultivos permanentes,7.52,0.79
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,CT,Cultivos transitorios,27.88,2.92
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,PN,Pastos,30.31,3.18
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,MSC,Misceláneos de pastos / cultivos / espacios naturales,13.76,1.44
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,CSD,Cultivos cosechados o suelo desnudo,3.27,0.34
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,BN,Bosque natural,75.97,7.97
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,RA,Rastrojo y vegetación secundaria,36.02,3.78
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,HU,Humedales y superficies pantanosas,0.40,0.04
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,AGUA,Aguas continentales,24.29,2.55
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,TE,Tierras eriales,1.13,0.12
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,ZU,Zona urbana,7.87,0.83
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,100.0,INF,Infraestructura,16.83,1.76
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,100.0,CANA,Caña de azúcar,83.49,33.01
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,100.0,CP,Cultivos permanentes,3.18,1.26
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,100.0,CT,Cultivos transitorios,12.03,4.75
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,100.0,PN,Pastos,18.16,7.18
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,100.0,MSC,Misceláneos de pastos / cultivos / espacios naturales,1.17,0.46
