rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,area_referencia_ha,cobertura_pct,cod_cob25,clase,area_ha,pct,fuente_cana,cana_ha_uso_suelo,factor_reescalado
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,11111,Zonas urbanas continuas,3.66,0.38,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,11211,Zonas urbanas discontinuas,4.21,0.44,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,12111,Otras superficies artificiales con construcción,12.09,1.27,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,12211,Otras superficies artificiales sin construcción,4.74,0.50,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,22171,Caña de azúcar,708.20,74.28,Hectareas_CZ,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,22210,Otros cultivos arbustivos plantados abiertos,7.52,0.79,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,23110,Otros cultivos herbáceos plantados densos,26.35,2.76,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,23170,Pasto cultivado,22.38,2.35,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,23171,Pasto cultivado arbolado,4.29,0.45,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,23172,Pasto cultivado enmalezado,3.65,0.38,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,23411,Otros cultivos confinados,1.53,0.16,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,24130,Misceláneo de pastos y cultivos,11.92,1.25,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,24140,Misceláneo de cultivos y espacios naturales,1.84,0.19,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,25210,Áreas de cultivo con suelo desnudo,3.27,0.34,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,31112,Bosque mixto denso bajo de tierra firme,1.31,0.14,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,31211,Bosque mixto abierto alto de tierra firme,10.41,1.09,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,31212,Bosque mixto abierto bajo de tierra firme,10.91,1.14,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,31311,Bosque mixto fragmentado con pastos y cultivos,8.86,0.93,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,31331,Bosque mixto fragmentado con vegetación natural,11.24,1.18,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,31351,Bosque mixto relictual,1.23,0.13,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,31352,Bosque de guadua,32.02,3.36,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,32110,Arbustal y matorral denso alto de tierra firme,1.68,0.18,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,32111,Arbustal y matorral denso bajo de tierra firme,8.65,0.91,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,32121,Arbustal y matorral denso bajo inundable (caña brava),10.50,1.10,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,32210,Arbustal y matorral abierto alto de tierra firme,10.07,1.06,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,32211,Arbustal y matorral abierto bajo de tierra firme,5.13,0.54,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,35221,Áreas naturales desnudas,0.20,0.02,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,41120,Ríos,14.99,1.57,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,41144,Otras superficies pantanosas,0.40,0.04,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,41220,Estanques artificiales / reservorios,8.67,0.91,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,41221,Canal,0.64,0.07,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,1,Rio Amaime - Despues Caserio Auji,Rio Amaime - Antes Caserio el Placer,0.000,43.852,953.47,953.47,100.0,41410,Arenal,0.93,0.10,Uso_del_suelo_ZP,710.03,1.007524
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,11111,Zonas urbanas continuas,88.32,34.91,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,11211,Zonas urbanas discontinuas,0.58,0.23,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,12111,Otras superficies artificiales con construcción,4.39,1.73,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,12211,Otras superficies artificiales sin construcción,0.52,0.21,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,21210,Otros cultivos arbóreos plantados abiertos,0.49,0.19,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,21221,Misceláneo de árboles frutales,0.18,0.07,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,22171,Caña de azúcar,83.49,33.01,Hectareas_CZ,83.70,1.001247
